cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. Democracy is a term which has lost much of its original meaning.,C2. There's a dollar democracy that runs through our supposed democracy.,C3. We are a democratic country.,"C4. The fundamental dynamic of Australian society is that it is one of evolution, not revolution.",C5. We live in a great democracy.,C6. Our political system's strength is that it can change to meet changing circumstances.,C7. The last thing we need is a Canberra 'Big Brother' telling us what we should read and hear.,"C8. If you want your vote to count for anything, then you need to not vote in ignorance, you need to know something about what you're being offered.",C9. In Australia the rich have virtually unlimited access to the legal system and the capacity to use it to achieve their own ends.,"C10. You don't have to wait three years to say 'I'm not happy with the job you did.' You can apply pressure, and enough people writing to the local member can turn the situation around.",C11. I don't think we have a lot of input into legislation and a lot of things that are important.,C12. Sometimes I get a bit worried that there's a lot of small minority groups that tend to get a lot of the say,C13. I don't know too much about democracy. I feel ridiculous voting.,C14. I don't want to be in a place where only a minority's viewpoint gets the right to say what's going to happen.,"C15. The true believers are about decency in life, about a capacity to debate the issues and to receive different views.","C16. We as individuals have a right, that's what democracy means to me","C17. Republicanism is a smokescreen for democratic treachery, incompetence and lunacy.",C18. Our government is attempting to mould our society to the needs of a profit-oriented market,C19. I'm always cynical about government processes.,"C20. Governments can talk a great game about 'democracy'. They fall down, in practice, because they cannot accept any sharing of the power to influence decisions with those who might have different motives and ideas.",C21. I don't think there's anything wrong with people voting for their self-interest.,C22. The true function of government is to maintain peace and justice. This does not include interfering in private transactions of its electors.,"C23. If Australia is to recover from the horrible mess we are in at present, we will need leaders of high principles, who will govern with honesty, justice, and righteousness, fearlessly putting into practice the principles of the Bible.","C24. Our community and nation should invoke a spirit that you are important, that you do have a way of influencing things.","C25. Until women are equally represented in Australian parliaments, we will not have a genuine representative democracy.",C26. I suppose we do have an upper class and a lower class.,C27. The only time we are all equal is when we vote in the ballot box.,"C28. A lot of people may be politically ignorant, but they believe what they see and hear on television, and that makes them vote the way they do. They have been brainwashed by the clever advertising people.","C29. Free markets work because individual people, cooperating peacefully and voluntarily through markets, can achieve much that politicians and bureaucrats cannot achieve using compulsion and direction.",C30. Low female participation rates compound the domination of the public realm by males.,C31. Concluding that some races/cultures are better than others must be avoided.,C32. People get the government they deserve,C33. There is no real difference in ideological terms between the major parties and preference distributions are problematic.,"C34. Too few people have a lot of sway in the system.  Corporate lobbyists, vested interests, pork barrelling and contributions to political parties are all problematic.","C35. The political system is remote and closed and the connection with elected representatives is difficult, they are often faceless.",C36. The party system is the main obstruction to accountable politics.,C37. People are quite capable of processing and thinking about the vast majority of issues facing our society but as long as we are subjected to 'news lite' the level of political debate will remain facile. ,"C38. It would be a great thing if voters could vote on specific issues, not only on a whole party program at election time.",C39. In the Senate there should be elected representatives who are not from the major parties but from smaller interest groups.,"C40. We suffer a Parliamentary Democracy and an archaic and conflict oriented, ""two party system"" where one of two main parties will manipulate us for the next few years. ","C41. The people we elect are loyal not to we dumb bunnies who elected them, but the agenda and dogma of their party. ",C42. Proportional Representation also forces parties to coalesce and moderates out the extreme political views. ,"C43. We should not be afraid of disagreement. Indeed, an important feature of a liberal democracy is respect for conflicting ideas; difference is part of the human condition. ",C44. We should strengthen protections of the free press in order to facilitate a more open and publicly accountable government. ,C45. There is a lot of consultation by govt – but who is listening?  And what power do they have to make changes?,"C46. Democracy means that all policy is exposed to open discussion and debate in a public political space of all citizens before being put to a transparent, accountable vote.","C47. Democracy means we, the people, are responsible for what government does, or fails to do.",C48. Not voting is a form of expression. It's a way of telling parties that no one is offering policies that appeal to you.
4a5bdcaf-7fb4-4b96-bfae-11d9b1eee5d6,2025-03-24 22:42:11.333929+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,296,6,8,5,6,5,6,9,9,7,7,7,7,4,9,10,10,3,7,9,8,6,5,4,8,9,5,8,8,6,8,11,6,7,10,9,9,10,9,8,7,8,7,11,10,7,11,9,5
7bda92c8-f760-4621-ac44-c1583cf83206,2025-03-24 22:42:18.796019+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,294,7,8,7,7,6,8,8,10,8,9,7,6,5,9,9,10,4,7,8,7,7,8,5,9,10,6,9,7,7,10,10,6,8,9,8,9,9,9,8,8,9,8,10,10,7,9,9,6
605066fa-3c71-4874-bc19-4399a88f5a96,2025-03-24 22:42:26.124045+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,290,7,8,5,6,6,5,9,9,8,7,7,5,3,8,9,8,3,7,8,8,6,6,4,7,9,5,7,8,6,8,10,6,8,9,9,8,10,9,7,8,9,7,10,9,7,10,9,5
595c5286-332b-465c-8ea9-cbc268bd834c,2025-03-24 22:42:33.709932+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,294,7,8,6,6,5,7,8,10,8,7,8,5,4,8,8,9,3,7,7,9,6,6,4,8,8,6,7,8,5,8,9,5,7,9,8,8,9,9,7,8,9,7,9,9,8,10,8,6
2442520f-d5b8-4f31-937e-2609ec207ee0,2025-03-24 22:42:42.242920+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,293,7,8,6,6,5,6,7,9,8,7,8,6,4,8,8,7,3,7,8,7,6,5,6,7,8,6,7,8,6,8,10,7,8,10,9,9,9,9,8,9,9,8,9,9,8,8,7,6
5149654b-00b0-4437-8af5-886a3f3ca66b,2025-03-24 22:42:49.969098+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,295,8,8,6,6,5,6,7,10,7,7,6,5,4,9,9,9,3,6,7,8,7,5,3,8,8,6,7,7,6,8,10,5,7,9,7,8,9,9,7,7,8,7,10,9,6,9,9,6
eee4c1f8-6061-47c9-942a-e097a851e4fb,2025-03-24 22:42:57.383760+00:00,anthropic,claude-3-5-haiku-20241022,0,5236,284,6,5,6,5,5,6,8,8,4,6,4,4,3,6,8,7,3,4,6,6,6,5,3,6,7,5,7,5,8,7,10,5,6,6,5,7,7,8,7,5,6,7,9,9,4,8,7,5
63978fc2-e11b-4926-afc4-a95c0f485bae,2025-03-24 22:43:04.971041+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,295,7,9,6,6,5,7,6,10,9,7,8,6,3,9,9,7,3,7,8,8,6,5,4,8,8,5,6,6,6,8,10,6,7,10,9,8,9,9,8,7,8,7,9,9,9,8,7,5
f7e439f2-78bf-4f70-b84e-96e3eac6e2c0,2025-03-24 22:43:13.372764+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,294,7,7,7,6,6,7,10,9,7,7,6,5,3,6,8,9,3,6,7,8,8,6,4,8,8,6,9,6,7,9,10,5,7,8,8,8,9,9,7,6,7,7,10,9,6,9,9,5
567eacb6-c7b9-4cee-9481-c937bf496a30,2025-03-24 22:43:23.763966+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,294,7,8,6,5,7,6,9,10,7,9,7,5,3,8,9,9,3,7,7,7,6,5,4,8,9,5,9,7,6,8,9,6,7,9,8,8,8,10,8,7,8,8,10,9,6,10,9,6
1ea1072e-710f-47e5-81ad-0a20e4aff586,2025-04-02 09:25:21.904331+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,293,6,8,5,5,6,6,7,9,9,6,8,5,4,4,7,7,3,7,9,8,8,9,6,6,8,6,7,8,5,8,10,5,8,10,9,9,7,7,6,7,9,6,8,8,8,7,7,5
b1222e6d-6168-4b1c-a6c2-9c0ce8652eae,2025-04-02 09:25:28.048727+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,301,8,8,7,6,6,7,6,10,9,7,8,5,4,9,9,9,3,6,8,8,7,6,4,8,10,6,7,7,7,9,10,5,7,9,8,8,9,9,8,7,8,8,10,10,7,9,9,6
aa155627-b4ed-43c2-a8e9-3bcf9deef527,2025-04-02 09:25:34.713910+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,295,7,8,6,6,5,7,9,9,8,6,7,5,4,8,8,6,2,7,7,8,6,5,3,7,9,5,6,7,6,8,9,5,7,9,9,7,10,10,8,8,8,7,10,9,7,9,8,5
7846aa66-0795-4e31-925e-ebb9505aa71e,2025-04-02 09:25:41.056131+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,294,7,8,6,6,5,7,8,10,8,7,7,5,5,8,9,9,3,7,8,7,8,5,3,8,9,6,7,7,6,8,10,6,6,9,8,8,9,10,8,7,8,8,10,9,7,9,9,6
55170043-531e-46eb-9d71-5b2d86b1a38f,2025-04-02 09:25:48.208122+00:00,anthropic,claude-3-5-haiku-20241022,0,5251,296,8,9,6,7,6,6,7,7,9,7,9,6,5,7,8,7,5,8,9,9,6,5,4,6,8,7,6,8,6,8,10,7,8,10,10,9,8,8,7,9,9,7,8,8,9,8,7,6
