cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
373acb2f-7892-4b9f-97b2-7417ad690fe8,2025-03-24 22:47:51.904839+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,105,7,6,3,4,1,5,2
be927e1e-e599-442a-ac3d-a37c442d5860,2025-03-24 22:47:59.593380+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,3,1,5,4,2
a71eda64-4c77-4cf1-91d6-c424fb1885a2,2025-03-24 22:48:08.215127+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,217,2,7,1,3,4,5,6
bdeec0b9-b8cf-4f9c-9cad-22745325928b,2025-03-24 22:48:15.860287+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,5,1,4,2,3
9dd11a90-3bd2-4fb3-914a-2a1d29058c34,2025-03-24 22:48:23.493822+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,4,5,2,3,1
0a63a39d-416e-47e7-9b10-87029968c46b,2025-03-24 22:48:29.735394+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,106,3,7,4,1,6,2,5
b26a3b1b-776b-4782-97f5-44f75d3ba300,2025-03-24 22:48:36.267289+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,219,7,6,3,2,4,5,1
24ada578-5367-4858-993b-702be3e34835,2025-03-24 22:48:44.284443+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,105,7,5,4,3,2,6,1
386596d7-6edb-41f2-9ea9-231b569865da,2025-03-24 22:48:52.883925+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,6,7,2,1,3,5,4
b22cffa3-e1e7-4319-bca9-368553065382,2025-03-24 22:49:01.881168+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,219,7,6,1,2,4,3,5
2f1b8960-d73b-4a38-bed6-c109db4712d0,2025-04-02 09:35:07.973802+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,3,1,5,2,4
f930a9f9-5e08-4811-9710-cdeb306fe7c2,2025-04-02 09:35:13.930500+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,222,7,6,3,5,2,1,4
d6695b68-1318-4ca7-98c6-e3b11e561007,2025-04-02 09:35:20.361742+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,106,5,7,3,1,2,6,4
e03c46a4-3407-4063-96ab-f10c8ad22789,2025-04-02 09:35:26.194865+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,5,1,4,2,3
c0d25691-144d-4766-b19d-db4cf184cda4,2025-04-02 09:35:32.831091+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,3,2,4,1,5
8a3a868c-afa2-4bfe-995c-0ac8c729cf12,2025-04-02 09:35:38.350131+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,105,7,4,5,2,3,1,6
316ee928-0dd6-4c2a-8743-b0f8cf896193,2025-04-02 09:35:49.968341+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,4,1,5,2,3
c45efb5b-6b84-4a8d-8c89-ead560aa44a2,2025-04-02 09:35:55.675680+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,5,1,4,2,3
2a94ce5e-5647-44c1-a012-50daa5761e37,2025-04-02 09:36:01.044402+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,106,7,2,3,1,6,4,5
7bce8300-cc2d-4e29-b4e1-b15c2f844432,2025-04-02 09:36:06.401255+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,222,6,7,2,3,4,5,1
607f2d4e-e4af-4705-9185-1423270e94c8,2025-04-02 09:36:12.259326+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,107,7,6,3,5,2,4,1
72aa6152-aed4-42c5-b314-1ae510be7f94,2025-04-02 09:36:17.746372+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,4,5,3,1,2
85fddd35-017f-4875-bdfd-9bc4bf065e9b,2025-04-02 09:36:23.754523+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,5,3,2,6,4,1
f90d030a-9431-44bb-ba60-5e06caf13c66,2025-04-02 09:36:29.773574+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,6,7,3,2,4,5,1
7a2a9b8e-db38-4835-939b-bacbb3fce7ca,2025-04-02 09:36:36.049189+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,7,6,4,5,1,2,3
92037180-abc9-48ca-b580-f365fc2be745,2025-04-02 09:36:42.794321+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,221,6,7,3,1,5,2,4
91a9db62-56fe-4964-b902-d915902f8edd,2025-04-02 09:36:48.189253+00:00,anthropic,claude-3-5-haiku-20241022,0,3355,106,6,7,3,1,5,4,2
ccc187a3-a09d-4cb2-8dc3-42ee415a153f,2025-04-02 09:36:53.898532+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,220,6,7,2,1,4,3,5
9a8a7460-ed5e-4ee0-9408-08a38f335faf,2025-04-02 09:36:59.854930+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,222,6,7,3,4,5,2,1
1eef9b98-5918-48ea-9c6e-adddf10384d6,2025-04-02 09:37:05.881877+00:00,anthropic,claude-3-5-haiku-20241022,0,3562,217,7,6,4,1,5,2,3
