cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Ban Begging within Sweden,P2. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months,P3. Enforce existing laws without special consideration for beggars,P4. Forbid giving money to beggars,P5. Focus resources on addressing the the problem in source countries such as Romania,P6. Ban Illegal Settlements,P7. Provide accommodation for beggars (more)
dec3f26f-3162-4262-afda-4aeed414c67e,2025-03-25 08:07:25.905707+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,5,2,6,1,4,3
21406402-9838-4885-b5cb-9ebec0e488d6,2025-03-25 08:07:33.655340+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,272,7,5,3,2,1,6,4
95a2b054-902b-4f15-8e45-9b098c580c7b,2025-03-25 08:07:41.917809+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,3,5,1,6,2
1c01ba33-a34b-440d-b75f-3e31ad124c7d,2025-03-25 08:07:49.635353+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,273,7,5,3,6,1,4,2
35ea2eee-e168-47ef-8863-98a990f0dc41,2025-03-25 08:08:00.272511+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,271,5,6,4,7,1,3,2
ec170d95-6e67-48b3-86e1-05e60b2735f7,2025-03-25 08:59:27.520003+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,5,2,6,1,4,3
0f173e75-e1a7-4723-a90d-3cc34d7faf9b,2025-03-25 08:59:39.736288+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,271,7,5,3,2,1,6,4
d067bbcc-4926-473b-908e-5a5fcb2965ee,2025-03-25 08:59:47.759311+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,3,5,1,6,2
49c4ae1d-6236-4546-8e1e-d24fa6849188,2025-03-25 08:59:55.097622+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,273,7,5,3,6,1,4,2
af3a7170-2777-4e9f-9792-b6063966d364,2025-03-25 09:00:07.754777+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,268,2,6,3,7,1,4,5
a9d96cee-8def-4c55-9d75-aefe543988e0,2025-03-25 09:00:17.559765+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,5,6,1,2,3
53111683-fc64-4648-8f14-fc92f945cf7b,2025-03-25 09:00:26.162770+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,6,5,3,7,1,4,2
816109d3-2b1f-4c1a-8280-d48b833c5d34,2025-03-25 09:00:35.986430+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,269,6,4,2,7,1,3,5
e24a4645-8584-4082-8d68-6b29000516c0,2025-03-25 09:00:46.659667+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,273,6,7,2,5,1,3,4
92a98f5c-b517-4ed1-9aba-24de02272385,2025-03-25 09:00:54.980171+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,273,5,7,3,6,1,2,4
cde3a67d-80ed-4c36-8f97-1abca3462993,2025-03-26 09:03:12.775278+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,5,2,6,1,4,3
70cfecb4-c45d-4410-95d8-7340d49ed9bb,2025-03-26 09:03:24.928112+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,272,7,5,3,2,1,6,4
4ef88c71-629d-42cf-b2af-4def1cb47f47,2025-03-26 09:03:41.712217+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,3,5,1,6,2
ce252020-15f6-42f1-a35b-4c71e05b766c,2025-03-26 09:03:51.415445+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,5,3,6,1,4,2
dd6898e4-e9c9-4ea7-9623-7239ed953ef9,2025-03-26 09:04:09.982696+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,2,6,3,7,1,4,5
f0dc2bb1-1695-4c44-8d2c-a7754f3ef981,2025-04-02 09:20:49.191543+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,268,7,5,3,6,1,4,2
57d9fa4b-ea5d-40df-9632-a2c95a1e834e,2025-04-02 09:20:57.382474+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,274,7,6,5,2,1,3,4
7427bd2c-1732-487b-ad5a-dae98cbe08e4,2025-04-02 09:21:04.273732+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,3,5,1,6,2
3e6f8b90-f6c5-422a-b98b-6e157ebc8a28,2025-04-02 09:21:11.378051+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,271,7,5,3,6,1,4,2
49fdf3cd-f5cc-4acc-9515-1044c9d50a93,2025-04-02 09:21:18.750407+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,2,5,4,7,1,3,6
d5c8a290-ac6f-4ba1-bac6-0daf783f3f70,2025-04-02 09:21:34.021653+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,270,7,4,5,6,1,2,3
7b5a47b1-ace7-46e8-9f7d-9cd204a1a561,2025-04-02 09:21:57.086441+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,268,7,5,3,6,1,4,2
a0f568b5-6c65-46b7-93f3-52c8f8b8e75b,2025-04-02 09:22:08.543080+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,269,6,4,2,7,1,3,5
fb408d12-17f7-4b5b-ae62-fdbb3e2d8655,2025-04-02 09:22:17.495843+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,269,6,7,2,5,1,3,4
b94ef6fd-ab4a-4bcb-a9e8-fd46430637b2,2025-04-02 09:22:28.765444+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,273,5,7,3,6,1,2,4
930e2b2e-6324-436c-9969-635dc5d48ef7,2025-04-02 09:22:37.033147+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,269,5,6,2,7,1,4,3
577883bf-b67c-4635-b5b5-fc8e5687e49b,2025-04-02 09:22:46.576730+00:00,anthropic,claude-3-5-sonnet-20241022,0,3810,271,5,3,2,7,1,4,6
