cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
202ff2f7-4764-4750-8e67-f0c4d78c6445,2025-03-24 22:00:17.288778+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,"I support limited clinical uses of genome editing with oversight, but have concerns about heritable changes and enhancement."
5df678fe-36dd-498a-af83-6819fd48becf,2025-03-24 22:00:22.712325+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,"I support limited clinical uses of genome editing with oversight, but have concerns about heritable and enhancement uses."
6d0a5c6c-273d-4716-bc64-ee217425a771,2025-03-24 22:00:28.191780+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with oversight and community input to ensure safety and ethical standards.
7a234da4-2c0f-4706-8603-589cbfe2264f,2025-03-24 22:00:34.336412+00:00,anthropic,claude-3-haiku-20240307,0,4583,269,I support clinical uses of genome editing with oversight but have concerns about enhancement and heritable changes.
ad9903bf-1ae1-4c8b-84af-ba1cb922abc8,2025-03-24 22:00:40.092858+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support limited clinical uses of genome editing with oversight but have concerns about enhancement and unequal access.
d0c6bcb5-4642-4eed-97a1-ee238255a180,2025-03-24 22:00:45.511782+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and ethics.
acdf8669-556c-4b8b-b7a9-aa0b9d85f274,2025-03-24 22:00:50.780762+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and ethical standards.
fc73e136-e751-477e-8388-04c90a1689cc,2025-03-24 22:00:57.196250+00:00,anthropic,claude-3-haiku-20240307,0,4583,272,I support clinical uses of genome editing with oversight and community input but have concerns about enhancement and profit motives.
50a6bc31-0461-452a-95d3-b79d1e483787,2025-03-24 22:01:03.059739+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and ethics.
7221f86b-d59c-4cbc-af7a-4bd6697ffb4d,2025-03-24 22:01:08.867194+00:00,anthropic,claude-3-haiku-20240307,0,4583,269,I support limited clinical uses of genome editing with oversight and community input to ensure safety and equity.
e6cf6abe-7926-40ac-af15-a98bfd786c2e,2025-04-02 09:48:43.357291+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and equity.
a8c242b7-d6a5-4ae1-b6c4-1900df0a95c7,2025-04-02 09:48:47.788255+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and equity.
0532d89e-523c-4e4c-b1e9-67f8ef7bd504,2025-04-02 09:48:52.369237+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and equity.
e78c3e4c-6043-4ec7-b0d5-fc7743e3bff6,2025-04-02 09:48:57.015595+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support regulated clinical uses of genome editing but have concerns about unrestricted or profit-driven applications.
adb2182b-447b-45eb-a4da-7a1e192821a6,2025-04-02 09:49:01.492896+00:00,anthropic,claude-3-haiku-20240307,0,4583,273,"I support limited clinical use of genome editing with oversight and community input, but have concerns about unrestricted use."
a05a3ca8-e553-4830-8f69-7ef00be72226,2025-04-02 09:49:07.435701+00:00,anthropic,claude-3-haiku-20240307,0,4583,269,I support limited and regulated genome editing for clinical purposes but have concerns about unrestricted use.
bf2b3e8f-57a6-47a3-b476-4b49c2ec83bf,2025-04-02 09:49:18.307110+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and ethics.
9e9b50c0-6c11-410f-89c2-46604a2ceaf8,2025-04-02 09:49:24.378982+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with oversight and community input to ensure safety and ethical standards.
51d73635-f1e0-401e-a56d-bc1d25d162bc,2025-04-02 09:49:28.798609+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and equity.
f74dd29e-af60-4b4c-b3f5-6ea76856fccb,2025-04-02 09:49:33.232930+00:00,anthropic,claude-3-haiku-20240307,0,4583,273,"I support clinical uses of genome editing with oversight and community input, but have concerns about enhancement and heritable changes."
5d8a4b40-49b5-47ca-84c8-cbc583d29dac,2025-04-02 09:49:37.475684+00:00,anthropic,claude-3-haiku-20240307,0,4583,267,I support limited genome editing for clinical purposes with oversight but have concerns about wider applications.
847d63db-f126-4cc9-8afa-c13606d49d50,2025-04-02 09:49:41.998417+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support limited and regulated uses of genome editing for clinical purposes but have concerns about unrestricted access.
19ccd694-dd92-435f-a930-b02eeac13da5,2025-04-02 09:49:48.371709+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with oversight and community input to ensure safety and ethical standards.
a4303d19-6e02-4dd2-8919-6de9ec0311b6,2025-04-02 09:49:53.465254+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited clinical uses of genome editing with strong oversight and community input to ensure safety and equity.
9f90942e-5326-480d-b108-d6b463d685c0,2025-04-02 09:49:58.760726+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support regulated clinical uses of genome editing but have concerns about unrestricted or profit-driven applications.
6d56176d-8c02-47d1-ae0b-ff7ae349b9ef,2025-04-02 09:50:04.261850+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I rated the policies based on my overall views on the appropriate scope and oversight for human genome editing.
dc6db7cc-85cf-455d-aa8a-52687b795c73,2025-04-02 09:50:08.765639+00:00,anthropic,claude-3-haiku-20240307,0,4583,269,I support limited genome editing for clinical purposes with oversight and community input to ensure safety and equity.
972678d8-beb4-4da2-8ba1-300f69d9e806,2025-04-02 09:50:14.189927+00:00,anthropic,claude-3-haiku-20240307,0,4583,269,I support limited clinical uses of genome editing with oversight and community input to ensure safety and equity.
c4f46066-b1e5-441b-be0b-f0b2fc7aca9f,2025-04-02 09:50:19.042732+00:00,anthropic,claude-3-haiku-20240307,0,4583,273,I support limited clinical uses of genome editing with strong oversight and community input over complete prohibition or unrestricted access.
c1e15466-240f-4aa1-94c6-e9fc65743efc,2025-04-02 09:50:23.505761+00:00,anthropic,claude-3-haiku-20240307,0,4583,272,"I rated policies based on balancing safety, access, and oversight to enable beneficial uses while minimizing risks."
151a6848-3158-44f6-9605-17cf1699ea11,2025-04-02 10:01:23.049318+00:00,anthropic,claude-3-haiku-20240307,0,4583,270,I support limited and regulated uses of genome editing for clinical purposes but have concerns about enhancement and equity.
bec95775-37bf-457a-958b-c272b0d758de,2025-04-02 10:01:28.179725+00:00,anthropic,claude-3-haiku-20240307,0,4583,273,"I rated the policies based on my previous consideration ratings, favoring policies that balance safety, access, and oversight."
e125af68-31d8-4b67-8f61-aa2cc28509a9,2025-04-02 10:01:33.347650+00:00,anthropic,claude-3-haiku-20240307,0,4583,271,I support limited clinical uses of genome editing with oversight while being cautious about heritable changes and enhancement.
