cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
9bb4dd9c-c83e-4bf0-b0b5-09bec470d97e,2025-03-24 21:54:18.973875+00:00,anthropic,claude-3-haiku-20240307,0,3585,207,2,7,5,1,6,3,4
be982d63-572d-4191-89a4-df505ca25a7a,2025-03-24 21:54:24.004702+00:00,anthropic,claude-3-haiku-20240307,0,3585,208,5,7,3,6,4,1,2
3d3a1709-f4e6-406f-b357-690057f19496,2025-03-24 21:54:28.902284+00:00,anthropic,claude-3-haiku-20240307,0,3585,207,3,5,6,1,2,7,4
42541067-5cea-4a14-8018-ffe92d8f8997,2025-03-24 21:54:34.061797+00:00,anthropic,claude-3-haiku-20240307,0,3387,110,2,6,7,4,3,5,1
380b461c-3b01-4f7e-afad-d93cc8ee2e62,2025-03-24 21:54:38.632434+00:00,anthropic,claude-3-haiku-20240307,0,3585,215,6,7,5,3,4,1,2
172b5b29-cc47-4f5c-a297-f5205328ac09,2025-03-24 21:54:43.275927+00:00,anthropic,claude-3-haiku-20240307,0,3585,210,6,5,4,1,3,7,2
f464dc23-dd47-4ea6-87e4-3d6d598c07cd,2025-03-24 21:54:47.664467+00:00,anthropic,claude-3-haiku-20240307,0,3585,206,4,3,6,1,5,2,7
43d6f20d-1615-4c57-a942-17db9baea2f4,2025-03-24 21:54:52.496299+00:00,anthropic,claude-3-haiku-20240307,0,3585,205,1,4,6,7,2,5,3
09f5ab30-f002-4baa-8bf2-edddbe80b970,2025-03-24 21:54:57.415903+00:00,anthropic,claude-3-haiku-20240307,0,3585,206,5,6,4,7,2,3,1
28fffbbb-924e-4c0d-ae26-a392f595ebc6,2025-03-24 21:55:02.061024+00:00,anthropic,claude-3-haiku-20240307,0,3585,208,4,1,7,5,6,2,3
7de20ad6-58ed-43e5-9a59-b4095de65c50,2025-04-02 09:36:47.913163+00:00,anthropic,claude-3-haiku-20240307,0,3606,229,6,7,4,1,5,2,3
