cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
96717716-afbb-4c0d-a2c5-b77622991572,2025-04-10 17:02:46.138542+00:00,cohere,command-a-03-2025,0,6424.0,340.0,7,6,8,4,1,5,2,3,9
8d558a8e-af63-4324-a4ca-6cf1a1dd247c,2025-04-10 17:02:56.358030+00:00,cohere,command-a-03-2025,0,6418.0,335.0,8,1,9,7,6,3,2,4,5
f1d35622-34ae-4aa8-9377-5442dec33a6d,2025-04-10 17:03:05.704826+00:00,cohere,command-a-03-2025,0,6418.0,333.0,5,6,4,7,2,8,3,1,9
b6723367-7e4a-4d7e-91a3-d7a71b608875,2025-04-10 17:03:16.018302+00:00,cohere,command-a-03-2025,0,6420.0,335.0,3,4,6,5,7,1,2,8,9
56401ec8-bfb6-4e8d-a999-9f1bfc491af7,2025-04-10 17:03:26.053201+00:00,cohere,command-a-03-2025,0,6418.0,333.0,9,7,3,6,5,2,1,4,8
1d3ff93b-1f8f-4f77-8dd5-75ac41751ac0,2025-04-10 17:03:35.901481+00:00,cohere,command-a-03-2025,0,6418.0,334.0,7,3,8,2,4,9,1,5,6
5d43fa24-3083-446d-99ff-f283b12972e9,2025-04-10 17:03:45.615622+00:00,cohere,command-a-03-2025,0,6420.0,335.0,4,5,9,1,8,2,7,3,6
844ba64e-0cf9-4823-8d48-2da7427b2e81,2025-04-10 17:03:55.749305+00:00,cohere,command-a-03-2025,0,6414.0,332.0,2,7,5,6,9,8,1,4,3
e9fbdc24-fc47-4511-a5e7-c41debb12e47,2025-04-10 17:04:05.782525+00:00,cohere,command-a-03-2025,0,6418.0,335.0,3,1,6,7,8,2,5,4,9
2367126e-2f57-48f8-a1fd-41128f1d6e25,2025-04-10 17:04:15.517230+00:00,cohere,command-a-03-2025,0,6432.0,342.0,5,9,4,3,7,2,8,1,6
6cfa6ff6-329e-45f2-ab42-2a31d6d71991,2025-04-10 17:04:25.956009+00:00,cohere,command-a-03-2025,0,6426.0,336.0,5,6,4,3,1,8,9,2,7
d55635d8-a501-465b-b142-2bb05b6453a0,2025-04-10 17:04:35.695494+00:00,cohere,command-a-03-2025,0,6416.0,334.0,1,3,7,9,5,4,2,6,8
edb29031-7a22-448b-b136-a75821c8c59c,2025-04-10 17:04:45.418473+00:00,cohere,command-a-03-2025,0,6414.0,333.0,5,8,7,4,9,1,3,6,2
c7258584-6400-4ef4-889b-0efbccd24314,2025-04-10 17:04:54.735707+00:00,cohere,command-a-03-2025,0,6416.0,333.0,5,8,2,7,1,3,6,4,9
851956f6-efb0-4a3c-9123-3f661ba0934e,2025-04-10 17:05:03.859181+00:00,cohere,command-a-03-2025,0,6414.0,337.0,2,7,9,3,6,4,1,5,8
db713cc6-8c36-493d-8d41-bb229a442444,2025-04-10 17:05:13.476885+00:00,cohere,command-a-03-2025,0,6428.0,339.0,1,7,5,2,6,3,4,9,8
b1a870b4-b187-418c-928b-5331d767b67a,2025-04-10 17:05:23.235105+00:00,cohere,command-a-03-2025,0,6428.0,338.0,4,1,3,2,7,5,6,8,9
f1d4a578-2e58-4997-842f-40dfbe8773e5,2025-04-10 17:05:33.344504+00:00,cohere,command-a-03-2025,0,6422.0,335.0,3,2,7,1,9,4,5,6,8
f20b7c88-0d79-4799-a041-cc5de6bc1985,2025-04-10 17:05:42.600378+00:00,cohere,command-a-03-2025,0,6416.0,333.0,8,2,6,7,9,3,4,1,5
f5406664-7c2c-48b0-85ed-974aee458842,2025-04-10 17:05:52.586793+00:00,cohere,command-a-03-2025,0,6418.0,342.0,3,1,7,6,5,9,4,2,8
2697ef76-3993-44f1-a08d-96f149f17557,2025-04-10 17:06:03.137457+00:00,cohere,command-a-03-2025,0,6423.0,337.0,2,6,9,3,5,7,1,4,8
26d9d2a4-de8e-4036-ae0c-79a0c9536a20,2025-04-10 17:06:12.562718+00:00,cohere,command-a-03-2025,0,6420.0,337.0,8,6,9,3,7,4,5,2,1
43c89c6c-5ad5-41d9-a075-c51943eb1e3e,2025-04-10 17:06:22.667582+00:00,cohere,command-a-03-2025,0,6414.0,332.0,8,4,7,5,2,1,3,6,9
220d1633-09bb-473d-b92d-122a854b9f13,2025-04-10 17:06:32.938872+00:00,cohere,command-a-03-2025,0,6418.0,337.0,1,9,4,8,5,6,2,7,3
73f125bd-5b8b-4971-a619-1e473a6e9487,2025-04-10 17:06:43.641736+00:00,cohere,command-a-03-2025,0,6430.0,341.0,4,6,9,1,5,3,2,7,8
36fe66b1-a042-4856-92c9-ba8ffd4cc9bb,2025-04-10 17:06:54.029704+00:00,cohere,command-a-03-2025,0,6422.0,340.0,8,4,5,2,6,3,1,7,9
bf3b75ba-1680-47d2-a6e8-bc4dd60f99f8,2025-04-10 17:07:04.048026+00:00,cohere,command-a-03-2025,0,6419.0,335.0,6,7,5,2,9,4,1,8,3
107b4bc5-f649-41df-9448-8be3efe3c7bd,2025-04-10 17:07:13.333459+00:00,cohere,command-a-03-2025,0,6422.0,335.0,9,3,4,7,8,1,2,6,5
677f79e6-00db-45cb-aa1a-7e7417583f11,2025-04-10 17:07:22.546413+00:00,cohere,command-a-03-2025,0,6414.0,333.0,9,4,3,6,8,1,2,5,7
09c905a3-564a-4096-a3b0-7da91ccf9ff5,2025-04-10 17:07:31.476329+00:00,cohere,command-a-03-2025,0,6418.0,335.0,3,5,6,1,4,7,8,2,9
