cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
a8513da3-e8d9-4cbc-abaf-866f2510fe5e,2025-03-25 21:43:02.345823+00:00,cohere,command-r-08-2024,0,5803.0,341.0,"High privacy, cautious implementation, and strong regulation are preferred."
04b63f1e-2863-484a-9170-8c5efa5bcb5e,2025-03-25 21:43:09.907011+00:00,cohere,command-r-08-2024,0,5879.0,383.0,"Strongly support public,regulated biobanks;least,private,unregulated."
2372cbc2-fa11-4333-a6f5-093331e70e56,2025-03-25 21:43:21.367258+00:00,cohere,command-r-08-2024,0,5867.0,373.0,"Strongly support public, regulated biobanks; privacy paramount."
fc47e448-1b89-4eab-8b63-de07acc13215,2025-03-25 21:43:30.561800+00:00,cohere,command-r-08-2024,0,5797.0,345.0,Strongest.privacy.and.regulation.for.publicly.funded.biobanks.
6309d246-62b5-4b5d-be0a-df6fe756980b,2025-03-25 21:43:39.537021+00:00,cohere,command-r-08-2024,0,5863.0,380.0,"StrongestSupportForPubliclyFunded,RegulatedBiobanks;LeastSupportForMinimalRegulation."
fd7d9cea-d824-4f64-83cb-d2bebd599f8a,2025-03-25 21:43:47.368408+00:00,cohere,command-r-08-2024,0,5855.0,381.0,High.privacy.protects.individuals.;.public.ownership.ensures.regulation.and.access.control.
52b8e2cf-5dbb-4914-ab72-f039402b2aba,2025-03-25 21:43:57.421960+00:00,cohere,command-r-08-2024,0,5817.0,352.0,Privacy.and.public.ownership.with.regulation.is.preferred.
45d4eca2-44a3-431f-98b3-2a0454d190b3,2025-03-25 21:44:04.713224+00:00,cohere,command-r-08-2024,0,5857.0,372.0,"Strongly support public, regulated biobanks; cautious of private, unregulated ones."
ee1c8f04-ee5c-4204-b018-0936a8cd72d7,2025-03-25 21:44:12.468676+00:00,cohere,command-r-08-2024,0,5857.0,371.0,"Strongly support public, regulated biobanking; least support for minimal regulation."
7ca71a86-97b9-44ce-87d8-3b176400e2c0,2025-03-25 21:44:20.846146+00:00,cohere,command-r-08-2024,0,5865.0,376.0,High.privacy.and.public.ownership.with.regulation.supported.
e5aba67c-471b-473b-b148-6afd25ad2fc3,2025-03-25 21:44:31.889269+00:00,cohere,command-r-08-2024,0,5861.0,372.0,"StrongestSupportForHighPrivacy,LeastSupportForMinimalInputPublicResources"
