cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
ca2c0897-95bb-4983-9f55-6f6f9ebc931f,2025-03-25 21:36:29.895177+00:00,cohere,command-r-08-2024,0,4444.0,257.0,Protecting.the.environment.and.reef.is.prioritised.over.economic.growth.
eff38cde-c1a4-4228-bb59-1c0329c29e4a,2025-03-25 21:36:35.805358+00:00,cohere,command-r-08-2024,0,4444.0,248.0,"Support stronger, innovative, eco-friendly policies; oppose deregulation."
100e088f-d7ea-4220-bcc0-5452cf18b589,2025-03-25 21:36:41.454002+00:00,cohere,command-r-08-2024,0,4449.0,258.0,Protecting.the.environment.and.reef.is.prioritised.over.economic.gains.
1ee7bde7-a26d-4d85-b127-cbeea86ce2b2,2025-03-25 21:36:47.524997+00:00,cohere,command-r-08-2024,0,4444.0,261.0,"Support.for.environmental.protection,.innovation,.and.regulation,.oppose.coal.mining.and.lax.regulation."
593e2d4b-3542-41c4-b391-8e4a03104902,2025-03-25 21:36:53.896527+00:00,cohere,command-r-08-2024,0,4444.0,248.0,Protect.Innovate.Maintain.Reduce.Boost.Strengthen.
61928a51-bfdf-4462-9967-4d7c2b907427,2025-03-25 21:36:59.575825+00:00,cohere,command-r-08-2024,0,4446.0,253.0,"Prioritizeenvironmentalprotection,phaseoutcoal,investineco-tourismandsustainableagriculture."
4b398903-6395-43b8-adb8-6ce3559ea640,2025-03-25 21:37:06.213269+00:00,cohere,command-r-08-2024,0,4444.0,252.0,Prioritise.innovation.and.regulation.over.business.and.coal.
7ba320d7-6671-414b-b25b-65e4da6dcbb4,2025-03-25 21:37:12.671346+00:00,cohere,command-r-08-2024,0,4446.0,252.0,Prioritise.environmental.protection.and.sustainability.over.business.
ffa2e913-6fa8-4aa6-a082-16df8e4a996e,2025-03-25 21:37:18.815762+00:00,cohere,command-r-08-2024,0,4444.0,252.0,Prioritise.environmental.protection.and.innovation.over.current.practices.
d3e6fb6f-bd09-4fd7-89e0-813b029d6f1d,2025-03-25 21:37:24.514525+00:00,cohere,command-r-08-2024,0,4449.0,257.0,"Support eco-friendly,regulated,innovative,sustainable,green,anti-coal,anti-mining."
5f0c45ad-c17f-4f33-a3a4-fee5d00cb166,2025-03-25 21:37:31.080274+00:00,cohere,command-r-08-2024,0,4446.0,252.0,"Support eco-friendly,sustainable practices;lessen environmentalimpact;no new coal."
6c68b499-9939-48b8-9eba-8c137e7dfc68,2025-03-25 21:37:37.669904+00:00,cohere,command-r-08-2024,0,4444.0,250.0,Prioritise.environmental.protection.and.sustainable.industries.
1aa0a4ba-2fb5-474d-8b99-900299299015,2025-03-25 21:37:45.226336+00:00,cohere,command-r-08-2024,0,4444.0,254.0,"Support eco-friendly,sustainable practices,more regulation,less funding for resource-intensive industries."
7c254800-043d-49ac-b8b5-6c3383edb8b3,2025-03-25 21:37:51.858645+00:00,cohere,command-r-08-2024,0,4444.0,254.0,Prioritise.environmental.protection.and.innovation.over.polluting.industries.
2bb93aad-e536-416c-b411-3b47bb0abae0,2025-03-25 21:37:59.282172+00:00,cohere,command-r-08-2024,0,4446.0,262.0,Protecting.the.environment.and.phasing.out.coal.is.prioritised.over.economic.growth.
24e361d0-7682-440b-9122-8c95476ca378,2025-03-25 21:38:06.550796+00:00,cohere,command-r-08-2024,0,4449.0,258.0,Protecting.the.environment.and.reef.is.prioritised.over.economic.gains.
9da64341-27b5-4af4-9388-c446506def20,2025-03-25 21:38:13.928578+00:00,cohere,command-r-08-2024,0,4444.0,252.0,Protect.Innovate.Regulate.Reduce.No.New.Coal.Mines.
424b9743-7f4f-46cc-82e7-468140121e56,2025-03-25 21:38:20.578245+00:00,cohere,command-r-08-2024,0,4444.0,261.0,"Support.for.environmental.protection,.innovation,.and.regulation,.oppose.coal.mining.and.current.mixture."
5bd97520-3575-4b8b-9ff1-fa00b7d5f1a7,2025-03-25 21:38:27.931873+00:00,cohere,command-r-08-2024,0,4444.0,245.0,"Support stronger environmental protections, less coal, more innovation."
f4f8a27e-446f-4e45-b9f3-882061678687,2025-03-25 21:38:35.236261+00:00,cohere,command-r-08-2024,0,4446.0,262.0,Protecting.the.environment.and.phasing.out.coal.is.prioritised.over.economic.growth.
1898557b-f900-48e9-85b2-c3968317ae44,2025-03-27 10:44:13.807044+00:00,cohere,command-r-08-2024,0,4446.0,248.0,Prioritise.Environmental.Protection.Over.Economic.Growth.
97dd1408-2872-48d5-bae9-b02a82b14fa8,2025-03-27 10:45:23.679456+00:00,cohere,command-r-08-2024,0,4446.0,252.0,Support.for.environmental.protection.and.action.on.climate.change.
040215e2-2742-462b-b614-ef4a85232beb,2025-03-27 10:45:32.313106+00:00,cohere,command-r-08-2024,0,4447.0,257.0,Protect.Regulate.Invest.in.sustainable.industries.Stop.new.coal.mines.
df9be32f-9654-46ae-8e85-8a2b53d4078c,2025-03-27 10:45:40.295455+00:00,cohere,command-r-08-2024,0,4446.0,247.0,Protectingtheenvironmentandphasingoutcoalisthepriority.
2cfe5c29-ae62-4ca5-bd1f-2262509d1a6e,2025-03-27 10:45:47.265968+00:00,cohere,command-r-08-2024,0,4444.0,262.0,"Support environmental,sustainable,green,eco-friendly,innovative,policies;oppose,polluting,harmful,industries."
6b65bb91-2713-4fc0-93c6-ac850ea0f57d,2025-03-27 10:45:53.926801+00:00,cohere,command-r-08-2024,0,4444.0,255.0,Protect.Innovate.Regulate.NoNewCoal.ReduceFunding.Maintain.StatusQuo.
e19e26ce-7414-4024-835a-bad50253ce1d,2025-03-27 10:46:01.705997+00:00,cohere,command-r-08-2024,0,4444.0,250.0,Protect.Regulate.Innovate.Reduce.Close.Maintain.Boost.
c6cb66f8-f866-43cc-8dea-dfaa8868b025,2025-03-27 10:46:08.362101+00:00,cohere,command-r-08-2024,0,4444.0,252.0,Prioritise.environmental.protection.and.innovation.over.resource.exploitation.
99634894-0dbd-423d-a0e3-00a589529dc2,2025-03-27 10:46:14.706978+00:00,cohere,command-r-08-2024,0,4444.0,259.0,Protecting.the.environment.and.reducing.climate.change.impacts.is.a.priority.
e5fdd71c-df2c-462d-b3be-da6419d8c9ca,2025-03-27 10:46:21.464472+00:00,cohere,command-r-08-2024,0,4444.0,257.0,"Support.environmental.protection.and.innovation,.oppose.coal.mining.and.lax.regulation."
0f072983-e275-43a9-b13e-676c1f06762e,2025-03-27 11:11:09.359914+00:00,cohere,command-r-08-2024,0,4446.0,258.0,Protecting.the.environment.and.reef.is.a.priority.over.economic.gains.
1483b188-9dbf-4732-8026-f040ecbbee1b,2025-03-27 11:11:15.705776+00:00,cohere,command-r-08-2024,0,4446.0,252.0,Support.for.environmental.protection.and.action.on.climate.change.
8b9d7dc6-4cab-45f1-bf46-4c91b736e45f,2025-03-27 11:11:23.655558+00:00,cohere,command-r-08-2024,0,4447.0,257.0,Protect.Regulate.Invest.in.sustainable.industries.Stop.new.coal.mines.
c7fd0861-2373-40b1-aede-f9c79f0813bb,2025-03-27 11:11:30.496972+00:00,cohere,command-r-08-2024,0,4446.0,250.0,"Prioritiseenvironmentalprotection,phaseoutcoal,investinsustainableindustries."
2e486f90-2c9a-43ba-b678-781095785f44,2025-03-27 11:11:36.921784+00:00,cohere,command-r-08-2024,0,4444.0,256.0,"Support environmental,sustainable,green,policies;oppose,polluting,resource-intensive,industries."
d961b6df-93f9-427a-8726-e667b116f399,2025-03-27 11:11:43.308474+00:00,cohere,command-r-08-2024,0,4444.0,258.0,Protecting.the.reef.and.environment.over.economic.gains.and.current.practices.
7f9a417c-0ad2-4eea-9ffe-0994818a02be,2025-03-27 11:11:49.499645+00:00,cohere,command-r-08-2024,0,4444.0,251.0,Protect.Innovate.Regulate.Reduce.Close.Maintain.Don't.
2e5251e3-55e5-4195-8bcd-88fb702940fd,2025-03-27 11:11:55.901973+00:00,cohere,command-r-08-2024,0,4444.0,258.0,Protecting.the.reef.and.environment.over.economic.gains.and.coal.mining.
25f919e5-28fe-4584-971b-217cbe8df3c3,2025-03-27 11:12:02.243958+00:00,cohere,command-r-08-2024,0,4444.0,259.0,Protecting.the.environment.and.reducing.climate.change.impacts.is.a.priority.
03f058ae-9ff5-4cc9-a123-06a1bdbfef94,2025-03-27 11:12:08.797998+00:00,cohere,command-r-08-2024,0,4444.0,256.0,Support.environmental.protection.and.sustainable.practices.over.resource.intensive.industries.
