cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
a27dd411-3bd8-456d-b698-aaa630620f56,2025-03-26 08:20:41.875016+00:00,cohere,command-r-plus-08-2024,0,4229.0,239.0,1,6,4,3,2,5,7
12130e38-62e7-445d-b8fc-e6b3a0b82b4d,2025-03-26 08:20:49.743285+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,6,1,5,2,7,4,3
de34a2ee-8792-41f7-9688-4060cabc4f30,2025-03-26 08:20:57.930186+00:00,cohere,command-r-plus-08-2024,0,4229.0,238.0,6,4,7,2,5,3,1
9fada295-9f7f-4f37-a0b3-fc8d5182bf78,2025-03-26 08:21:05.712034+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,5,2,7,3,1,6,4
d4f8f2f9-212c-42d1-b4ef-16ca1deb7382,2025-03-26 08:21:13.545462+00:00,cohere,command-r-plus-08-2024,0,4229.0,241.0,5,7,4,3,2,6,1
38a02fca-a22c-4614-8955-fa81dcd80248,2025-03-27 13:05:16.447798+00:00,cohere,command-r-plus-08-2024,0,4229.0,238.0,1,4,6,3,2,5,7
47bbe9bc-d1f4-4fb1-90e4-86af21bce62c,2025-03-27 13:05:24.938514+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,6,7,5,2,3,4,1
3333ca5c-1e21-4668-816e-597143dc0ec8,2025-03-27 13:05:33.153284+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,4,6,5,2,7,3,1
4b593a27-ae32-4cc6-a5d5-b3d0682f0fba,2025-03-27 13:05:41.104686+00:00,cohere,command-r-plus-08-2024,0,4229.0,236.0,3,2,7,1,6,5,4
eb24f080-553e-4a48-9bfa-4f5ee00fb8f9,2025-03-27 13:05:49.183801+00:00,cohere,command-r-plus-08-2024,0,4229.0,238.0,5,7,4,3,2,1,6
80c9a971-2d15-4ded-9daa-43c52aaede3d,2025-03-27 13:37:19.559222+00:00,cohere,command-r-plus-08-2024,0,4229.0,239.0,7,6,5,1,3,4,2
5416c7f9-803e-4247-9cc7-015b6bb0c2cc,2025-03-27 13:37:28.916198+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,4,3,2,1,6,7,5
b8d002ba-7e15-4ad8-87b8-e3b3b7397f45,2025-03-27 13:37:37.933740+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,6,7,4,2,1,5,3
f17152d6-406a-4fe0-8fc8-9ff509adbfea,2025-03-27 13:37:46.329764+00:00,cohere,command-r-plus-08-2024,0,4229.0,241.0,3,1,6,7,2,5,4
f6498601-41b1-4607-a58a-96b039959f2d,2025-03-27 13:37:54.622756+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,2,7,1,3,6,5,4
2e6d64a1-06e1-4f45-9251-e683d515450c,2025-03-27 13:38:02.806801+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,7,2,5,4,1,6,3
c957b3ca-8736-48f5-b731-16476853a982,2025-03-27 13:38:11.320346+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,4,7,2,6,1,3,5
67f4d07c-c158-4a5b-86a6-0e1f40f2b9e5,2025-03-27 13:38:20.122315+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,7,6,4,3,1,2,5
2addd3cb-7de9-4ece-8d32-a98aa660ade3,2025-03-27 13:38:29.335403+00:00,cohere,command-r-plus-08-2024,0,4229.0,235.0,6,7,4,2,1,3,5
d5f7380a-f78f-47d7-92c9-1437cee4766f,2025-03-27 13:38:37.665637+00:00,cohere,command-r-plus-08-2024,0,4229.0,235.0,5,7,4,3,6,1,2
1d9f1237-ec64-4139-8278-9d97e45f9ce1,2025-03-27 13:38:46.333322+00:00,cohere,command-r-plus-08-2024,0,4229.0,235.0,7,1,2,3,6,4,5
ab0907ee-9043-4db1-999c-c8a9120f0f1b,2025-03-27 13:38:54.754674+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,6,7,2,4,1,3,5
7cddde1b-b60d-45a3-bdcd-a804313bfa0a,2025-03-27 13:39:02.921117+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,7,1,4,2,6,5,3
44c3814e-0d7f-41f0-a20b-391e7ea882bc,2025-03-27 13:39:11.321655+00:00,cohere,command-r-plus-08-2024,0,4229.0,231.0,7,4,2,6,5,3,1
ede83248-4944-4861-a75f-0e6389582488,2025-03-27 13:39:24.222279+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,2,6,7,5,4,3,1
fedf7ef6-6ab8-4103-b0f2-829bb3f00c25,2025-03-27 14:56:44.924211+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,6,7,5,2,1,4,3
c0c84c02-9308-437e-8f43-69369462434f,2025-03-27 14:56:52.560110+00:00,cohere,command-r-plus-08-2024,0,4229.0,237.0,3,1,4,5,7,6,2
43607682-979b-487c-9261-53e322ca8fb5,2025-03-27 14:57:00.413210+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,5,6,1,2,7,4,3
a2dc5f62-0e83-48e7-a9b7-fefe239e434f,2025-03-27 14:57:08.229434+00:00,cohere,command-r-plus-08-2024,0,4229.0,239.0,7,4,1,2,6,3,5
72d4c9a3-fe21-4f78-8fb1-8c785835f0d0,2025-03-27 14:57:16.629258+00:00,cohere,command-r-plus-08-2024,0,4229.0,235.0,6,7,2,5,1,3,4
f90c5075-a9bf-483b-87ae-3c043ce26569,2025-03-27 14:57:24.240417+00:00,cohere,command-r-plus-08-2024,0,4229.0,240.0,7,6,3,5,1,4,2
17b6f495-8f72-4e18-814f-4fedf6c2cedb,2025-03-27 14:57:32.150897+00:00,cohere,command-r-plus-08-2024,0,4229.0,242.0,1,7,4,3,2,6,5
676431b3-9d71-4e7e-b94d-3e102b07386d,2025-03-27 14:57:39.914593+00:00,cohere,command-r-plus-08-2024,0,4229.0,238.0,4,7,2,5,3,6,1
