cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Ban Begging within Sweden,P2. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months,P3. Enforce existing laws without special consideration for beggars,P4. Forbid giving money to beggars,P5. Focus resources on addressing the the problem in source countries such as Romania,P6. Ban Illegal Settlements,P7. Provide accommodation for beggars (more)
891b73ed-9135-4f26-bbfc-50aa15f9d87d,2025-03-26 08:13:39.324318+00:00,cohere,command-r-plus-08-2024,0,4381.0,302.0,2,7,3,6,1,4,5
b860f9f5-b78f-41f7-b421-fce86788125e,2025-03-26 08:13:48.762276+00:00,cohere,command-r-plus-08-2024,0,4381.0,298.0,2,3,4,7,1,6,5
9c6f64be-2867-4a5e-a2d2-321e54255afa,2025-03-26 08:13:58.186987+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,4,1,7,5,2,6,3
46bcab18-6e13-48ac-8758-e35f8acc69ba,2025-03-26 08:14:07.508675+00:00,cohere,command-r-plus-08-2024,0,4381.0,298.0,2,4,6,5,3,7,1
3e9cdaa1-4609-46ef-8dd3-db1e60d7ce74,2025-03-26 08:14:16.728881+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,2,7,6,3,1,5,4
ebb2c805-1b0f-480f-bb7d-656e0c58a0a5,2025-03-27 12:58:42.515321+00:00,cohere,command-r-plus-08-2024,0,4381.0,298.0,2,6,5,3,1,7,4
36d7c9a7-9f64-4e8e-81a5-35116a255be8,2025-03-27 13:15:50.628318+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,7,1,6,4,2,5,3
3a2eda70-410e-4825-b150-aae8e2ba5d77,2025-03-27 13:16:28.949886+00:00,cohere,command-r-plus-08-2024,0,4381.0,303.0,2,7,5,3,1,6,4
e2787c90-590e-4a85-8dea-6c714717ca4d,2025-03-27 13:16:39.420197+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,7,2,5,6,1,3,4
23ad81ef-5598-4910-8a68-6ab944113690,2025-03-27 13:16:59.183704+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,2,4,7,3,1,6,5
5e9f20ff-87a1-41aa-8eed-2a8dfa4f7241,2025-03-27 13:17:09.948308+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,4,2,6,7,1,5,3
c45d6654-c7b9-496c-8c6f-5f3147353bbc,2025-03-27 13:17:19.797424+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,2,5,6,4,1,7,3
0f04139a-db8b-4d6f-98d3-caaaa3fae60b,2025-03-27 13:17:29.700529+00:00,cohere,command-r-plus-08-2024,0,4384.0,297.0,3,7,2,5,1,4,6
16f96b03-7542-41ad-b5ed-d583107f3aac,2025-03-27 13:17:40.149791+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,7,2,3,6,1,4,5
64fb9625-e65a-4f96-b519-6f7728904eb2,2025-03-27 13:17:50.784727+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,2,4,6,5,7,1,3
bfe78d00-99c0-4bde-b312-e13712745034,2025-03-27 13:18:01.354898+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,5,7,2,6,1,4,3
db4b3288-beaa-4316-919c-6b81d1dc4e0a,2025-03-27 13:18:11.894340+00:00,cohere,command-r-plus-08-2024,0,4381.0,295.0,6,7,2,4,1,3,5
80588adb-4335-4ba5-84a8-91712d03391b,2025-03-27 14:10:43.571628+00:00,cohere,command-r-plus-08-2024,0,4381.0,304.0,2,3,4,7,1,6,5
f8fdff03-a578-4b97-aff6-619407d4d741,2025-03-27 14:10:54.219851+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,3,7,5,4,1,6,2
5f303d7e-c82b-4f72-bda8-bab35b6f0e37,2025-03-27 14:11:04.775359+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,2,4,6,5,3,7,1
74f415a6-3556-4c4b-8f98-b9586281f620,2025-03-27 14:11:15.531615+00:00,cohere,command-r-plus-08-2024,0,4381.0,298.0,2,6,5,3,1,7,4
d7e316b6-3a80-4fb6-a075-4c87e1099cc8,2025-03-27 14:11:25.873143+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,6,2,5,7,1,3,4
02608ad6-8f98-4794-9771-9da33ecfbd14,2025-03-27 14:11:36.522309+00:00,cohere,command-r-plus-08-2024,0,4381.0,300.0,4,1,6,5,2,7,3
4c33aad6-1ccf-4ff2-bf93-83986c8eadaf,2025-03-27 14:11:46.372021+00:00,cohere,command-r-plus-08-2024,0,4381.0,300.0,2,4,7,3,1,6,5
b6aa26b9-4d2d-43c6-8bce-010c3b8d7a64,2025-03-27 14:11:57.309965+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,4,2,6,5,7,1,3
870dd329-74e8-4013-84a2-94415562cbce,2025-03-27 14:12:07.541195+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,2,7,4,5,1,3,6
90af3f2d-2b4a-4812-8cbd-a2af8f9f6d39,2025-03-27 14:12:18.859091+00:00,cohere,command-r-plus-08-2024,0,4384.0,294.0,3,7,2,5,1,4,6
88f107db-ead3-4446-8be1-58e0b3fbb469,2025-03-27 14:12:29.364859+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,7,2,3,6,1,4,5
efe3c4bc-4482-49f0-9373-ed2f133ba6b1,2025-03-27 14:12:40.629990+00:00,cohere,command-r-plus-08-2024,0,4381.0,295.0,2,4,5,6,7,1,3
0f427977-0166-4eee-9202-c68e7bffd21f,2025-03-27 14:26:08.347555+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,3,7,5,4,1,6,2
3c9c409f-1a34-4df6-9ad7-c306f626bbfd,2025-03-27 14:26:17.612219+00:00,cohere,command-r-plus-08-2024,0,4381.0,299.0,7,5,3,4,1,6,2
94ed9988-0cea-4daf-a54b-681fd8a9c849,2025-03-27 14:26:27.091041+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,2,4,5,3,1,7,6
d3969bbe-9a95-489b-81ab-f9d7da6d12e0,2025-03-27 14:26:37.427810+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,6,2,5,7,1,3,4
01fd146f-29c0-4f14-b324-df893e6c58da,2025-03-27 14:26:46.804901+00:00,cohere,command-r-plus-08-2024,0,4381.0,298.0,6,7,3,5,1,4,2
4bff8a3e-a97b-4710-a0e2-fc9720463e2f,2025-03-27 14:27:04.566844+00:00,cohere,command-r-plus-08-2024,0,4381.0,297.0,6,1,5,7,2,3,4
649b0bec-1d77-4f38-aff1-ea992fcfa5b5,2025-03-27 14:27:14.499584+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,1,5,4,6,7,2,3
93c338a0-981b-4f9c-8bb5-3d4fe8568650,2025-03-27 14:27:24.356165+00:00,cohere,command-r-plus-08-2024,0,4384.0,296.0,3,7,2,6,1,4,5
01fdebab-618e-4bc9-902e-9802659bd5d1,2025-03-27 14:27:33.986403+00:00,cohere,command-r-plus-08-2024,0,4381.0,301.0,7,2,3,6,1,4,5
027b284e-690f-4add-adf7-c3a0231f72af,2025-03-27 14:27:43.989975+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,7,4,5,6,1,2,3
a72d1a09-28c9-4b9f-95fb-036a14e47654,2025-03-27 14:28:08.245571+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,7,1,6,4,2,5,3
00ac03b2-ed56-4e99-a7f2-3db319bdb901,2025-03-27 14:28:19.417477+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,7,6,5,1,2,4,3
a528a582-d595-4590-b593-b94ab5039735,2025-03-27 14:28:30.109898+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,7,1,4,5,2,6,3
e12e0a7c-b492-42e2-948b-5df8575a66c5,2025-03-27 14:28:49.935104+00:00,cohere,command-r-plus-08-2024,0,4381.0,304.0,2,6,5,3,1,4,7
d2ee3769-a73e-4f0a-a2f6-f9ce75e6389e,2025-03-27 14:29:00.560756+00:00,cohere,command-r-plus-08-2024,0,4381.0,293.0,6,2,5,7,1,3,4
05148989-390e-4110-88a2-c21b6b2dbf13,2025-03-27 14:33:37.184912+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,6,1,5,4,2,7,3
0ca0a860-2871-4d87-a342-667d0590b9a9,2025-03-27 14:33:46.865699+00:00,cohere,command-r-plus-08-2024,0,4381.0,295.0,2,3,4,7,1,6,5
b3ac42b6-574f-4882-80c5-e2e932716c6d,2025-03-27 14:33:56.880279+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,3,7,5,4,1,6,2
b7434238-8690-4179-a2e3-2d7c96121c13,2025-03-27 14:34:07.158501+00:00,cohere,command-r-plus-08-2024,0,4381.0,299.0,3,5,6,4,1,7,2
14301d0e-7bac-4f92-b779-d64600d8c7e6,2025-03-27 14:34:16.891877+00:00,cohere,command-r-plus-08-2024,0,4381.0,300.0,2,7,6,3,1,5,4
b4863b6e-e520-48c5-be09-b964e497f487,2025-03-27 14:34:26.316745+00:00,cohere,command-r-plus-08-2024,0,4381.0,296.0,6,2,5,7,1,3,4
856a447c-06df-4d4d-a6c1-d164790aa716,2025-03-27 14:34:43.947325+00:00,cohere,command-r-plus-08-2024,0,4381.0,294.0,2,4,5,6,1,7,3
