cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
4a5de2f8-7728-4f7a-94ea-36e907408a7d,2025-03-25 22:22:30.548192+00:00,cohere,command,0,4441.0,254.0,8,5,4,2,1,3,6,7
788eafa8-6dfe-43c3-a5d0-5156f2398bf9,2025-03-25 22:22:44.422978+00:00,cohere,command,0,4495.0,298.0,4,2,7,5,3,8,1,6
5a518811-c364-4de2-8da7-c9994c62045c,2025-03-25 22:22:57.555670+00:00,cohere,command,0,4441.0,243.0,2,6,7,5,3,1,8,4
6e017a19-4d8f-4b06-bc84-df1f85a22451,2025-03-25 22:23:12.043752+00:00,cohere,command,0,4645.0,386.0,5,7,6,2,4,8,1,3
adb6a028-d7cf-47d1-8ca2-c011c84a9592,2025-03-25 22:23:28.270702+00:00,cohere,command,0,4441.0,238.0,1,8,4,6,2,3,5,7
62b2077f-c3af-45c0-83f9-c6a389b6ab8a,2025-03-25 22:23:38.873771+00:00,cohere,command,0,4441.0,2599.0,6,3,8,1,2,4,7,5
0758a69d-2383-4b6e-b7d5-1295e7b61789,2025-03-25 22:25:37.415014+00:00,cohere,command,0,4441.0,240.0,6,1,7,2,3,4,8,5
8d6b47e0-4539-415b-8062-23f8ed7173da,2025-03-25 22:25:53.776281+00:00,cohere,command,0,4441.0,319.0,7,6,8,5,1,2,3,4
b67722de-0053-4d78-88ed-a5eadef8ac55,2025-03-25 22:26:15.083239+00:00,cohere,command,0,4441.0,236.0,6,3,4,7,1,5,2,8
27bd4f92-e622-470b-a270-eb728f51fa17,2025-03-25 22:26:28.499746+00:00,cohere,command,0,4441.0,251.0,7,3,4,2,1,5,8,6
ebe99af2-055f-45a0-8fa5-26986a16600e,2025-03-25 22:26:43.857842+00:00,cohere,command,0,4441.0,248.0,7,5,2,6,8,1,4,3
67e898bd-dd7d-4b33-bb7a-f7e968677c93,2025-03-25 22:26:55.020183+00:00,cohere,command,0,4441.0,239.0,8,2,7,3,4,6,5,1
4002a0ae-2c4f-4947-b4f5-ac26f10330c2,2025-03-25 22:27:05.767372+00:00,cohere,command,0,4477.0,257.0,7,8,3,2,4,6,1,5
adb04425-1acf-42d2-9e9e-ef449314fc1c,2025-03-25 22:27:17.955470+00:00,cohere,command,0,4441.0,238.0,5,8,1,3,4,2,7,6
d98f6e56-fb46-406b-b10a-ba9e4d6aa400,2025-03-25 22:27:28.607386+00:00,cohere,command,0,4441.0,238.0,7,2,3,5,4,8,6,1
276bbc54-6958-4b44-b209-1ce059877dd1,2025-03-25 22:27:39.461573+00:00,cohere,command,0,4441.0,238.0,8,5,7,4,1,6,2,3
92036728-5b60-4e87-bd8b-591638a3fd8a,2025-03-25 22:27:51.799819+00:00,cohere,command,0,4548.0,320.0,7,5,2,6,3,1,4,8
027db3d6-85b5-4bfc-8e65-a7f04b8bdd62,2025-03-25 22:28:07.615340+00:00,cohere,command,0,4441.0,236.0,8,4,5,7,3,1,6,2
a387847a-2e61-472c-b65a-f7df947d7358,2025-03-25 22:28:32.806062+00:00,cohere,command,0,4441.0,249.0,1,8,3,5,6,4,7,2
dfb2e296-fba8-4cfd-86d9-5c60711a5fa7,2025-03-27 12:27:01.701325+00:00,cohere,command,0,4441.0,246.0,8,5,7,1,3,4,2,6
34f1ddc9-8ce6-4acd-995d-29db940f38ea,2025-03-27 12:27:14.734689+00:00,cohere,command,0,4441.0,237.0,2,3,1,8,4,7,5,6
2d9f4456-cd39-4cc1-8720-ff8eeb9fb83e,2025-03-27 12:27:25.150067+00:00,cohere,command,0,4441.0,236.0,5,4,7,8,3,2,6,1
5cbfaaf5-3a46-4f71-a381-fdf6cfa6f1a7,2025-03-27 12:27:35.627141+00:00,cohere,command,0,4441.0,235.0,4,6,7,2,8,1,3,5
c72a9240-f58b-43b3-a664-4f0b76826b9f,2025-03-27 12:27:46.065817+00:00,cohere,command,0,4441.0,254.0,7,8,3,4,5,2,6,1
2ffad99b-292e-4bc8-9335-9be23eb72a71,2025-03-27 12:27:57.237051+00:00,cohere,command,0,4441.0,234.0,7,2,6,8,4,3,5,1
4979c790-7702-4032-a42f-9eacb1471f18,2025-03-27 12:28:10.639610+00:00,cohere,command,0,4441.0,270.0,7,5,4,3,8,1,2,6
45a43558-a3be-46af-81de-319160b97dbf,2025-03-27 12:28:22.333015+00:00,cohere,command,0,4441.0,241.0,2,7,4,6,3,8,1,5
86d5151b-1113-426b-ba7b-4f37b8027b4b,2025-03-27 12:28:34.099775+00:00,cohere,command,0,4441.0,265.0,7,5,6,4,8,1,2,3
2bead5ff-2e17-44fe-a4a6-b989c28325cc,2025-03-27 12:28:47.149675+00:00,cohere,command,0,4441.0,248.0,2,6,1,5,3,8,4,7
665c3776-3e14-4159-b3e1-13ecba94c8af,2025-03-27 12:29:00.007858+00:00,cohere,command,0,4441.0,238.0,1,5,4,7,8,3,2,6
19e2701d-14e7-4ad0-9696-4550232ae6e1,2025-03-27 12:29:11.670031+00:00,cohere,command,0,4441.0,243.0,8,5,3,6,4,2,7,1
3c5fae07-ff8e-4f7b-bb2e-19f296eb00fe,2025-03-27 12:29:22.535182+00:00,cohere,command,0,4441.0,256.0,7,2,1,4,3,5,6,8
030686af-1bfb-4016-91c4-feb7d8a9f408,2025-03-27 12:29:34.652429+00:00,cohere,command,0,4441.0,259.0,3,7,6,4,1,8,5,2
54df09b1-60c0-4c08-8166-637993871188,2025-03-27 12:29:45.873594+00:00,cohere,command,0,4441.0,251.0,7,8,3,4,2,5,6,1
bfbda0f0-7b65-4744-af46-02486b3c2e7e,2025-03-27 12:29:56.844833+00:00,cohere,command,0,4441.0,238.0,7,6,2,1,3,8,5,4
