cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. Short term development thinking will ultimately lead to longer term reef damage and economic impacts.,C2. Economic development associated with mining will provide more opportunities for future generations in North Queensland.,C3. Protection of the Great Barrier Reef is worthwhile at whatever cost.,C4. If we don't take steps to protect the Great Barrier Reef future generations will miss out on the opportunity to experience the reef.,C5. We don't need to worry too much about environmental damage in the Great Barrier Reef because future generations will be better able to deal with these problems than we are.,"C6. If future generations could have their say about the Great Barrier Reef, they would be less concerned about the environmental impacts than many people make out.",C7. Townsville is better off because of mining development.,"C8. We should prioritise protecting the environment in Townsville, even if it hurts our economy.",C9. Jobs and growth in Townsville should be prioritised over Great Barrier Reef protection.,C10. Government should be doing more to reduce greenhouse gas emissions.,C11. Mining development in Australia is a risk to the environment.,C12. I think enough is being done to effectively manage the Great Barrier Reef.,C13. Climate change impacts on the Great Barrier Reef aren't something I'm worried about.,"C14. Climate change is a threat, but the impacts are too distant for immediate concern.","C15. Each new Australian coal mine will contribute greenhouse emissions that exacerbate the risk of climate change, and impacts to the Reef.",C16. There is no point throwing money at protecting the reef if our other actions contribute to its continuing decline.,C17. The Great Barrier Reef underpins more direct and indirect jobs than mining does. ,C18. The negative publicity about climate change impacts on the reef has negatively affected the local tourism industry.,C19. A few self-interested politicians and influential companies are prepared to sacrifice our well-being for their own short-term gain.,"C20. Government should provide funding support for industry, including mining projects such as the Adani mine.","C21. Coal-generated electricity must be phased out if we are to avoid catastrophic impacts of global warming, including the loss of the Great Barrier Reef.",C22. The Great Barrier Reef is a great asset for the economy of this region and we should prioritise protecting it.,C23. Climate change is an immediate threat requiring action.,C24. I feel that future generations have been adequately considered in the management of the Great Barrier Reef.,C25. The mining industry provides thousands of jobs. Without it unemployment would have skyrocketed in regional Queensland.,C26. There are more jobs to lose from Great Barrier Reef tourism than to be gained from the coal industry.,C27. Australia's contribution to global greenhouse gas emissions is so small that we should wait for other countries to take action on climate change before we do. ,"C28. If we are serious about maintaining and improving people's living standards in Townsville, we need to make the most out of coal exports.",C29. We should prioritise economic development and job creation in Townsville over the environment. ,C30. It is not possible to conserve the reef over the long term without addressing climate change ,"C31. While job creation is important, we should prioritise industries that have less impact on the reef over those that have greater impact on the reef. ",C32. The first priority should be reducing other pressures on the reef (such as agricultural runoff or coastal development) so that the reef will be more resilient to climate change impacts. ,C33. More scientific research is needed before we can say if climate change is a threat to the Great Barrier Reef.,C34. Deep-pocketed green groups are willing to sacrifice our local economy for their own goals. ,C35. There is no strong scientific evidence to suggest that the Great Barrier Reef is under threat from climate change.
48f4346a-21fd-43ea-88b6-85cd71b235d2,2025-03-25 22:17:58.616705+00:00,cohere,command,0,3781.0,230.0,5,3,6,5,4,2,3,4,2,6,7,4,3,3,4,7,7,5,5,5,7,5,7,3,4,6,2,3,1,7,6,7,2,1,4
02b154e1-a048-4ec7-aecc-1fce11c96f7c,2025-03-25 22:18:19.723264+00:00,cohere,command,0,3781.0,221.0,7,5,7,7,3,4,6,3,1,5,6,5,3,4,6,5,7,5,3,3,1,3,2,5,7,1,3,1,2,7,6,1,2,2,2
6486192a-beb2-4a01-b106-e432f41c6472,2025-03-25 22:18:33.367804+00:00,cohere,command,0,3781.0,218.0,7,7,6,7,3,5,6,7,1,5,6,3,5,3,7,2,7,7,7,7,7,7,7,5,7,7,1,1,1,7,6,7,2,2,4
342b49aa-f290-4418-80e3-1298c26e2b3f,2025-03-25 22:18:59.703150+00:00,cohere,command,0,3781.0,214.0,4,5,7,7,2,2,6,3,1,7,4,3,2,1,7,6,7,5,1,2,7,5,6,4,7,3,2,1,1,1,4,6,3,2,3
5e7a899e-2728-48eb-8940-172907a42be2,2025-03-25 22:19:16.458304+00:00,cohere,command,0,3781.0,204.0,7,6,7,3,1,2,6,3,2,1,7,1,1,2,7,1,3,3,7,7,7,7,3,3,5,7,2,6,2,7,3,7,2,2,1
bc8622e9-ab80-4555-a643-a1a3d8a6e5ef,2025-03-25 22:19:26.277339+00:00,cohere,command,0,3781.0,235.0,7,5,7,6,4,4,7,4,1,6,5,3,4,4,3,2,7,4,4,4,7,5,5,3,4,5,2,6,2,6,6,1,1,3,2
c0d5500c-0289-44d2-b01f-16c5f4244b58,2025-03-25 22:19:46.460090+00:00,cohere,command,0,3781.0,214.0,7,3,7,7,3,2,5,6,1,1,7,3,3,2,7,3,7,6,1,7,7,7,3,5,7,2,2,2,1,6,3,6,3,5,2
e3fe7f3f-b001-4e5b-a968-e1dcacf7f4db,2025-03-25 22:19:57.162161+00:00,cohere,command,0,3781.0,211.0,5,1,7,5,6,1,7,3,2,6,5,3,2,3,3,4,7,5,7,5,7,7,5,4,4,6,1,3,3,7,4,4,3,6,2
501f61a7-21b6-4fd4-a04d-b2b149ef80df,2025-03-25 22:20:08.617777+00:00,cohere,command,0,3781.0,196.0,1,5,7,7,3,4,3,6,2,6,1,3,3,4,1,2,7,7,1,3,3,7,1,5,7,7,4,7,1,7,2,7,5,1,7
37028719-4d14-4228-b4b6-3add99943e36,2025-03-25 22:20:19.348520+00:00,cohere,command,0,3781.0,205.0,7,5,7,7,5,5,5,3,1,3,7,3,1,3,7,1,7,5,5,3,7,7,6,5,3,7,2,1,3,7,4,6,3,5,2
