cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. Invest in innovation and the development of environmentally-friendly practices and industries (e.g. eco-tourism, sustainable agriculture). ",P2. Reduce funding for extractive and resource-intensive industries. ,"P3. No new coal mines, close all existing coal-fired power plants as soon as possible.","P4. Strengthen environmental protection regulations, such as regulation around mining and agriculture, to better protect the reef.",P5. Maintain current levels of environmental protection.,P6. Reduce current environmental regulations to boost local business.,"P7. Maintain current mixture of industries, land uses and practices (e.g. mining, refineries, agriculture and tourism)."
8d5ca182-3884-49bd-9b51-844693bc13ab,2025-03-20 12:16:58.987913+00:00,google,gemini-1.5-flash-8b,0,3870,249,3,6,1,2,4,5,7
476ab40a-d1a6-4a60-9af0-72530920386f,2025-03-20 12:17:03.269600+00:00,google,gemini-1.5-flash-8b,0,3870,248,1,7,2,5,4,6,3
a2850c1e-20ac-4e33-a0fd-60568cdbaee8,2025-03-20 12:17:07.392309+00:00,google,gemini-1.5-flash-8b,0,3870,250,3,5,7,1,6,4,2
a53c1585-65f6-463c-bb86-5e8718a5bd75,2025-03-20 12:17:16.210549+00:00,google,gemini-1.5-flash-8b,0,3870,254,6,3,4,1,5,2,7
eea8dc7c-829c-41db-ac03-3fdc94dc4f02,2025-03-20 12:17:20.584976+00:00,google,gemini-1.5-flash-8b,0,3870,253,1,4,5,2,6,3,7
a5692e70-6ccb-41f7-8f9f-01e2b1ea5ee5,2025-03-20 12:17:24.967585+00:00,google,gemini-1.5-flash-8b,0,3870,270,6,2,5,1,4,3,7
311af271-4b15-41b0-ab8f-d8ce9172e933,2025-03-20 12:17:29.577215+00:00,google,gemini-1.5-flash-8b,0,3870,254,1,3,6,2,4,5,7
8ac827c0-6a3b-4df5-b2fc-a2e509940227,2025-03-20 12:17:34.031696+00:00,google,gemini-1.5-flash-8b,0,3870,252,2,3,1,5,6,4,7
b4abc17b-a93b-4e3f-a49e-601b8797bad4,2025-03-25 10:30:18.580127+00:00,google,gemini-1.5-flash-8b,0,3870,254,4,6,1,2,5,3,7
eef76267-5771-4949-9812-5c70145f7146,2025-03-25 10:30:22.181379+00:00,google,gemini-1.5-flash-8b,0,3870,249,2,3,4,1,6,7,5
562346df-5d74-4e25-91d8-634024fb3ecb,2025-03-25 10:30:25.627408+00:00,google,gemini-1.5-flash-8b,0,3870,254,1,2,4,6,5,3,7
2259ae04-c88c-4991-a6f0-ff50b9a7cff1,2025-03-25 10:30:29.110035+00:00,google,gemini-1.5-flash-8b,0,3870,248,1,4,3,2,5,7,6
5e7306a6-66ed-4e0d-9864-0540aaeee0a4,2025-03-25 10:30:32.800363+00:00,google,gemini-1.5-flash-8b,0,3870,250,4,3,1,7,6,2,5
