cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
3789366e-d142-4521-9eaa-aaafbafc52ba,2025-03-20 12:09:59.585422+00:00,google,gemini-1.5-flash-8b,0,3544,243,"Prioritizing adaptation, then tech/resiliance, then moderate emissions cuts. Least support for status quo, economic growth focus, and individual actions."
ed5953fc-de3d-4708-9699-6325c19c63e3,2025-03-20 12:10:03.870926+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritize climate action, support moderate emission cuts, and adaptable policies."
ce1419b8-1d54-4397-b778-0b1fe90a334e,2025-03-20 12:10:08.082835+00:00,google,gemini-1.5-flash-8b,0,3544,225,"Prioritizing adaptation, local actions, and gradual emission cuts."
f0f89780-0793-4694-a49b-d96ab025c537,2025-03-20 12:10:12.236258+00:00,google,gemini-1.5-flash-8b,0,3544,230,"Prioritizing local adaptation, then broader planning, and lastly, less impactful emission cuts."
62c98d0a-5eba-4e67-adcb-0b27abbef9fc,2025-03-20 12:10:16.514950+00:00,google,gemini-1.5-flash-8b,0,3544,235,"Prioritizing local actions and adaptation, moderate emission cuts preferred over drastic ones, economic growth is least important."
15b23a7e-9703-4143-9c6e-51726beb1cca,2025-03-20 12:10:20.923588+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritizing adaptation, then moderate emission cuts, leaving current policies last."
5e1a1a0d-6f28-42ac-8284-c3c228aa2204,2025-03-25 10:27:25.215323+00:00,google,gemini-1.5-flash-8b,0,3544,237,"Prioritizing local adaptation, gradual emission cuts, and resilience are most important. Economic growth over climate is least important."
96236ef4-8511-47f0-b2db-951568c766a3,2025-03-25 10:27:28.718314+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing community actions and resilience, then adaptation, with gradual emission cuts."
92b3adea-53f1-4be8-be50-fdaff73f284f,2025-03-25 10:27:34.517413+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing local actions, moderate emissions cuts, and adaptation are most important."
9263a3a1-10c8-4c93-ad51-7c12dfd254ad,2025-03-25 10:27:37.801991+00:00,google,gemini-1.5-flash-8b,0,3544,232,"Prioritizing adaptation, then moderate emission cuts, followed by dramatic cuts. Economic growth last."
fe17ce31-ce4d-4047-aadc-7a2bbdeca394,2025-03-25 15:41:24.596098+00:00,google,gemini-1.5-flash-8b,0,3544,243,"Prioritizing adaptation, then tech/resiliance, then moderate emissions cuts. Least support for status quo, economic growth focus, and individual actions."
11ace870-3902-4f90-92c9-4ef1e38924ba,2025-03-25 15:41:27.875863+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritize climate action, support moderate emission cuts, and adaptable policies."
398036a1-b90f-4a75-b368-6f1bc0e9596a,2025-03-25 15:41:31.289619+00:00,google,gemini-1.5-flash-8b,0,3544,225,"Prioritizing adaptation, local actions, and gradual emission cuts."
4e4a0ec2-f295-4359-b24b-f2fd5d6bf067,2025-03-25 15:41:34.562566+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing local actions, then planning, then gradual emissions cuts is best."
03cb6e18-d4fa-4746-b5ba-7e5cebba312f,2025-03-25 15:41:40.403842+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritizing adaptation, then moderate emissions cuts, leaving current policies last."
41420031-9d28-4926-8ebe-d72f82d151b8,2025-03-25 15:41:47.060629+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritizing community-based adaptation and resilience, with moderate emission cuts."
e608d4a2-caff-4e7f-bfc9-7ca0b81b3e61,2025-03-27 09:30:35.805110+00:00,google,gemini-1.5-flash-8b,0,3544,245,"Prioritizing adaptation, then local actions, leaving current policies last. Economic growth is low priority. Emissions cuts are a concern but not the top priority."
09cab4ea-44fd-4314-9653-b0caa32dc426,2025-03-27 09:30:39.027707+00:00,google,gemini-1.5-flash-8b,0,3544,226,"Prioritizing local actions, then adaptation, then moderate emissions cuts."
6ba4b803-0ef0-4879-add5-0e67dd738794,2025-03-27 09:30:42.023932+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing adaptation, moderate emissions cuts, and community action are most important."
ea3988c0-940e-4b04-a1a4-591f587c93da,2025-03-27 09:30:45.056818+00:00,google,gemini-1.5-flash-8b,0,3544,231,"Prioritizing adaptation, then moderate emissions cuts, with least support for policies prioritizing economic growth."
8b5f52f0-eded-4b1f-8296-832565ae6583,2025-03-27 09:30:50.718587+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritizing adaptation, then moderate emissions cuts, least supporting dramatic cuts."
f97af8a9-ade9-4bbf-8789-b01fac582e85,2025-03-27 09:30:54.455308+00:00,google,gemini-1.5-flash-8b,0,3544,232,"Prioritizing community adaptation, then broader adaptation, then mitigation. Least support for radical change."
f44cb5be-64fc-4010-b2bb-7ee44674ff35,2025-03-27 09:30:57.539044+00:00,google,gemini-1.5-flash-8b,0,3544,230,"Prioritizing adaptation, then moderate emission cuts, least support for policies prioritizing economic growth."
7b292f76-d9fb-4dc3-bcd5-9adafc40fb58,2025-03-27 09:31:00.705306+00:00,google,gemini-1.5-flash-8b,0,3544,232,"Prioritizing community-based adaptation and moderate emission cuts, while supporting adaptation measures and new technologies."
37eeb6a1-a52a-475b-9f43-f1a66a6aa3ad,2025-03-27 09:31:03.925591+00:00,google,gemini-1.5-flash-8b,0,3544,231,"Prioritizing community-based adaptation, then moderate emissions cuts, least concerned with current policies."
bc5be451-0f36-4263-85e8-4d9272780992,2025-03-27 09:31:07.101412+00:00,google,gemini-1.5-flash-8b,0,3544,226,"Prioritizing local adaptation, then broader adaptation, then emissions reduction."
67d10613-49f2-4496-a2f0-559799bfcce1,2025-03-27 09:31:10.401873+00:00,google,gemini-1.5-flash-8b,0,3544,231,"Prioritizing local adaptation, moderate emissions cuts, and rejecting policies prioritizing economic growth over climate."
07d4b073-4a5c-4183-a999-64ac099817cc,2025-03-27 09:31:13.567311+00:00,google,gemini-1.5-flash-8b,0,3544,233,"Prioritizing local/community adaptation, then moderate emissions cuts, and lastly, policies prioritizing economic growth."
a4394ab0-7693-4e0c-b383-944c45b46663,2025-03-27 09:31:16.931162+00:00,google,gemini-1.5-flash-8b,0,3544,229,"Prioritizing community-based adaptation, then broader resilience, with cautious emission cuts."
6dcac168-7664-450e-b13e-777fbc0a9012,2025-03-27 09:31:20.278304+00:00,google,gemini-1.5-flash-8b,0,3544,227,"Prioritizing local adaptation, then broader mitigation, leaving current policies last."
bc450ab5-89b7-4ac1-92a1-761257e04f6b,2025-03-27 09:31:23.356331+00:00,google,gemini-1.5-flash-8b,0,3544,225,"Prioritizing adaptation, local actions, and moderate emission cuts."
b9365f0c-fca8-40fc-ab9b-6d1a9b44688a,2025-03-27 10:09:01.673514+00:00,google,gemini-1.5-flash-8b,0,3544,237,"Prioritizing local adaptation, gradual emission cuts, and resilience are most important. Economic growth over climate is least important."
44894956-d66c-4bbc-83ee-c5b3ef17a779,2025-03-27 10:09:04.773065+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing community actions and resilience, then adaptation, with gradual emission cuts."
3a3aa10e-3b9b-4edb-a8b1-09e38ed4acdc,2025-03-27 10:09:10.449132+00:00,google,gemini-1.5-flash-8b,0,3544,228,"Prioritizing local actions, moderate emissions cuts, and adaptation are most important."
3ccf04cd-ffcf-4022-a81d-2cce807cded5,2025-03-27 10:09:13.559259+00:00,google,gemini-1.5-flash-8b,0,3544,237,"Prioritizing adaptation, then moderate emission cuts, followed by other policies. Least support for inaction and prioritizing economic growth."
cbfc7060-61d4-4e1b-adbd-7d32b4d1f864,2025-04-28 08:40:36.107046+00:00,google,gemini-1.5-flash-8b,1.0,3544,235,"Prioritizing adaptation, then moderate emissions cuts, then supporting local actions. Economic growth policies are least important."
a625ecf3-62b6-4eb4-a2f4-fac2599e89ce,2025-04-28 08:40:42.038016+00:00,google,gemini-1.5-flash-8b,1.0,3544,228,"Prioritizing adaptation, moderate emissions cuts, and local actions are most important."
4cbb94ee-9c9b-46f0-beeb-e80002c677a5,2025-04-28 08:40:45.920369+00:00,google,gemini-1.5-flash-8b,1.0,3544,239,"Prioritizing adaptation, moderate emission cuts, and community action are most important. Economic growth policies and drastic cuts are less preferred."
