cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Mitochondrial donation is a treatment more like an organ transplant, which doesn't really change the genetics of person.",C2. It's a slippery slope from genome editing for medical reasons to using it for other reasons.,C3. Parents and guardians have a right to edit the genes of their children before they are born.,C4. Parents want 'designer babies' with certain traits out of vanity.,C5. I'm concerned that genome editing will lead to a reduction in genetic diversity.,C6. I think it would be amazing to have a choice in the way someone behaves.,C7. The idea that genome editing can make perfect people and societies is extremely dangerous.,C8. I think it's okay to use genome editing to change someone's appearance.,C9. I'm concerned that genome editing will be used as a quick techno-fix without actually dealing with real problems.,"C10. My concern is that as we start to tinker with the human genome, we're going to accidentally introduce a whole host of other problems.","C11. If human genome editing is available then it should be available to everyone who needs it, not just those who can afford it.",C12. I'm worried that human genome editing will widen the gap between those who can afford it and those who can't.,C13. If we open the box of genome editing we will not know where to draw the line.,C14. I am concerned that the use of human genome editing will advantage one group over another.,C15. Decisions about the use of genome editing are best left to the experts.,"C16. If human genome editing can be used to make changes to humans on demand for any reason, the future will be like a dystopian movie.",C17. Genome editing is really cool science.,C18. Genome editing will be used for enhancement by wealthy people.,C19. I have a more positive feeling about gene editing in humans than I do for animals or plants.,C20. Editing genes that will be inherited is problematic because it means making decisions for future people who don't exist yet. ,C21. My cultural beliefs make me cautious about genome editing.,C22. When you change someone's genes you are fundamentally changing who they are.,C23. Genome editing in agriculture will have the biggest impact on people's health. ,C24. Anything that's been artificially created in a lab gives me Frankenstein vibes.,C25. I worry that something will go wrong with genome technology.,C26. It's better to use genome editing to prevent a serious disease from happening rather than having to treat it with conventional medicine after it has occurred.,C27. The idea that people with genetic conditions might get cured in my lifetime is miraculous and incredible.,C28. Genome editing technologies gives us power over human life itself.,C29. Suggesting genome editing will 'cure' disability diminishes those living with genetic conditions who need support.,C30. There is nothing wrong with using genome editing to speed up evolution and help living things (including humans) adapt to challenges.,"C31. As a society, we have an obligation to help strengthen coming generations by eradicating diseases.",C32. We find strength when we face illness and adversity. It makes us who we are. ,"C33. If genome editing is proven to be safe, then I see no reason to oppose it.",C34. It is better to accept our genes the way they are than to tamper with things we don't understand.,"C35. I would consider using genome editing for my children to give them an advantage in life, so long as it's safe.",C36. I don't think we know enough about genetic diseases or the long term consequences of genome editing,C37. I think we should keep an open mind about new discoveries.,C38. I would be OK with having my own genome edited.,"C39. Each individual has a right to decide for themselves whether to undergo gene editing, as long as the changes cannot be passed on to future generations.",C40. Interfering in people's genes is intervening a bit too far in human creation.,C41. The idea of editing the human genome is scary.,C42. The use of gene editing for non-medical reasons reminds me of the Nazis during the Second World War.,C43. Science and technology have too much control over our lives.,"C44. Beacause of our changing environments, I believe that future humans will need genome editing to survive.",C45. I believe we should remain as natural as possible but we should not shy away from furthering medicine and the chance to save lives.
97855c72-2d39-47a9-8d52-69a792114c8c,2025-03-20 11:58:56.806109+00:00,google,gemini-1.5-flash,0,4601,319,3,6,4,5,6,3,7,2,6,6,7,6,6,6,4,6,5,5,4,6,5,6,3,5,5,7,7,6,6,3,6,5,6,5,3,6,7,4,5,5,5,7,4,4,5
e143fa65-4485-4891-8e49-d6ec50f6d355,2025-03-20 11:59:02.005731+00:00,google,gemini-1.5-flash,0,4601,319,3,6,2,3,5,2,7,2,6,6,7,6,5,5,3,6,4,5,4,6,4,6,3,4,4,7,7,6,6,4,7,5,5,5,3,5,6,5,4,5,5,6,4,3,5
fde15e30-4786-4f2d-9925-ba6c369451b9,2025-03-20 11:59:07.303399+00:00,google,gemini-1.5-flash,0,4601,322,3,5,3,2,4,3,6,2,5,5,7,6,6,6,4,6,5,5,4,6,4,6,3,4,5,7,7,6,6,4,6,5,6,4,4,5,5,4,5,5,5,6,4,3,5
af0b095e-0945-4682-8d4e-0f09845cc11b,2025-03-20 11:59:12.543625+00:00,google,gemini-1.5-flash,0,4601,321,4,5,2,5,5,3,7,2,5,6,7,6,6,6,3,6,4,6,4,7,4,6,3,3,5,6,7,5,6,3,7,5,5,5,3,6,6,5,4,6,4,5,5,4,5
aab9969a-676b-4017-a50e-07baad9ccd09,2025-03-20 11:59:17.780022+00:00,google,gemini-1.5-flash,0,4601,316,3,6,4,5,5,3,7,2,6,6,7,7,6,6,4,7,5,6,4,6,5,6,4,5,6,6,7,6,6,4,6,4,5,5,4,6,6,4,5,6,6,7,5,3,5
40d24885-9b95-4868-94bb-6716840d5fe6,2025-03-20 11:59:23.021957+00:00,google,gemini-1.5-flash,0,4601,320,3,6,4,5,5,3,7,2,6,6,7,7,6,6,2,6,4,6,4,6,4,6,4,4,5,7,7,6,6,5,7,5,6,4,5,6,6,3,5,6,5,6,5,4,6
5c92821c-f705-48d2-971e-c367ccc4c7f6,2025-03-20 11:59:28.516351+00:00,google,gemini-1.5-flash,0,4601,316,4,6,3,4,5,3,7,2,5,6,7,6,6,6,3,6,5,5,5,6,4,5,3,4,5,7,7,6,6,4,7,5,6,4,3,5,6,5,5,5,4,1,4,4,6
76ea3cde-3d54-4616-9ff3-d2e2766d424e,2025-03-20 11:59:33.642611+00:00,google,gemini-1.5-flash,0,4601,321,3,6,3,5,6,2,7,2,6,7,7,7,6,6,3,7,5,6,4,7,4,5,2,4,6,7,6,6,4,4,6,5,5,4,4,6,6,5,5,5,6,7,5,5,6
5f4f7bdf-2bdf-4f4b-98af-6f0c92840337,2025-03-20 11:59:39.104564+00:00,google,gemini-1.5-flash,0,4601,318,3,5,4,5,5,3,7,2,5,6,7,6,6,6,4,6,4,6,3,6,4,6,3,5,6,7,7,5,6,5,7,4,6,5,4,5,6,4,5,5,5,6,5,4,6
4c6e9ee4-3390-4609-bcc2-209f692306c4,2025-03-20 11:59:44.493872+00:00,google,gemini-1.5-flash,0,4601,327,3,5,3,5,5,2,7,2,5,6,7,6,6,5,4,6,5,5,4,7,4,6,3,4,5,7,7,6,6,2,7,6,6,5,3,6,6,4,5,5,4,6,4,4,6
13972b02-97e1-4674-aadf-132536b9f07a,2025-03-21 13:41:43.186662+00:00,google,gemini-1.5-flash,0,4601,319,2,6,3,4,5,3,7,2,5,6,7,6,6,6,4,6,5,5,3,7,4,6,4,4,5,6,7,6,6,4,7,5,5,4,4,6,6,4,5,5,5,5,4,4,5
51b3b293-15a7-4587-90f7-5728041270e8,2025-03-21 13:41:47.378957+00:00,google,gemini-1.5-flash,0,4601,320,5,6,2,5,6,2,7,2,6,6,7,7,6,7,4,6,6,6,3,6,4,6,3,4,5,7,7,6,7,4,7,5,6,4,3,7,7,4,6,5,5,5,5,4,6
c10e4a2f-9b64-4bca-a4ca-6b679b736d48,2025-03-21 13:41:51.668531+00:00,google,gemini-1.5-flash,0,4601,316,4,6,3,4,5,3,7,2,6,6,7,6,6,6,4,6,5,6,5,7,4,6,3,4,4,7,7,5,6,4,7,5,6,5,4,6,6,5,5,5,5,7,4,4,6
e67b9935-9a47-4441-bc62-ed41f02d4e44,2025-03-21 13:41:55.981680+00:00,google,gemini-1.5-flash,0,4601,316,3,6,3,4,6,2,7,2,5,6,7,6,6,6,3,6,4,5,4,6,4,6,3,5,5,7,7,6,6,4,7,5,5,4,3,6,7,4,5,5,5,6,4,4,6
b2e1d9e4-058e-4b17-9d92-4cb25bbd60c5,2025-03-21 13:42:00.054799+00:00,google,gemini-1.5-flash,0,4601,320,4,6,2,5,5,2,7,2,5,6,7,6,6,6,2,7,4,6,3,6,4,5,4,5,5,7,7,6,7,3,6,4,4,4,3,6,6,3,5,5,5,7,4,3,6
85983a16-0ea7-4a3d-a6f7-4aaf70ff7c21,2025-03-21 13:42:04.384300+00:00,google,gemini-1.5-flash,0,4601,317,3,5,2,5,5,3,6,2,5,6,6,6,6,5,2,6,5,5,4,6,4,6,3,3,5,7,7,6,6,4,6,5,4,4,4,5,6,3,4,5,5,6,4,3,6
c8e029b8-dfe8-46bb-99cd-eeabdc526ad5,2025-03-21 13:42:08.577098+00:00,google,gemini-1.5-flash,0,4601,317,4,6,2,4,5,2,7,1,5,6,7,6,6,6,3,6,4,6,5,6,4,6,3,4,6,7,7,7,6,3,6,5,5,5,3,6,6,4,5,5,5,7,4,4,5
8a44bc7e-33a2-4b45-976c-cf187fe094de,2025-03-21 13:42:13.082655+00:00,google,gemini-1.5-flash,0,4601,317,5,5,2,4,5,2,7,2,5,6,7,6,6,5,3,6,6,5,4,6,3,6,3,3,4,7,7,5,6,3,6,5,5,4,3,5,6,4,5,3,4,1,4,4,6
77fa2fe2-3cd1-4810-8612-0e16d31cbac7,2025-03-21 13:42:17.246814+00:00,google,gemini-1.5-flash,0,4601,322,2,6,3,4,5,3,7,2,5,6,7,6,6,6,4,6,5,6,4,7,5,6,3,4,5,7,6,6,6,3,6,5,5,5,3,6,7,3,5,4,5,7,4,2,5
58e2211f-b608-4f52-b706-680700539628,2025-03-21 13:42:21.582058+00:00,google,gemini-1.5-flash,0,4601,319,5,6,3,3,5,2,7,2,5,6,7,6,6,5,4,6,5,6,4,6,4,6,4,2,5,7,7,6,6,3,7,5,5,5,3,6,7,4,6,5,4,1,4,4,6
16bcb297-a306-4d86-a2fc-7fded0f8a93e,2025-03-21 13:42:26.087179+00:00,google,gemini-1.5-flash,0,4601,319,5,6,3,4,5,3,7,2,5,6,7,7,6,6,4,6,6,6,5,7,4,6,3,3,5,7,7,5,6,5,7,5,7,4,5,6,7,6,6,5,4,1,4,6,6
