cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
f201ca3c-4c36-4f96-815a-3d8b6cf52c7a,2025-03-20 10:30:26.456881+00:00,google,gemini-1.5-pro,0,4601,322,6,2,5,1,8,3,4,7
cff9d179-07f9-4f02-a7b0-80a945adbd9e,2025-03-20 10:30:34.257985+00:00,google,gemini-1.5-pro,0,4601,318,5,7,4,3,6,1,8,2
b3683d8b-d58a-4463-a16d-0796e97accf2,2025-03-20 10:30:42.473679+00:00,google,gemini-1.5-pro,0,4601,320,6,8,7,1,3,5,2,4
89af34de-6e4c-4b70-b5d3-ead33e01833d,2025-03-20 10:30:51.152341+00:00,google,gemini-1.5-pro,0,4601,320,7,8,5,2,4,6,3,1
c9e46957-cb2c-40af-8f8b-2225af933223,2025-03-20 10:30:59.356288+00:00,google,gemini-1.5-pro,0,4601,315,2,8,4,3,7,1,6,5
bb96de67-9264-4ca4-9847-328d339b7b64,2025-03-20 10:31:07.710861+00:00,google,gemini-1.5-pro,0,4601,319,1,3,6,2,4,7,8,5
fc5ff797-9144-42f6-84fc-9c6c8dcf594c,2025-03-20 10:31:16.139118+00:00,google,gemini-1.5-pro,0,4601,322,2,6,3,4,8,7,5,1
9eb5f0f7-dbb6-4ed8-9514-180d7edd4080,2025-03-20 10:31:24.275184+00:00,google,gemini-1.5-pro,0,4601,320,5,6,2,3,7,4,8,1
9873d40d-fc02-44b9-8807-27dbb22ee4a1,2025-03-20 10:31:32.629171+00:00,google,gemini-1.5-pro,0,4601,318,6,4,1,3,2,7,8,5
cdbe7d04-1b5f-4e75-9902-40b133af5d9e,2025-03-20 10:31:40.687547+00:00,google,gemini-1.5-pro,0,4601,322,2,1,5,3,8,4,7,6
24022e19-890d-42b4-b2e1-18a3115066e7,2025-03-25 13:35:09.823955+00:00,google,gemini-1.5-pro,0,4601,320,6,2,5,1,8,3,4,7
60afd80a-75f9-4c2d-a003-3bc52755888a,2025-03-25 13:35:16.869463+00:00,google,gemini-1.5-pro,0,4601,321,5,7,4,3,6,1,8,2
aa3094b0-d52e-4e4e-812b-7e34d4048207,2025-03-25 13:35:23.554910+00:00,google,gemini-1.5-pro,0,4601,320,6,2,3,7,5,1,8,4
d7a12ffe-c2b7-40eb-888e-7888b7191fce,2025-03-25 13:35:30.075864+00:00,google,gemini-1.5-pro,0,4601,318,7,8,5,2,4,6,3,1
ae6899c3-6702-4ef0-b6de-9c4379769454,2025-03-25 13:35:37.250341+00:00,google,gemini-1.5-pro,0,4601,315,2,8,4,3,7,1,6,5
1c68cca0-bd7c-4a69-ae59-ead871d5e143,2025-03-25 13:35:43.893866+00:00,google,gemini-1.5-pro,0,4601,325,1,3,6,2,4,5,8,7
9a4d97a1-2533-48cc-934e-6b6dd32ea756,2025-03-25 13:35:51.164188+00:00,google,gemini-1.5-pro,0,4601,322,2,6,3,4,8,7,5,1
11ae455a-88a9-4088-9a19-84ad44e49562,2025-03-25 13:35:57.746123+00:00,google,gemini-1.5-pro,0,4601,320,5,6,2,3,7,4,8,1
d72eab01-5ad8-42e6-b426-795349de4c4e,2025-03-25 13:36:04.262383+00:00,google,gemini-1.5-pro,0,4601,318,6,4,1,3,2,7,8,5
672835c8-1085-45d7-ada4-12e7f709400d,2025-03-25 13:36:10.819314+00:00,google,gemini-1.5-pro,0,4601,322,2,1,5,3,8,4,7,6
7067c6a9-09f7-48b2-83e9-57c969a00845,2025-03-27 10:02:42.086368+00:00,google,gemini-1.5-pro,0,4601,320,8,5,3,4,6,7,1,2
77f605e9-bb79-4ddf-92cb-d7a8d55cd279,2025-03-27 10:02:49.240299+00:00,google,gemini-1.5-pro,0,4601,323,7,1,2,3,8,4,6,5
22cf793b-a514-42b6-b4ec-cae601e6c06f,2025-03-27 10:02:56.746311+00:00,google,gemini-1.5-pro,0,4601,315,3,1,4,2,7,5,8,6
75da8651-2a40-40ec-9b9f-8e99d24121d0,2025-03-27 10:03:03.283296+00:00,google,gemini-1.5-pro,0,4601,318,8,5,1,4,2,3,6,7
9f5a959d-62dc-4a77-9493-ed8c270d2562,2025-03-27 10:03:09.987068+00:00,google,gemini-1.5-pro,0,4601,319,5,8,4,1,7,3,6,2
3d739bab-e19b-473b-8db4-d10f56f2755b,2025-03-27 10:03:16.686149+00:00,google,gemini-1.5-pro,0,4601,319,5,2,4,1,6,3,8,7
43705718-0899-45b3-a4fd-b7656428cbb9,2025-03-27 10:03:23.331290+00:00,google,gemini-1.5-pro,0,4601,319,6,8,1,3,7,2,5,4
ef7a8ad8-d40b-4109-b2a4-ab24b1208ae5,2025-03-27 10:03:30.016144+00:00,google,gemini-1.5-pro,0,4601,322,6,5,1,3,8,7,4,2
bc34ca17-a919-4c3d-a01b-628db223d5d4,2025-03-27 10:03:36.651875+00:00,google,gemini-1.5-pro,0,4601,315,3,2,4,6,7,1,8,5
24a4442e-fa59-40d9-a9e8-27be9490561e,2025-03-27 10:03:43.034408+00:00,google,gemini-1.5-pro,0,4601,322,2,1,5,4,7,3,6,8
945c9497-4e33-4cb9-8f5b-a3651daa7cb6,2025-03-27 10:03:49.767841+00:00,google,gemini-1.5-pro,0,4601,318,8,5,6,1,3,4,7,2
fb1b0534-17f5-4146-b002-38bc2710e315,2025-03-27 10:03:56.630613+00:00,google,gemini-1.5-pro,0,4601,322,8,1,5,7,6,2,3,4
c9dd6d6f-38a0-44f7-932e-bcfede4a522b,2025-03-27 10:13:47.148832+00:00,google,gemini-1.5-pro,0,4601,320,7,5,6,2,3,1,8,4
507c6302-d930-40e3-8e93-25a26d50bfe8,2025-03-27 10:13:53.647407+00:00,google,gemini-1.5-pro,0,4601,319,6,5,3,1,7,4,2,8
5cdab2d8-8d16-48c4-a666-92d4c8081dc3,2025-03-27 10:14:00.549351+00:00,google,gemini-1.5-pro,0,4601,324,3,1,6,5,7,4,8,2
8e467c53-bfa7-4070-9a4a-cc72ee8bba30,2025-03-27 10:14:07.096724+00:00,google,gemini-1.5-pro,0,4601,316,7,5,4,2,3,8,6,1
868a8a04-bee0-41c7-96e5-85b05de8bb33,2025-03-28 10:17:05.809916+00:00,google,gemini-1.5-pro,0,4601,320,4,3,5,6,8,1,7,2
5b994075-c4d3-4b7e-b55b-3790c98dcc5f,2025-03-28 10:17:12.525436+00:00,google,gemini-1.5-pro,0,4601,318,7,5,3,4,6,1,8,2
