cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
5d83c07f-4ce0-4c7e-a8db-29110bb00475,2025-03-20 11:02:41.857825+00:00,google,gemini-2.0-flash,0,4469,300,"Support local sustainable incentives, moderate regulations, and climate adaptation. Avoid inaction."
da050476-9500-41f3-9a64-9a0deb99c758,2025-03-20 11:02:46.749511+00:00,google,gemini-2.0-flash,0,4469,300,"Support local sustainable production, moderate regulation, and climate resilience. Avoid deregulation."
3e72e761-e563-46af-8ad4-aef6018ca2b8,2025-03-20 11:02:51.154996+00:00,google,gemini-2.0-flash,0,4469,305,"Support local incentives, moderate regulation, tech, adaptation; oppose radical bans, status quo, deregulation."
a164d181-7276-4be1-85e9-2db16429b6c0,2025-03-20 11:02:56.124660+00:00,google,gemini-2.0-flash,0,4469,301,Moderate sustainable regulations & local incentives are best; radical changes/inaction worst.
443278bb-86d8-4580-b306-d6a50b347bfc,2025-03-20 11:03:01.072823+00:00,google,gemini-2.0-flash,0,4469,302,Radical sustainability is key; tech and local incentives are important; less regulation is bad.
cd1acf44-e1c2-42a1-9022-ccc1012be276,2025-03-20 11:03:05.386890+00:00,google,gemini-2.0-flash,0,4469,305,"Support local sustainable incentives, adaptation, moderate regulation, tech, current, radical, least free trade."
0d4bfe1b-da96-4d94-82c4-5c3b977821e2,2025-03-20 11:03:10.255218+00:00,google,gemini-2.0-flash,0,4469,298,"Support local sustainable production, moderate regulation, adaptation, avoid deregulation."
aa8611fc-3265-43cc-b90f-baf0e053a3e1,2025-03-20 11:03:15.150858+00:00,google,gemini-2.0-flash,0,4469,307,"Incentivize local sustainable production, moderate regulation, adaptation, tech, less radical bans, free trade last."
5ac6492f-53ea-49b9-8263-f86307eea878,2025-03-20 11:03:19.555940+00:00,google,gemini-2.0-flash,0,4469,301,"Support local sustainable production, tech, moderate regulation, oppose deregulation, radical bans."
62bac129-0353-4716-be10-984326c41203,2025-03-20 11:03:24.557611+00:00,google,gemini-2.0-flash,0,4469,301,"Balance needed. Incentivize sustainable practices, avoid extremes, prepare for risks."
6da1c8c1-0a32-4d4e-b003-e710821fe6ec,2025-03-25 13:56:05.344191+00:00,google,gemini-2.0-flash,0,4469,300,"Support local sustainable incentives, moderate regulations, and climate adaptation. Avoid inaction."
d36d73dc-4f16-474a-a8a2-3dbf810f5b5d,2025-03-25 13:56:09.206483+00:00,google,gemini-2.0-flash,0,4469,299,"Support local sustainable production, moderate regulation, and adaptation; oppose deregulation."
c6ddf7cc-9911-4a38-a99d-4c9d1ab71bf5,2025-03-25 13:56:12.678420+00:00,google,gemini-2.0-flash,0,4469,306,"Support local incentives, moderate regulation, tech, adaptation; oppose radical bans, less regulation, status quo."
892316b7-69cf-4d1f-8c97-fb26ec62c052,2025-03-25 13:56:16.486012+00:00,google,gemini-2.0-flash,0,4469,301,Moderate sustainable regulations & local incentives are best; radical changes & less regulation worst.
7dea4ee7-066d-4a02-915d-42c227755c2b,2025-03-25 13:56:20.303589+00:00,google,gemini-2.0-flash,0,4469,297,"Support local sustainable incentives, moderate regulations, and climate adaptation."
59efc26a-ac3a-4edd-8c02-5c178bb52bba,2025-03-25 13:56:23.801231+00:00,google,gemini-2.0-flash,0,4469,305,"Support local sustainable incentives, moderate regulations, adaptation, tech, current, radical, least free trade."
db00398c-f8e0-4b5f-9bec-b20d59ad92ff,2025-03-25 13:56:27.787970+00:00,google,gemini-2.0-flash,0,4469,301,"Support local sustainable incentives, moderate regulation, adaptation, least: laissez-faire."
f873a052-e227-45d4-83c4-b2b30b90da81,2025-03-25 13:56:31.729442+00:00,google,gemini-2.0-flash,0,4469,297,Support incentives and moderate regulation; oppose radical bans and deregulation.
188c6a88-437a-4358-9563-123afaab6db3,2025-03-25 13:56:35.115217+00:00,google,gemini-2.0-flash,0,4469,301,"Support local sustainable production, tech for climate, moderate regulation, avoid radical change."
2ec20f0d-0017-445a-bb66-b5666c58ffe8,2025-03-25 13:56:38.807496+00:00,google,gemini-2.0-flash,0,4469,299,"Balance needed; incentives for sustainable local production are key, avoid extremes."
721d639a-f360-4a4a-8daf-f7af4f195a8c,2025-03-27 09:32:54.269580+00:00,google,gemini-2.0-flash,0,4469,300,"Support local sustainable incentives, moderate regulations, and climate adaptation. Avoid inaction."
dfe063f3-43d7-47b4-a7ea-dbbf6506c7ba,2025-03-27 09:32:58.147501+00:00,google,gemini-2.0-flash,0,4469,300,"Support local sustainable production, moderate regulation, and climate resilience. Avoid deregulation."
72a3a08a-a189-4f71-b37c-50f199a33dba,2025-03-27 09:33:01.637791+00:00,google,gemini-2.0-flash,0,4469,305,"Support local incentives, moderate regulation, tech, adaptation; oppose radical bans, status quo, deregulation."
99ed719d-6e29-4fa2-a066-9f6ccf659bde,2025-03-27 09:33:05.492815+00:00,google,gemini-2.0-flash,0,4469,301,Moderate sustainable regulations & local incentives are best; radical changes & less regulation worst.
e5599fb7-2bf0-4fd3-bad7-3d9643a2719b,2025-03-27 09:33:09.415635+00:00,google,gemini-2.0-flash,0,4469,302,Radical sustainability is key; tech and local incentives are important; less regulation is bad.
6c1e79ef-08e9-42ce-8cfb-408f1776c540,2025-03-27 09:33:12.860622+00:00,google,gemini-2.0-flash,0,4469,304,"Support local sustainable incentives, moderate regulations, adaptation, tech, current, radical, free trade."
c7d11af1-b513-41fc-81aa-dcf60397a183,2025-03-27 09:33:17.451209+00:00,google,gemini-2.0-flash,0,4469,298,"Support local sustainable production, moderate regulation, adaptation, avoid deregulation."
de39fe45-7220-4567-ac8c-819c8d88b599,2025-03-27 09:33:21.115913+00:00,google,gemini-2.0-flash,0,4469,303,"Incentivize local sustainable production, moderate regulation, tech, avoid radical bans and deregulation."
350e8544-bdc4-44da-a75f-698816a23ed4,2025-03-27 09:33:24.335348+00:00,google,gemini-2.0-flash,0,4469,301,"Support local sustainable production, tech for climate, moderate regulation, avoid radical change."
e74c6b5e-6348-4af3-ac93-c6145350f069,2025-03-27 09:33:28.027993+00:00,google,gemini-2.0-flash,0,4469,301,"I favor incentives and adaptation, dislike radical regulation and free trade with no regulation."
