cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
93b145cf-4814-4f61-8fd5-51bbf21fb235,2025-03-20 10:56:49.746794+00:00,google,gemini-2.0-flash,0,3916,280,Ethics board oversight is key; individual consent less so unless identifiable. Community benefit matters.
8dd6cf36-8d74-427b-aaba-e34e7818a0da,2025-03-20 10:56:54.598039+00:00,google,gemini-2.0-flash,0,3914,276,Community benefit is key; individual authorization is less important than ethical oversight.
2fc2669a-591f-409d-ba23-ec7f00bcbece,2025-03-20 10:56:59.416055+00:00,google,gemini-2.0-flash,0,3922,282,"Community benefit and preventing discrimination are key, but ethics board oversight is always needed."
3b2f37da-368a-4b83-9895-b356cf4421e1,2025-03-20 10:57:03.813125+00:00,google,gemini-2.0-flash,0,3918,277,Ethics board oversight is key; individual authorization less so unless identifiable.
e85dd566-6b65-4e41-8312-b453263a3a89,2025-03-20 10:57:08.613237+00:00,google,gemini-2.0-flash,0,3912,277,"Strong ethics review + consent when identifiable, prevents harm, promotes benefit & autonomy."
578d2e65-b65c-482c-8ffc-fc81e6dba747,2025-03-20 10:57:13.312552+00:00,google,gemini-2.0-flash,0,3918,279,"Protect privacy, prevent discrimination, ensure societal benefit, and ethics board oversight."
6efe37a6-6110-44ad-bd7a-28a95d46b3ed,2025-03-20 10:57:17.976136+00:00,google,gemini-2.0-flash,0,3922,286,"Ethics board oversight is key; individual consent less so if anonymized, but discrimination is top concern."
5c8ea13e-0377-4d3a-8013-4cdc18d42905,2025-03-20 10:57:22.348390+00:00,google,gemini-2.0-flash,0,3918,278,"Protect privacy, community benefit, ethics review needed, individual authorization important."
a2067c20-59d8-432b-a63e-70fc0be65628,2025-03-20 10:57:27.060520+00:00,google,gemini-2.0-flash,0,3914,275,"Prioritize preventing discrimination, ethics board oversight, and community benefit."
3a8a0edb-8b68-427b-b815-f58f5a7e61cf,2025-03-20 10:57:32.059174+00:00,google,gemini-2.0-flash,0,3918,281,"Prioritize ethics, community benefit, and oversight, but minimize individual burden where possible."
8c470f1f-b6eb-4040-ae0f-d76774db384b,2025-03-25 13:51:30.514356+00:00,google,gemini-2.0-flash,0,3916,280,Ethics board oversight is key; individual consent less so if anonymized and benefits society.
ad42ea10-2b29-4048-b6f4-db11da935b58,2025-03-25 13:51:34.587705+00:00,google,gemini-2.0-flash,0,3916,275,"Community benefit is key, individual authorization less so if overseen."
8fa5428f-f3a4-4406-bc43-9247b2206ada,2025-03-25 13:51:38.586872+00:00,google,gemini-2.0-flash,0,3922,282,"Community benefit and preventing discrimination are key, but ethics board oversight is also important."
