cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
721c5fee-1fd8-4cbd-8c33-688b2323b859,2025-03-20 10:59:45.625755+00:00,google,gemini-2.0-flash,0,3613,235,6,7,3,4,2,5,1
c8c0ef63-1267-49ee-afd2-5d7b61537029,2025-03-20 10:59:49.702698+00:00,google,gemini-2.0-flash,0,3613,233,6,7,4,5,2,3,1
66f56b8d-fd11-40de-a7d5-2c7ed4c1fbd7,2025-03-20 10:59:54.157208+00:00,google,gemini-2.0-flash,0,3613,233,7,6,2,1,3,4,5
af36eb78-7825-4256-a85e-9a8ce9d70f4f,2025-03-20 10:59:58.304626+00:00,google,gemini-2.0-flash,0,3613,237,6,7,5,2,1,3,4
53176714-d0b2-4ba7-a93d-a016c02004db,2025-03-20 11:00:02.700510+00:00,google,gemini-2.0-flash,0,3613,235,6,7,3,4,1,2,5
fe679fe9-a5c1-4e2f-ab6a-c3680daf321e,2025-03-20 11:00:07.225697+00:00,google,gemini-2.0-flash,0,3613,235,7,5,4,6,2,3,1
e2dc2b39-8008-48e9-b2f2-a60c82540da1,2025-03-20 11:00:11.943635+00:00,google,gemini-2.0-flash,0,3613,233,6,7,5,1,3,4,2
805e926b-f974-4d19-9a09-db0695064ff8,2025-03-20 11:00:16.022055+00:00,google,gemini-2.0-flash,0,3613,236,7,6,1,2,4,3,5
a0bf67a4-8620-4508-9c7d-f037fa1e5066,2025-03-20 11:00:20.424897+00:00,google,gemini-2.0-flash,0,3613,237,5,6,3,7,1,4,2
2bd73d52-7e21-4234-ace1-1646d8c6855a,2025-03-20 11:00:25.141631+00:00,google,gemini-2.0-flash,0,3613,234,6,7,4,1,5,3,2
be5e4a01-cbe9-47fe-9433-ac01074b6f0f,2025-03-25 13:53:46.779680+00:00,google,gemini-2.0-flash,0,3613,235,6,7,3,4,2,5,1
d47026bd-fbe0-45f2-8334-ca254a097751,2025-03-25 13:53:49.937662+00:00,google,gemini-2.0-flash,0,3613,233,6,7,4,5,2,3,1
ac3e89fe-4b4f-4a88-8c45-b0fd96992b2e,2025-03-25 13:53:53.372543+00:00,google,gemini-2.0-flash,0,3613,233,7,6,2,1,3,4,5
25be67e3-d92c-45ec-ac03-ba8851a7831e,2025-03-25 13:53:56.377060+00:00,google,gemini-2.0-flash,0,3613,234,6,7,5,2,1,3,4
3bfe906c-9245-4e6c-8680-6e1e0e054279,2025-03-25 13:53:59.750809+00:00,google,gemini-2.0-flash,0,3613,236,6,7,3,4,1,2,5
c223a6f4-3b4f-45ae-be12-00d25e982f71,2025-03-25 13:54:03.255921+00:00,google,gemini-2.0-flash,0,3613,234,7,5,4,6,2,3,1
a4fef359-bb57-46b7-a22c-500c91cabe69,2025-03-25 13:54:06.784069+00:00,google,gemini-2.0-flash,0,3613,233,6,7,5,1,3,4,2
fa94b0a4-1988-4c90-b768-b1ef4bdfad11,2025-03-25 13:54:10.022606+00:00,google,gemini-2.0-flash,0,3613,236,7,6,1,2,4,3,5
c0610413-6623-4fb7-a6f5-fc0de5e79acf,2025-03-25 13:54:13.672257+00:00,google,gemini-2.0-flash,0,3613,237,5,6,3,7,1,4,2
e5b6e1df-8b34-43dc-a26f-7de86486ac4b,2025-03-25 13:54:17.172861+00:00,google,gemini-2.0-flash,0,3613,234,6,7,4,1,5,3,2
6f872faa-ed19-42d2-ab5b-0d394c950fd6,2025-03-27 09:30:39.979183+00:00,google,gemini-2.0-flash,0,3613,237,6,7,3,4,2,5,1
c685b665-e204-4ef9-b12e-47603516bae4,2025-03-27 09:30:43.036738+00:00,google,gemini-2.0-flash,0,3613,233,6,7,4,5,2,3,1
011be297-b8fb-4475-9950-1ccc001876e3,2025-03-27 09:30:46.605460+00:00,google,gemini-2.0-flash,0,3613,233,7,6,2,1,3,4,5
69abafeb-9c46-46d8-be0b-c24af9dda550,2025-03-27 09:30:49.610607+00:00,google,gemini-2.0-flash,0,3613,234,6,7,5,2,1,3,4
83672745-5e03-4597-b838-fcbe94b1ad28,2025-03-27 09:30:52.970148+00:00,google,gemini-2.0-flash,0,3613,235,6,7,3,4,1,2,5
3f308d62-315e-464b-923f-4913fd11b3c8,2025-03-27 09:30:56.452445+00:00,google,gemini-2.0-flash,0,3613,234,7,5,4,6,2,3,1
35c362ba-1e59-4b74-8b0e-d7f7ad792114,2025-03-27 09:30:59.831508+00:00,google,gemini-2.0-flash,0,3613,233,6,7,5,1,3,4,2
3e88579c-de4d-44a6-8295-72d91575a86f,2025-03-27 09:31:02.904409+00:00,google,gemini-2.0-flash,0,3613,236,7,6,1,2,4,3,5
f9933637-0fd0-4a50-aa44-49bf608d580b,2025-03-27 09:31:06.384162+00:00,google,gemini-2.0-flash,0,3613,237,5,6,4,7,1,3,2
3c290478-973a-47c9-a9ac-c6704ee13dc1,2025-03-27 09:31:09.864389+00:00,google,gemini-2.0-flash,0,3613,234,6,7,4,1,5,3,2
