cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Climate variation is normal, so why should this be a problem?",C2. I think it is safe to say climate change is here.,C3. I don't trust what scientists say about climate change.,C4. I don't trust what I hear about climate change from government.,C5. It's difficult to trust what comes out in the media on the issue of climate change.,C6. There is not enough information to definitively say that climate change is real.,C7. There's not much point in me doing anything to fix this. No-one else is going to.,"C8. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.",C9. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.,"C10. I believe that the difference we can have as an individual, in Switzerland, is so minimal that our actions are worthless.",C11. I'm not going to do anything to address climate change because it is not a major issue.,C12. We need (local) funding to boost our emergency response for events such as flooding.,C13. Occorre tenere conto degli effetti negativi del cambiamento climatico sul commercio locale.,C14. Councils have all the resources they need to adapt effectively to climate change.,C15. We need to deal with the urban heat island effect through measures such as planting trees.,C16. Health services need to prepare for the physical impacts of climate change on health (such as heat stroke) and the impacts on mental health (such as farmers who lose their crops).,C17. We need to make sure we have a good local response for disasters to deal with extreme weather.,C18. If Switzerland reduces greenhouse gases it won't make a difference.,C19. The climate threat to the Alpine glaciers is too far away from local issues to be of concern.,C20. We need to focus on adaptation actions that are concerned with the economic future of the country.,C21. Increased costs for insurance are a serious concern in respect to climate change.,"C22. The main focus of planning for climate adaptation should be to prepare for extreme weather events, such as drought and flooding. ",C23. It is important to plan for migration by people displaced by climate impacts.,C24. We should focus on protecting human systems rather than environmental ecosystems.,"C25. Switzerland is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.",C26. The community should be involved in discussions about climate adaptation.,"C27. Some communities will be more affected than others by climate change, but this is not a priority issue. ",C28. It is NOT necessary to engage with the community when deciding what are the most important issues for planning for climate adaptation.,"C29. Planning for climate adaptation needs a holistic approach, considering a whole range of issues, instead of focussing on individual issues. ",C30. There is no urgent need to prepare for an increase in illness and death caused by high temperatures.,"C31. It is important to support vulnerable groups (elderly, children, disabled, low-income) as they have the fewest resources to deal with impacts of climate change. "
98ce348d-c423-4764-8050-1a2f8dc87ed7,2025-03-20 10:57:36.910436+00:00,google,gemini-2.0-flash,0,3544,230,2,7,2,3,4,1,1,7,6,2,1,7,6,1,7,7,7,1,1,6,7,6,6,2,7,7,1,1,7,1,7
21330cdd-c5aa-4d65-a729-588267be8f8b,2025-03-20 10:57:41.294616+00:00,google,gemini-2.0-flash,0,3544,232,1,7,1,2,6,1,1,6,6,1,1,7,7,1,7,7,7,1,1,7,7,7,7,1,7,7,1,1,7,1,7
3b8b4315-75fe-48fb-b67b-acdb4656bc57,2025-03-20 10:57:45.491368+00:00,google,gemini-2.0-flash,0,3544,236,1,7,1,4,5,1,1,7,6,2,1,7,7,1,7,7,7,1,1,6,6,7,6,3,7,7,1,1,7,1,7
1b6fc375-3ee9-4e86-81e9-67d1d8ef3914,2025-03-20 10:57:49.485556+00:00,google,gemini-2.0-flash,0,3544,232,1,7,1,3,4,1,1,7,6,1,1,7,7,1,7,7,7,1,1,6,7,7,7,1,7,7,1,1,7,1,7
ce38f4f8-a702-4a03-b73b-490ae61f6cdf,2025-03-20 10:57:53.868035+00:00,google,gemini-2.0-flash,0,3544,232,1,7,1,1,5,1,1,6,5,1,1,7,6,1,7,7,7,1,1,6,7,7,7,2,7,7,1,1,7,1,7
ddff623b-b9ee-4649-a2f9-ec165281c42e,2025-03-20 10:57:57.837822+00:00,google,gemini-2.0-flash,0,3544,232,2,6,2,3,5,2,1,5,5,2,1,7,6,1,7,7,6,2,2,6,7,6,6,2,6,7,1,1,7,1,7
bf237fcb-a32f-4ab6-8638-896838eabd4f,2025-03-20 10:58:02.118730+00:00,google,gemini-2.0-flash,0,3544,234,1,7,1,3,4,1,1,7,7,1,1,7,7,1,7,7,7,1,1,7,7,7,7,1,7,7,1,1,7,1,7
d94dc688-2cfe-481e-a26d-11ec4224ec93,2025-03-20 10:58:06.789353+00:00,google,gemini-2.0-flash,0,3544,231,1,7,1,1,6,1,1,6,6,1,1,7,7,2,7,7,7,1,1,6,7,7,7,1,7,7,1,1,7,1,7
ca3e2aff-b084-4946-a55d-b268f88fd9f4,2025-03-20 10:58:10.709594+00:00,google,gemini-2.0-flash,0,3544,233,1,7,1,3,5,1,1,6,6,1,1,7,7,1,7,7,7,1,1,7,7,7,7,1,7,7,1,1,7,1,7
c36b3901-10e7-4a71-af55-6076b454d590,2025-03-20 10:58:14.673764+00:00,google,gemini-2.0-flash,0,3544,231,2,7,1,4,5,3,2,5,6,2,2,7,6,2,7,7,7,2,2,6,6,6,6,3,7,7,2,1,7,1,7
e0ccd748-cdfe-445f-a73b-4d3aa6f141f8,2025-03-25 13:52:07.700334+00:00,google,gemini-2.0-flash,0,3544,230,2,7,2,3,4,1,1,7,6,2,1,7,6,1,7,7,7,1,1,6,7,6,6,2,7,7,1,1,7,1,7
