cuid,date,provider,model,temperature,survey,type,prompt,response,input_tokens,output_tokens
9f4999f8-0e01-4576-9a9b-f738111f0661,2025-04-17 11:18:27.116729+00:00,google,gemma-3-27b-it,0,bep,considerations,"## Instructions:
- Rate each of the 43 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 43 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 43 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. I think it is safe to say climate change is here.
2. Agricultural subsidies should promote sustainable, pesticide and antibiotic-free production.
3. I don't trust what scientists say about climate change.
4. There's not much point in me doing anything to make agriculture more sustainable. No-one else is going to.
5. “Actions on the food system in Switzerland will lead to increased imports and shift of the pollution abroad”
6. The main focus of planning for adaptation should be to prepare the food system for extreme weather events, such as drought and flooding. 
7. The Swiss food system is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.
8. I don't trust what I hear about climate change from government.
9. Sustainable agriculture increases prices and harms consumer freedom. The production should be adapted to what people demand.
10. Eating sustainably is too expensive, and only wealthy people can afford it
11. I believe that the difference we can have as an individual, in Switzerland, is so minimal that our actions are worthless.
12. It is important to plan for migration by people displaced by malnutrition and famine.
13. The Swiss food system depends on imports from other countries, and it is in our interest to help find an effective global solution.
14. Agriculture is already very sustainable. Swiss farmers are on the right track
15. There is not enough information to definitively establish if the link between the agri-food system and climate change is real.
16. We should develop short distribution channels and support local production instead of supporting big agrifood corporations
17. Planning for food system adaptation needs a holistic approach, considering a whole range of issues, instead of focussing on individual issues. 
18. It is NOT necessary to engage with the community when deciding what are the most important issues for planning for food system changes.
19. I'm not going to do anything to address the impacts of the agri-food system because it is not a major issue.
20. We need actions to protect inhabitants and the biodiversity from harmful pesticide.
21. Climate warming will ultimately benefit food production globally as plants better growth in higher temperature
22. We need to focus on adaptation actions that are concerned with the economic future of the country.
23. The community should be involved in discussions about food system adaptation.
24. Some communities are more affected than others by the global agri-food system, but this is not a priority issue.
25. We should focus on protecting human systems rather than environmental ecosystems.
26. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.
27. The negative effects of the climate change on local commerce should be taken into account.
28. Strong regulation of food production will eventually damage our economic relationship with other countries
29. There is not enough information to definitively say that climate change is real.
30. Banning pesticides might help the local biodiversity but decreases our food production capacity and autonomy
31. As long as we use animals in agriculture, it cannot be sustainable
32. “Food accessibility (price) and security (availability) is NOT COMPATIBLE with a sustainable food system”
33. It is important to support smal land local farming as they have the fewest resources to deal with impacts of climate change. 
34. Climate variation is normal, so why should this be a problem?
35. “Intensive food production can go along with the protection of the environment and health”
36. There is no urgent need to prepare for an increase in illness and death caused by intensive use of pesticides/antibiotics
37. Climate change will not be a problem because there will be technological solutions available.
38. If Switzerland reduces greenhouse gases of its food system it won't make a difference.
39. It's difficult to trust what comes out in the media on the issue of climate change.
40. I am happy to pay a higher price for local or organic food products
41. We need to deal with the water pollution issue through measures such as reducing fertilizer and pesticide use.
42. Products that use environmentally harmful ingredients, such as palm oil, should be taxed in the same way as tobacco products.
43. “Farmers already suffer enough from strict rules and paperwork. Family farmers should have more liberties”","1. 7
2. 7
3. 1
4. 2
5. 4
6. 7
7. 7
8. 2
9. 2
10. 3
11. 2
12. 7
13. 7
14. 3
15. 2
16. 7
17. 7
18. 1
19. 2
20. 7
21. 1
22. 6
23. 7
24. 2
25. 2
26. 6
27. 6
28. 3
29. 1
30. 4
31. 6
32. 2
33. 7
34. 1
35. 2
36. 2
37. 3
38. 2
39. 3
40. 6
41. 7
42. 7
43. 4",1091,248
9f4999f8-0e01-4576-9a9b-f738111f0661,2025-04-17 11:18:27.116729+00:00,google,gemma-3-27b-it,0,bep,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Policies that involve a radical sustainable food regulation (e.g., banning all pesticides, banning the importation of food related product that employ non-sustanable approaches, exclusively incentivising organic agriculture)
2. Preparing for climate risk for food production through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
3. Adaptation policies and expenditure. Planning controls and emergency response programs.
4. Policies that involve a moderate sustainable regulations (e.g., banning certain types of pesticides, incentivising organic agriculture)
5. Leave the policy settings as they are.
6. Policies that create incentives for local producers to produce sustainable food (e.g., subsidies or tax breaks for local farmers who produce organic products)
7. Policies that emphasise fewer regulations (e.g., policies that promote free trade agreements by reducing food regulation)","1. 1
2. 2
3. 3
4. 4
5. 6
6. 5
7. 7",1653,34
9f4999f8-0e01-4576-9a9b-f738111f0661,2025-04-17 11:18:27.116729+00:00,google,gemma-3-27b-it,0,bep,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
","Strongly favor proactive, sustainable policies & adaptation over inaction or deregulation.",1742,14
7fab12a7-79e4-42f7-b820-9e1d3046f630,2025-04-17 11:20:25.177909+00:00,google,gemma-3-27b-it,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. Street scene in Uppsala has changed for the worse since the beggars have come.
2. Sweden can not take responsibility for all the poor people in the world.
3. Many beggars are victims.
4. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
5. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
6. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
7. If we begin to help those who come here to beg for it will soon be even more.
8. We need to focus on giving them help in their homeland.
9. Before we assist foreign beggars, we must take care of our own Swedish homeless.
10. The beggars have it good here in Sweden and would rather live here. 
11. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
12. Beggars can get away with things that you and I would not get away with.
13. The migrant beggars are eating way the Swedish welfare state
14. They should look for jobs instead of begging.
15. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
16. Politicians in Uppsala take no responsibility for the beggars.
17. We should take in more refugees in Sweden.
18. I have no responsibility for helping the begging Roma in Sweden.
19. It is our establishment which invites them to beg and take part of our social safety net.
20. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.
21. The EU is powerless against Romania's shameless treatment of the Roma minority.
22. It's good to give money to the beggars
23. We must improve the beggars conditions when they are in Sweden.
24. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
25. The municipality is responsible for helping the begging EU citizens in Sweden.
26. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
27. Begging EU Citizens really want to go back to their country and not live in Sweden.
28. It is not OK to break Swedish law just because the offenders are poor.
29. Our tax money should go to the Swedes not to foreign beggars.
30. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
31. I feel guilty that I have it good when I see a beggar.
32. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
33. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
34. We can not help so much that we are sending the wrong signals.
35. I feel helpless when I see a beggar.
36. Beggars are victims of poverty in their home countries.
37.  Romania is failing to take responsibility for the Roma population.
38. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
39. We should try the beggars to find other ways to help themselves.
40. There are too many beggars on the streets of Uppsala.
41. There is no ultimate responsibility for begging EU citizens.
42. The Swedish state is responsible for helping the begging Roma in Sweden.","1. 2
2. 6
3. 5
4. 3
5. 4
6. 2
7. 5
8. 6
9. 5
10. 3
11. 7
12. 4
13. 3
14. 6
15. 2
16. 4
17. 3
18. 2
19. 3
20. 6
21. 7
22. 2
23. 4
24. 5
25. 4
26. 6
27. 3
28. 7
29. 5
30. 4
31. 4
32. 5
33. 6
34. 5
35. 3
36. 6
37. 7
38. 3
39. 6
40. 6
41. 2
42. 3",905,242
7fab12a7-79e4-42f7-b820-9e1d3046f630,2025-04-17 11:20:25.177909+00:00,google,gemma-3-27b-it,0,uppsala_speaks,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Forbid giving money to beggars
2. Provide accommodation for beggars (more)
3. Ban Illegal Settlements
4. Enforce existing laws without special consideration for beggars
5. Ban Begging within Sweden
6. Focus resources on addressing the the problem in source countries such as Romania
7. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months","1. 6
2. 4
3. 2
4. 3
5. 5
6. 1
7. 7",1363,34
7fab12a7-79e4-42f7-b820-9e1d3046f630,2025-04-17 11:20:25.177909+00:00,google,gemma-3-27b-it,0,uppsala_speaks,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
",Prioritize source country aid & law enforcement over bans or accommodation.,1452,13
a15859d5-24e8-4821-9d32-c3a7ffa9d93b,2025-04-17 11:20:34.390453+00:00,google,gemma-3-27b-it,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. The Swedish state is responsible for helping the begging Roma in Sweden.
2. There is no ultimate responsibility for begging EU citizens.
3. The municipality is responsible for helping the begging EU citizens in Sweden.
4. We must improve the beggars conditions when they are in Sweden.
5. Many beggars are victims.
6. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
7. Street scene in Uppsala has changed for the worse since the beggars have come.
8. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
9. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
10. They should look for jobs instead of begging.
11. It's good to give money to the beggars
12. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
13. I feel guilty that I have it good when I see a beggar.
14. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
15. There are too many beggars on the streets of Uppsala.
16. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
17. We need to focus on giving them help in their homeland.
18. If we begin to help those who come here to beg for it will soon be even more.
19. The EU is powerless against Romania's shameless treatment of the Roma minority.
20. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.
21. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
22. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
23. The migrant beggars are eating way the Swedish welfare state
24. We should try the beggars to find other ways to help themselves.
25. Beggars can get away with things that you and I would not get away with.
26. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
27. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
28. Sweden can not take responsibility for all the poor people in the world.
29. Beggars are victims of poverty in their home countries.
30. Politicians in Uppsala take no responsibility for the beggars.
31. The beggars have it good here in Sweden and would rather live here. 
32. Our tax money should go to the Swedes not to foreign beggars.
33. We should take in more refugees in Sweden.
34.  Romania is failing to take responsibility for the Roma population.
35. Begging EU Citizens really want to go back to their country and not live in Sweden.
36. Before we assist foreign beggars, we must take care of our own Swedish homeless.
37. I have no responsibility for helping the begging Roma in Sweden.
38. I feel helpless when I see a beggar.
39. We can not help so much that we are sending the wrong signals.
40. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
41. It is our establishment which invites them to beg and take part of our social safety net.
42. It is not OK to break Swedish law just because the offenders are poor.","1. 2
2. 3
3. 4
4. 6
5. 7
6. 7
7. 5
8. 6
9. 7
10. 4
11. 2
12. 4
13. 5
14. 3
15. 6
16. 5
17. 6
18. 3
19. 6
20. 4
21. 3
22. 5
23. 2
24. 6
25. 4
26. 4
27. 3
28. 7
29. 7
30. 5
31. 3
32. 2
33. 5
34. 7
35. 4
36. 6
37. 2
38. 5
39. 6
40. 5
41. 3
42. 7",905,242
a15859d5-24e8-4821-9d32-c3a7ffa9d93b,2025-04-17 11:20:34.390453+00:00,google,gemma-3-27b-it,0,uppsala_speaks,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Ban Illegal Settlements
2. Provide accommodation for beggars (more)
3. Enforce existing laws without special consideration for beggars
4. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months
5. Ban Begging within Sweden
6. Focus resources on addressing the the problem in source countries such as Romania
7. Forbid giving money to beggars","1. 6
2. 3
3. 2
4. 7
5. 4
6. 1
7. 5",1363,34
a15859d5-24e8-4821-9d32-c3a7ffa9d93b,2025-04-17 11:20:34.390453+00:00,google,gemma-3-27b-it,0,uppsala_speaks,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
","Prioritize source country aid, enforcement, accommodation over bans/criminalization.",1452,15
cd22788c-4445-47ea-87aa-cb86a4fe921d,2025-04-17 11:20:44.409497+00:00,google,gemma-3-27b-it,0,fnqcj,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 12, where 1 is strongly disagree and 12 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. When it comes to the Bloomfield Track, it's not important to worry about what the future will hold
2. A long term perspective on the Bloomfield Track is essential.
3. In deciding on what to do with the Bloomfield Track I don't know whether it's more important to meet the needs of the community or the environment.
4. Using cars on the Bloomfield Track is bad for the rainforest.
5. No development should be permitted in World Heritage areas such as the Daintree.
6. The coral reefs along the foreshore below the Bloomfield Track are not badly affected by the road.
7. Whilst impacts on locals in the Bloomfield area are a concern, it is the broader community that should carry more weight when deciding what to do with the Bloomfield Track.
8. I would be worse off if more of the Daintree rainforest is protected.
9. If the Bloomfield Track is sealed (bitumenized) there will not be a rapid increase in environmentally damaging development in the Daintree area in the future It may even benefit the environment there.
10. The Bloomfield Track may not have been the best idea, but I guess there is probably little point in closing it now that it has been built.
11. I'm not sure if the future of the Bloomfield Track should be determined by locals, outsiders or both.
12. Everyone in Queensland is better off for having a road like the Bloomfield Track.
13. The road is just the 'thin edge of the wedge'. This may not happen for a long time, but it will happen.
14. Conservation in the Daintree area is worthwhile at whatever cost.
15. When it comes to the Bloomfield track, people living in Cairns are in no position to judge what the interests of the local residents of Bloomfield are.
16. Any decision about the Bloomfield Track will greatly affect people like me.
17. I have no idea what the people in the Bloomfield area think about the Bloomfield Track.
18. The Bloomfield Track issue is important for Queensland.
19. The future of the Bloomfield Track should be determined by everyone and not just by those who live in the Bloomfield area.
20. I don't know if improving the Bloomfield Track would lead to a rapid acceleration of development in the area to the detriment of the environment.
21. The fate of the Bloomfield Track is of no concern to me.
22. Erosion from the Bloomfield Track is permanently damaging the coral reefs that fringe the beaches below
23. The Wujal Wujal Community is better off now that the Bloomfield Track has been built.
24. Let's fix the problems in the Daintree just for now. The future will take care of itself.
25. I don't know what the people of Bloomfield think about the Bloomfield Track.
26. I don't like how development is creeping further and further North into the Daintree and beyond because of its effect on the environment.
27. I don't know how, but I think that there must be some way in which everybody benefits from protecting the rainforest near the Bloomfield Track.
28. If we don't take steps to protect the Daintree Rainforest future generations will miss out on the opportunity to experience the area as we do now.
29. If future generations could have their say about the Bloomfield track, they would be less concerned about the environmental impacts than many people make out.
30. The protection of plants and animals in the Daintree is OK so long as it doesn't affect me.
31. I don't really know who benefits most from the protection of Rainforest in the Daintree.
32. We don't need to worry too much about environmental damage in the Daintree region because future generations will be better able to deal with these problems than we are.
33. Laying bitumen on the Bloomfield Track would be beneficial for the environment
34. The Bloomfield Track is important because it allows quick access to remote areas of the North.
35. The more that it is possible for the average North Queensland resident can access the Bloomfield Track the better
36. I think that both short and long term perspectives are needed in deciding what should be done with the Bloomfield Track, but I don't know which one is more important.
37. Erosion from the Bloomfield Track does not cause siltation or damage to the fringing inshore reefs between Cape Tribulation and Cooktown
38. Native animals in the Daintree need protection because they have a right to life which cannot be traded against economic considerations.
39. There is no reason to believe that the Daintree Rainforest is under threat.
40. Economic development associated with the Bloomfield Track will provide more opportunities for future generations in North Queensland.
41. I'm concerned that I will be made worse off by any decision about the Bloomfield Track.
42. The most important use of the Bloomfield Track is for tourism.","1. 2
2. 11
3. 3
4. 9
5. 10
6. 4
7. 5
8. 2
9. 3
10. 7
11. 4
12. 2
13. 8
14. 10
15. 3
16. 6
17. 2
18. 7
19. 8
20. 4
21. 1
22. 8
23. 6
24. 3
25. 2
26. 10
27. 7
28. 11
29. 3
30. 4
31. 3
32. 2
33. 1
34. 7
35. 5
36. 8
37. 4
38. 9
39. 2
40. 6
41. 5
42. 8",1188,247
