cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. The kind of government that we have, with no major changes","P2. Government with guaranteed involvement by all social groups, especially those representing disadvantaged minorities, in policy making","P3. A government with constitutional rules specifying its main task is to ensure that economic markets work well, and that government intervenes as little in society beyond that",P4. Government with strong leaders and legislation that ensures that proper moral principles are observed in society.,"P5. Government that abolishes all policies that give special benefits to minority groups, and instead ensures equal influence for all Australians"
b05eca35-62ba-4fd2-98ca-3083e49bea79,2025-04-02 10:30:58.018320+00:00,google,gemma2:27b,0,5300,325,4,2,5,3,1
0012d695-36bf-4cfa-af7a-a37eea6d1cf1,2025-04-02 10:31:08.859006+00:00,google,gemma2:27b,0,5300,332,3,2,1,4,5
3ed17159-fda5-4cee-aeba-013cb03d0bc4,2025-04-02 10:46:00.515816+00:00,google,gemma2:27b,0,5304,330,2,1,3,5,4
40b1c7d2-3336-4847-a851-1050691e10ab,2025-04-02 10:46:11.482100+00:00,google,gemma2:27b,0,5302,335,5,1,3,2,4
a1b96820-aa75-44ec-92db-60679b39f533,2025-04-02 10:46:22.796073+00:00,google,gemma2:27b,0,5302,330,3,1,2,5,4
e2503419-1ad2-4acd-ba8f-4291220ac5f3,2025-04-02 10:46:33.390256+00:00,google,gemma2:27b,0,5304,331,3,1,2,5,4
07298256-3ce2-4ec6-80fd-b94c96f68edc,2025-04-02 10:46:43.425463+00:00,google,gemma2:27b,0,5304,334,5,1,3,4,2
1dcb232f-57b5-4402-8f2a-c79aabd4c918,2025-04-02 10:46:54.316797+00:00,google,gemma2:27b,0,5312,335,1,3,5,2,4
4e228c21-80e9-4a24-9485-7fe0baa47e0e,2025-04-02 10:47:04.472953+00:00,google,gemma2:27b,0,5300,327,2,1,5,4,3
5b0dce3f-848f-4365-b5d7-5a49ebf0161f,2025-04-02 10:47:14.830179+00:00,google,gemma2:27b,0,5297,329,3,1,2,5,4
2dfb6822-c71a-457d-b6e0-37beb4b9b487,2025-04-02 10:47:24.614551+00:00,google,gemma2:27b,0,5312,339,2,4,5,1,3
5299cdb7-eb59-4a7d-b1f7-7ac0c5478811,2025-04-02 10:47:36.415815+00:00,google,gemma2:27b,0,5300,326,3,4,2,5,1
8f2bd0b4-6be5-4a9f-86e4-c534567d4471,2025-04-02 10:47:45.503379+00:00,google,gemma2:27b,0,5302,332,1,2,3,5,4
e26f645d-01b2-49a8-8308-059bdf43b835,2025-04-02 10:47:56.430010+00:00,google,gemma2:27b,0,5306,336,3,2,5,1,4
2ba6fbb7-a6c9-4bc2-8fc5-76a38a5b1ca2,2025-04-02 10:48:07.042684+00:00,google,gemma2:27b,0,5306,332,3,4,5,2,1
7dac0cde-bd1f-4d9c-807c-65615a1dc259,2025-04-02 10:48:18.391135+00:00,google,gemma2:27b,0,5298,326,3,1,4,5,2
a84ca087-5f73-4331-bd10-8fd64e00eab2,2025-04-02 10:48:28.219641+00:00,google,gemma2:27b,0,5306,328,2,3,4,5,1
6a8b31ce-805a-494b-a716-dd25161ac329,2025-04-02 10:48:40.652235+00:00,google,gemma2:27b,0,5298,322,2,3,5,1,4
3f79e81b-ef82-408c-baf1-0509f83b15d2,2025-04-02 10:48:51.634170+00:00,google,gemma2:27b,0,5293,325,3,4,2,1,5
3cbf14a3-d347-4a0c-bd22-de99ccdb474f,2025-04-02 10:49:00.113035+00:00,google,gemma2:27b,0,5304,327,3,1,2,4,5
b8dc32ba-2cc1-491a-84ed-c21dfe67c958,2025-04-02 10:49:09.836431+00:00,google,gemma2:27b,0,5304,332,2,1,3,5,4
3aef3807-a1a1-4745-a957-a60b386cb11e,2025-04-02 10:49:20.107573+00:00,google,gemma2:27b,0,5312,333,2,3,5,1,4
ec7e8be4-ff60-4e07-8f93-fbd8fb3156eb,2025-04-02 10:49:33.492664+00:00,google,gemma2:27b,0,5302,330,3,1,5,2,4
8aaf98d2-739a-459e-a2d7-6f9acb9dfd51,2025-04-02 10:49:43.339756+00:00,google,gemma2:27b,0,5302,331,4,1,3,2,5
9a4251b0-b474-4bbe-bb8e-46ab881d35a4,2025-04-02 10:49:54.748025+00:00,google,gemma2:27b,0,5306,329,2,3,1,4,5
f5ea3415-7dd2-4f2d-909f-54e636429860,2025-04-02 10:50:02.549369+00:00,google,gemma2:27b,0,5297,326,4,3,1,2,5
14ac8047-0bf0-4bef-9ea3-78ada2f0a2f8,2025-04-02 10:50:13.590214+00:00,google,gemma2:27b,0,5300,329,2,1,5,3,4
56ed8bab-4153-4a17-8c25-281b025be73b,2025-04-02 10:50:23.657631+00:00,google,gemma2:27b,0,5310,335,2,5,1,4,3
a99176ad-864f-40d1-9c47-446916d844d8,2025-04-02 10:50:33.705263+00:00,google,gemma2:27b,0,5308,330,3,4,2,5,1
4c1e7655-7908-4ef1-8719-65c54dc1a693,2025-04-02 10:50:43.993549+00:00,google,gemma2:27b,0,5302,333,3,2,4,1,5
