cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
b05eca35-62ba-4fd2-98ca-3083e49bea79,2025-04-02 10:30:58.018320+00:00,google,gemma2:27b,0,5300,325,I favor minimal government intervention and equal treatment for all Australians.
0012d695-36bf-4cfa-af7a-a37eea6d1cf1,2025-04-02 10:31:08.859006+00:00,google,gemma2:27b,0,5300,332,"I favor minimal government intervention and equal treatment for all, while valuing social inclusion and cautious progress."
3ed17159-fda5-4cee-aeba-013cb03d0bc4,2025-04-02 10:46:00.515816+00:00,google,gemma2:27b,0,5304,330,I value inclusivity and social justice over traditional morality and minimal government intervention.
40b1c7d2-3336-4847-a851-1050691e10ab,2025-04-02 10:46:11.482100+00:00,google,gemma2:27b,0,5302,335,I value diverse representation and believe in a government that prioritizes social well-being over purely economic concerns.
a1b96820-aa75-44ec-92db-60679b39f533,2025-04-02 10:46:22.796073+00:00,google,gemma2:27b,0,5302,330,I value diverse representation and believe in a balance between market forces and social responsibility.
e2503419-1ad2-4acd-ba8f-4291220ac5f3,2025-04-02 10:46:33.390256+00:00,google,gemma2:27b,0,5304,331,I prioritize inclusive governance and economic freedom over moral legislation and group-specific policies.
07298256-3ce2-4ec6-80fd-b94c96f68edc,2025-04-02 10:46:43.425463+00:00,google,gemma2:27b,0,5304,334,I favor inclusive government and oppose policies that disadvantage minorities or prioritize markets over social well-being.
1dcb232f-57b5-4402-8f2a-c79aabd4c918,2025-04-02 10:46:54.316797+00:00,google,gemma2:27b,0,5312,335,"I prefer the status quo, oppose minimal government, and favor some social justice."
4e228c21-80e9-4a24-9485-7fe0baa47e0e,2025-04-02 10:47:04.472953+00:00,google,gemma2:27b,0,5300,327,I prioritize diverse representation and social justice over minimal government and moral legislation.
5b0dce3f-848f-4365-b5d7-5a49ebf0161f,2025-04-02 10:47:14.830179+00:00,google,gemma2:27b,0,5297,329,I prioritize inclusive governance and social justice over market-driven solutions and traditional hierarchies.
2dfb6822-c71a-457d-b6e0-37beb4b9b487,2025-04-02 10:47:24.614551+00:00,google,gemma2:27b,0,5312,339,"I value social justice and inclusivity, prefer a government with strong moral principles over purely economic focus."
