cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Mitochondrial donation is a treatment more like an organ transplant, which doesn't really change the genetics of person.",C2. It's a slippery slope from genome editing for medical reasons to using it for other reasons.,C3. Parents and guardians have a right to edit the genes of their children before they are born.,C4. Parents want 'designer babies' with certain traits out of vanity.,C5. I'm concerned that genome editing will lead to a reduction in genetic diversity.,C6. I think it would be amazing to have a choice in the way someone behaves.,C7. The idea that genome editing can make perfect people and societies is extremely dangerous.,C8. I think it's okay to use genome editing to change someone's appearance.,C9. I'm concerned that genome editing will be used as a quick techno-fix without actually dealing with real problems.,"C10. My concern is that as we start to tinker with the human genome, we're going to accidentally introduce a whole host of other problems.","C11. If human genome editing is available then it should be available to everyone who needs it, not just those who can afford it.",C12. I'm worried that human genome editing will widen the gap between those who can afford it and those who can't.,C13. If we open the box of genome editing we will not know where to draw the line.,C14. I am concerned that the use of human genome editing will advantage one group over another.,C15. Decisions about the use of genome editing are best left to the experts.,"C16. If human genome editing can be used to make changes to humans on demand for any reason, the future will be like a dystopian movie.",C17. Genome editing is really cool science.,C18. Genome editing will be used for enhancement by wealthy people.,C19. I have a more positive feeling about gene editing in humans than I do for animals or plants.,C20. Editing genes that will be inherited is problematic because it means making decisions for future people who don't exist yet. ,C21. My cultural beliefs make me cautious about genome editing.,C22. When you change someone's genes you are fundamentally changing who they are.,C23. Genome editing in agriculture will have the biggest impact on people's health. ,C24. Anything that's been artificially created in a lab gives me Frankenstein vibes.,C25. I worry that something will go wrong with genome technology.,C26. It's better to use genome editing to prevent a serious disease from happening rather than having to treat it with conventional medicine after it has occurred.,C27. The idea that people with genetic conditions might get cured in my lifetime is miraculous and incredible.,C28. Genome editing technologies gives us power over human life itself.,C29. Suggesting genome editing will 'cure' disability diminishes those living with genetic conditions who need support.,C30. There is nothing wrong with using genome editing to speed up evolution and help living things (including humans) adapt to challenges.,"C31. As a society, we have an obligation to help strengthen coming generations by eradicating diseases.",C32. We find strength when we face illness and adversity. It makes us who we are. ,"C33. If genome editing is proven to be safe, then I see no reason to oppose it.",C34. It is better to accept our genes the way they are than to tamper with things we don't understand.,"C35. I would consider using genome editing for my children to give them an advantage in life, so long as it's safe.",C36. I don't think we know enough about genetic diseases or the long term consequences of genome editing,C37. I think we should keep an open mind about new discoveries.,C38. I would be OK with having my own genome edited.,"C39. Each individual has a right to decide for themselves whether to undergo gene editing, as long as the changes cannot be passed on to future generations.",C40. Interfering in people's genes is intervening a bit too far in human creation.,C41. The idea of editing the human genome is scary.,C42. The use of gene editing for non-medical reasons reminds me of the Nazis during the Second World War.,C43. Science and technology have too much control over our lives.,"C44. Beacause of our changing environments, I believe that future humans will need genome editing to survive.",C45. I believe we should remain as natural as possible but we should not shy away from furthering medicine and the chance to save lives.
060406a4-9649-4052-aa37-72e72495be48,2025-04-02 10:35:29.382244+00:00,google,gemma2:27b,0,4654,319,5,6,3,5,5,2,7,2,5,6,7,6,6,6,3,6,6,6,4,6,4,6,4,4,5,6,7,7,5,3,5,4,5,4,3,6,6,4,5,5,5,2,4,4,5
cb51442e-b5ae-4686-afb2-ebfe2b9f1acb,2025-04-02 10:35:40.733785+00:00,google,gemma2:27b,0,4654,319,5,6,3,4,5,3,7,2,5,6,7,6,6,5,2,6,5,6,4,6,4,6,4,4,5,6,7,6,6,4,6,4,4,5,4,6,6,3,6,5,5,2,4,3,5
3054000f-23a6-4daf-9274-8ed3d73e67ff,2025-04-02 11:48:10.790154+00:00,google,gemma2:27b,0,4651,320,5,6,3,4,6,2,7,2,5,5,7,7,7,6,3,6,6,6,4,7,3,5,4,3,5,6,7,6,5,4,6,4,5,4,4,5,6,4,6,5,6,2,4,2,6
19d94693-0d6d-43ca-bd0a-a3c02318f8dd,2025-04-02 11:48:21.534198+00:00,google,gemma2:27b,0,4654,319,6,6,3,5,4,2,7,2,5,6,7,7,5,7,4,6,6,6,4,7,3,6,3,4,5,6,7,7,6,4,6,4,6,4,3,6,6,3,5,4,5,4,5,4,5
fa6c00e3-402c-4b60-88d9-86ee4d065827,2025-04-02 11:48:30.179310+00:00,google,gemma2:27b,0,4654,320,5,6,3,3,5,2,7,2,4,5,6,7,6,6,3,6,6,5,4,6,3,5,3,3,5,6,7,7,7,4,5,4,5,4,3,5,6,4,6,5,5,2,4,4,6
8b7d9582-06c3-44e9-8bab-03942677acaf,2025-04-02 11:48:39.781357+00:00,google,gemma2:27b,0,4654,320,5,6,3,3,5,2,7,2,5,6,7,7,6,6,4,7,6,6,4,7,2,5,2,4,6,7,7,7,6,4,6,4,5,5,3,4,7,5,6,6,5,4,4,4,5
f26e2e80-f8d1-46e0-8472-6280b9021424,2025-04-02 11:48:48.947082+00:00,google,gemma2:27b,0,4651,323,5,6,2,4,4,2,6,2,5,5,7,7,7,5,3,6,6,6,4,7,3,5,4,2,4,6,7,7,6,4,5,3,5,5,3,6,6,4,6,6,5,2,4,3,6
2d76cea9-0da6-4c25-970f-8d3869a163f2,2025-04-02 11:48:59.152185+00:00,google,gemma2:27b,0,4654,323,5,6,3,4,5,2,7,2,6,6,7,7,7,6,3,7,6,6,4,7,4,5,4,5,6,6,7,7,6,3,6,4,4,5,3,6,5,4,5,6,6,5,5,4,5
9f74c8e3-6322-4966-8dc3-83bfc0adda32,2025-04-02 11:49:09.667183+00:00,google,gemma2:27b,0,4651,322,5,6,3,4,5,2,7,2,5,6,7,7,6,6,3,6,6,5,4,6,4,4,4,3,5,6,7,7,5,4,6,5,5,2,3,5,6,4,6,5,5,2,4,3,6
d7c15466-44c7-438b-9c9a-e4d2fb32f7c8,2025-04-02 11:49:17.895287+00:00,google,gemma2:27b,0,4654,320,5,6,3,4,5,2,6,2,5,6,7,6,7,6,3,6,6,6,4,7,4,5,4,3,5,6,7,7,6,5,6,3,5,4,3,5,7,4,6,5,5,2,4,4,6
8d13c509-6ef4-42ba-9de1-2baecf58f052,2025-04-02 11:49:28.281260+00:00,google,gemma2:27b,0,4654,319,5,6,3,4,5,2,6,2,5,6,7,6,6,6,3,5,6,6,4,6,3,6,4,4,5,6,7,7,6,4,6,4,5,4,3,5,6,4,6,5,5,2,4,3,5
84a75cde-6fbf-4ade-a958-4df3479e5203,2025-04-02 11:49:39.999096+00:00,google,gemma2:27b,0,4654,323,5,6,3,4,5,2,6,2,5,6,7,6,6,6,4,6,6,6,4,6,3,6,5,3,5,6,7,6,6,3,6,3,5,4,4,5,7,4,6,5,4,2,4,4,6
45f03449-b061-47f8-aec2-63eadf213104,2025-04-02 11:49:49.461211+00:00,google,gemma2:27b,0,4654,318,5,6,3,4,5,2,7,2,5,6,7,7,5,6,3,6,6,6,4,7,4,5,3,4,6,6,7,7,5,4,6,3,5,4,2,6,6,4,6,5,6,2,5,3,5
62a9b97f-e896-4867-b3cc-df604b36bd59,2025-04-02 11:49:59.938395+00:00,google,gemma2:27b,0,4654,329,5,6,3,4,6,2,6,2,6,5,7,7,6,7,3,6,5,6,4,7,4,6,4,4,5,6,7,6,6,4,6,3,5,4,3,6,7,4,6,5,5,2,4,5,5
7aea1fb6-cec6-4ac9-bbcf-d7c90c204345,2025-04-02 11:50:09.079339+00:00,google,gemma2:27b,0,4651,319,6,6,3,4,5,2,7,2,5,6,7,6,6,6,3,5,6,6,4,7,3,6,3,4,5,6,7,7,5,4,6,4,5,4,4,6,6,5,6,4,5,2,4,4,6
b78bdfb2-cd29-4974-9da7-f7f54c22b821,2025-04-02 11:50:16.673795+00:00,google,gemma2:27b,0,4654,324,5,6,2,4,5,2,7,2,5,6,7,6,7,6,3,6,5,6,4,7,4,6,3,3,5,6,7,7,6,4,6,4,5,4,3,6,6,4,6,5,5,2,4,4,5
d2103622-2eb3-44bd-a4bc-e60bc61e0de9,2025-04-02 11:50:26.356649+00:00,google,gemma2:27b,0,4654,323,6,5,2,4,4,2,6,2,4,5,7,7,6,6,3,5,6,6,4,6,3,5,4,3,5,6,7,7,6,4,5,3,5,3,3,5,6,4,6,4,5,1,4,3,5
7ec28b58-5d78-4a97-b5e6-38949187c4ba,2025-04-02 11:50:37.142879+00:00,google,gemma2:27b,0,4654,320,5,5,3,5,4,2,7,2,5,6,7,7,6,6,3,6,6,6,4,7,3,7,3,4,5,6,7,7,6,4,6,4,5,3,3,6,7,4,6,5,5,2,4,4,5
0415fb05-5d35-433b-97b6-6cbd2f50ff11,2025-04-02 11:50:46.277315+00:00,google,gemma2:27b,0,4654,319,5,6,3,4,5,2,7,2,5,6,7,7,6,6,3,5,6,6,4,6,4,6,4,4,5,6,7,7,6,5,5,4,5,4,3,6,6,4,6,6,5,2,5,4,6
3e835ec6-de9d-4441-a3bc-73ddb5486173,2025-04-02 11:50:58.261659+00:00,google,gemma2:27b,0,4654,322,5,6,2,4,4,2,7,2,4,6,7,7,6,6,3,5,6,6,3,7,4,6,2,4,5,6,7,7,4,4,5,3,5,4,2,6,6,4,6,5,5,2,3,3,5
788a42b7-2f74-46d4-b942-cf72f69935f0,2025-04-02 11:51:08.758760+00:00,google,gemma2:27b,0,4654,320,5,6,3,4,5,2,7,2,5,6,7,6,7,6,3,7,6,6,4,7,4,5,3,4,6,6,7,7,6,4,6,4,4,5,3,6,6,3,6,5,6,2,5,2,5
baefe5e7-0289-4d6d-854d-aca7d203c4c9,2025-04-02 11:51:18.778534+00:00,google,gemma2:27b,0,4654,323,5,5,3,4,5,2,7,2,6,6,7,7,5,6,3,5,6,6,4,6,4,6,4,2,6,6,7,7,6,4,6,3,5,4,3,6,7,4,6,5,5,2,4,5,5
a9a67b2b-1f15-4932-b6eb-8067294e6b84,2025-04-02 11:51:29.858033+00:00,google,gemma2:27b,0,4651,318,5,6,3,4,5,2,7,2,5,6,7,6,6,6,3,6,6,6,4,7,4,5,3,3,5,6,7,7,5,4,6,5,5,4,3,5,7,4,6,5,5,5,4,2,6
c2fdd129-700e-4c79-8abe-7e959a509c13,2025-04-02 11:51:40.831914+00:00,google,gemma2:27b,0,4654,318,5,5,3,4,5,2,7,2,5,6,7,7,6,6,4,4,5,6,4,6,3,7,3,3,5,6,7,7,6,4,5,4,6,4,3,5,6,5,5,5,5,2,4,4,5
3a5e0329-9822-4577-b5fc-92647e9c3a39,2025-04-02 11:51:52.450341+00:00,google,gemma2:27b,0,4654,318,5,6,3,4,5,3,7,2,5,6,7,7,7,6,3,6,6,6,4,7,5,6,4,3,6,6,7,6,6,4,6,3,5,4,4,6,7,4,5,5,5,2,4,4,5
