cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Public funds should pay for biobanks, instead of private companies.",C2. The community that provides samples for research should receive improved medical services in return.,C3. People should be paid for providing their samples to a biobank.,C4. Information about people's genes and the traits they inherit from their parents is more private than their medical records.,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health in other ways.,C7. Race is a useful topic for genetic studies,C8. Collecting samples from people in an ethnic or cultural group is acceptable only if the whole group has agreed to participate.,C9. Religious groups need to be asked for their views about biobanks and genetic research.,C10. Genetic studies will lead to the discrimination of people living with genetic conditions or disabilities.,C11. Genetic studies of race on ethnic or cultural groups will lead to the discrimination of those groups.,C12. The priorities for health should be to reduce inequalities and the burden of disease.,C13. Biobanks are valuable even if they only advance science (e.g. provide new information about diseases) and do not lead to treatments or cures.,"C14. It is always acceptable to do research on samples that identify me, without my prior permission.",C15. There is no point asking the public for their views on the ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government.,C18. There is no risk to the people who provide samples and information to biobanks.,C19. Policy makers need to consider whether WA should not have biobanks.,C20. My sample should never be permanently anonymized since I should be contacted about important research results,C21. Researchers and institutions (e.g. hospitals and universities) should be allowed to use samples for research but they should not own them.,C22. I should be asked for my permission every time researchers want to use my samples for research,C23. There must be special consideration of the views of Aboriginal people towards healthcare and genetic research.,C24. Improved health is more likely to come from educating people about their diet and lifestyle than from biobanks.,C25. People with a [chronic disease or] genetic condition in their family have a responsibility to be involved in genetic research.,C26. People should always be able to withdraw their sample from research at any time.,C27. I should have property rights to my tissues before and after they leave my body,C28. People who provide samples for research should get special access to the treatments that result from this research.,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. People who provide samples should be active in the set up and ongoing management of biobanks.,C31. Biobanks will only lead to high profits and expensive treatments that most people can't afford.,"C32. I do not mind if researchers have access to my samples, when there is no way I can be identified.","C33. I trust independent research ethics committees, which are not connected to the biobank in anyway, to decide whether research is ethical and approve who gets access to my samples.",C34. I trust researchers to make sure only approved people get access to my samples,C35. We should all provide samples to biobanks because it will benefit everyone.,C36. I do not mind if my sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for in the future bothers me.,C38. Profits from biobanking should be shared in some way with the community who provided the samples.,"C39. Biobanks need to be monitored and reviewed by external, independent people to prevent the misuse of data and samples.","C40. The biobank owner should be able to sell any information they have about my genes, if they want to.","C41. I don't mind if my samples are connected to my medical records without my prior permission, so long as researchers don't get access to any data that identifies me.",C42. I trust biobanks with managers who are independent of researchers to make sure only approved people get access to my samples,C43. It's OK if data that identifies me is stored in a separate database and replaced in the biobank by a unique non-identifying code.,C44. Commercial companies should keep all the profits they make from biobanking because they take the financial risks and put up the money to develop new drugs and treatments.,"C45. Commercial companies should get access to biobanks, otherwise new drugs and treatments will not be developed.",C46. It is acceptable for samples and information that doesn't identify me to be sent to researchers overseas.,C47. People should be told if commercial companies could get access to their samples and information.,C48. The public will be more protected if biobanks are government-funded not privately funded.,C49. Biobanks are valuable because they promise huge benefits for our economy.
43cda579-f592-44a0-876a-8eda426ecdee,2025-04-02 10:36:04.259324+00:00,google,gemma2:27b,0,5219,343,8,5,6,6,11,5,4,8,7,7,8,10,8,1,2,9,5,2,7,1,7,10,9,5,6,11,7,4,10,8,3,8,9,6,4,2,3,8,10,2,5,8,9,3,6,7,10,6,4
5ca5779d-1172-4b48-bc48-62a222538d66,2025-04-02 10:36:14.263338+00:00,google,gemma2:27b,0,5213,340,8,5,4,7,10,6,4,9,7,5,6,9,7,2,2,8,6,2,6,6,7,10,9,4,5,10,5,3,10,7,3,8,8,7,4,3,6,7,9,2,4,8,8,2,4,7,9,3,5
c373ff6c-8d73-4a35-b8be-e6a0899babc1,2025-04-02 11:56:14.205812+00:00,google,gemma2:27b,0,5207,340,7,4,4,6,10,5,5,4,6,7,8,9,7,2,2,8,5,2,5,4,7,9,9,6,6,9,6,3,9,7,3,8,8,5,4,2,6,7,9,2,3,6,8,3,5,6,9,6,5
533242fd-9102-43c7-850e-01f1c3e4fe07,2025-04-02 11:56:25.198751+00:00,google,gemma2:27b,0,5215,342,8,5,4,7,11,6,5,2,8,7,8,10,7,1,2,8,5,2,6,5,8,9,9,6,4,10,3,3,10,7,4,9,9,7,4,1,6,6,10,2,3,8,8,2,6,6,9,7,4
b18c83a3-ccd4-4e24-9402-328586fd1f8d,2025-04-02 11:56:33.474212+00:00,google,gemma2:27b,0,5211,342,8,6,5,7,10,6,4,7,7,5,4,9,7,2,3,8,5,2,6,3,8,8,9,4,6,9,9,4,10,7,2,7,9,6,6,3,6,6,10,2,5,7,8,3,5,7,9,6,5
56851143-ff2c-4d95-82fe-d1410684b281,2025-04-02 11:56:43.435228+00:00,google,gemma2:27b,0,5217,339,7,7,5,6,11,6,3,8,9,5,6,10,8,2,2,9,5,2,7,6,8,9,10,4,5,10,4,4,10,7,4,8,9,8,6,3,6,8,10,1,4,7,8,3,5,7,9,7,6
6eeba7cf-5761-4bb2-8a7f-b186f94a4943,2025-04-02 11:56:54.963760+00:00,google,gemma2:27b,0,5213,344,8,3,5,7,10,7,4,8,7,6,8,9,8,1,2,8,5,2,7,8,7,9,9,4,6,10,6,3,10,7,2,8,8,5,4,3,7,7,10,2,4,6,9,3,5,6,9,6,5
7741a18d-0d5f-42e1-ad64-e1716f0b5be1,2025-04-02 11:57:04.732522+00:00,google,gemma2:27b,0,5209,339,6,5,4,7,10,6,5,6,5,3,4,9,8,2,2,8,5,2,5,6,8,8,9,4,6,10,6,3,9,7,3,8,8,6,4,3,7,6,9,2,3,7,8,4,5,7,9,7,5
47ae8812-40b1-4eee-b489-00a5051aec9e,2025-04-02 11:57:15.923924+00:00,google,gemma2:27b,0,5217,342,7,7,5,6,11,6,6,7,7,7,8,10,7,1,2,9,5,2,6,6,8,9,9,4,6,10,9,4,10,8,3,7,9,6,5,3,6,8,10,2,4,8,8,3,5,7,10,7,4
c402b773-b49b-46c4-bb4d-1178f72944b2,2025-04-02 11:57:27.584679+00:00,google,gemma2:27b,0,5215,342,8,5,4,3,10,4,4,9,7,5,7,10,7,1,2,9,5,2,6,8,8,6,9,4,6,10,5,3,10,9,2,8,8,6,6,2,6,6,10,2,2,7,7,3,5,7,9,6,5
97650075-7835-4c45-a37b-8e3c8b107b63,2025-04-02 11:57:37.437460+00:00,google,gemma2:27b,0,5219,347,7,6,6,7,11,6,5,9,7,7,8,10,8,2,2,9,3,2,6,7,9,8,10,4,6,10,9,4,10,8,3,7,9,5,4,2,6,8,11,2,4,8,8,3,4,6,10,6,5
b2a84b79-4702-4e21-8d8b-28820da2436f,2025-04-02 11:57:48.276858+00:00,google,gemma2:27b,0,5217,341,8,5,6,8,11,6,5,9,7,6,6,9,8,1,2,8,6,2,7,7,8,9,10,4,6,11,5,4,11,7,4,8,9,6,5,3,6,8,10,2,3,9,7,3,5,6,10,7,4
d98e3fb9-f84e-4f63-a11e-b9afba54422b,2025-04-02 11:57:57.981790+00:00,google,gemma2:27b,0,5213,337,8,6,4,7,10,6,3,9,7,6,8,9,9,2,2,8,6,3,7,5,8,7,9,4,5,10,6,4,10,8,4,8,9,7,6,2,6,7,10,2,3,9,7,3,5,7,9,8,5
e2cf6c8f-3df8-4e41-bbb6-57c9094046ff,2025-04-02 11:58:08.656898+00:00,google,gemma2:27b,0,5217,340,8,7,5,8,11,4,3,9,7,5,6,10,8,1,2,9,5,2,6,6,9,8,10,4,5,11,4,3,10,8,3,9,9,6,6,7,7,7,10,2,4,8,8,2,6,7,9,8,5
672980d9-4a30-4856-91e6-81fcff387bef,2025-04-02 11:58:20.819307+00:00,google,gemma2:27b,0,5215,343,8,7,6,6,11,6,4,9,7,8,8,9,7,2,2,8,5,2,6,6,8,9,10,6,4,10,4,3,10,8,4,8,9,7,5,3,6,7,10,2,4,8,9,4,5,7,9,7,5
0cc666c8-1656-43d2-9355-bda4812f09af,2025-04-02 11:58:33.643065+00:00,google,gemma2:27b,0,5211,340,7,7,4,7,10,6,4,7,6,6,7,9,7,1,2,8,5,2,6,5,8,9,10,3,5,9,5,4,10,7,2,8,8,7,6,9,6,7,9,2,4,8,8,3,5,6,9,7,4
0b7f0445-ac22-49c5-b76e-1a4bb8cda521,2025-04-02 11:58:45.108342+00:00,google,gemma2:27b,0,5213,343,7,6,5,7,10,6,6,9,8,6,8,9,8,1,2,8,3,2,6,6,8,9,10,4,5,9,6,5,10,8,3,7,7,6,5,3,7,9,10,2,5,7,7,3,4,7,9,6,4
e3e01c3f-9408-4298-86f8-df1fdf8f8b58,2025-04-02 11:58:59.773776+00:00,google,gemma2:27b,0,5213,340,7,5,4,6,11,6,3,9,7,6,7,9,8,2,2,8,5,2,7,6,9,5,10,5,5,9,4,4,10,8,3,7,7,6,4,2,6,6,10,2,4,8,8,3,4,6,8,6,5
017ccf55-4051-44a4-8762-d191a3c64935,2025-04-02 11:59:10.031887+00:00,google,gemma2:27b,0,5213,343,8,4,5,7,10,6,6,9,7,7,8,9,8,2,2,8,6,3,6,4,8,10,9,6,5,9,6,4,10,7,4,7,7,6,4,5,7,6,10,2,4,8,7,3,5,6,9,7,5
