cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. There is not enough information to definitively say that climate change is real.,C2. The response to  climate change is not going to be positive.  The same mistakes will keep happening.,"C3. Climate variation is normal, so why should this be a problem?",C4. More educational programmes are needed to increase public awareness about climate change.,C5. Climate change will not be a problem because there will be technological solutions available.,C6. I don't trust what scientists say about climate change.,C7. I don't trust what I hear about climate change from government.,C8. We need strong political leadership to do something about climate change.,C9. I think it is safe to say climate change is here.,C10. I'm not going to do anything to address climate change because it is not a major issue.,C11. There's not much point in me doing anything to fix this. No-one else is going to.,C12. It's difficult to trust what comes out in the media on the issue of climate change.,"C13. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.","C14. I'm not concerned enough to do anything drastic about this, such as participate in political action.",C15. It is unfair that we are going to leave the climate in a mess for future generations.,C16. We should pay for greenhouse emissions.,C17. We can adapt to the coming changes.,C18. It is clear that we are already entering the zone of dangerous climate change.,C19. I care about the planet.,"C20. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.",C21. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.,C22. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries. ,C23. This is so depressing and is so out of our control.,"C24. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.","C25. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.",C26. We need laws addressing climate change because people are not going to volunteer to change.,"C27. I want to do something, but it is too big and too hard.","C28. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.",C29. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.,C30. The fate of the planet is too important to be left to market forces.,"C31. Australia's emissions are tiny, so it's not up to us to act.",C32. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.,C33. Failure to address climate change is the fault of political leaders.
b98a7e2e-a916-4a99-9cd5-b342cf20813c,2025-04-17 14:46:34.938965+00:00,ibm,granite3.3,0,0,0,1,3,2,9,1,1,8,11,11,1,1,5,2,3,11,9,6,11,11,4,1,2,2,2,11,11,5,5,8,11,1,11,8
74a8f281-5902-46b9-a647-5393b00af7ce,2025-04-17 14:46:59.171096+00:00,ibm,granite3.3,0,0,0,1,1,1,7,1,1,1,9,8,1,1,2,1,1,8,7,6,3,10,4,2,1,1,1,8,9,4,1,4,9,1,8,5
15ff4c09-1a4a-40de-8749-0106a399083b,2025-04-17 14:47:18.538891+00:00,ibm,granite3.3,0,0,0,1,1,1,10,2,1,1,9,9,1,1,2,2,1,8,9,6,9,8,5,1,1,2,2,9,10,3,2,7,10,1,10,8
2bc8f8f2-8f3b-427d-afd8-79e44f33caa6,2025-04-17 14:47:56.578493+00:00,ibm,granite3.3,0,0,0,1,1,1,11,1,1,1,11,11,1,1,2,2,1,11,11,3,11,11,3,1,2,2,1,11,11,4,2,4,11,1,11,11
59e9665a-e053-42a8-ab87-b8eee79b12cf,2025-04-17 16:19:14.776233+00:00,ibm,granite3.3,0,0,0,2,2,1,11,2,1,1,11,11,1,1,2,1,1,11,10,3,11,11,7,1,1,2,1,11,2,2,2,8,11,1,11,11
789aba1f-4c49-409c-92dd-c255d51faee9,2025-04-17 16:19:37.064515+00:00,ibm,granite3.3,0,0,0,3,1,6,10,2,1,1,11,11,1,1,1,1,1,2,9,5,11,11,6,1,1,1,1,11,11,7,2,7,11,1,11,4
31f165f6-1f6b-4a46-8171-88854994b699,2025-04-17 16:19:56.635478+00:00,ibm,granite3.3,0,0,0,2,2,1,11,3,1,2,9,6,1,1,1,1,1,10,9,4,8,11,3,1,1,3,1,11,10,7,1,5,11,1,10,9
372d7c4f-d1c9-4d4c-add4-a18aa2ab9b0f,2025-04-17 16:21:18.460564+00:00,ibm,granite3.3,0,0,0,1,1,1,10,7,1,1,11,10,1,1,3,1,1,11,2,1,11,11,2,1,1,1,1,11,11,9,1,9,11,1,11,8
7e57a79d-5a3f-42eb-a87f-e00dadcb4ce2,2025-04-17 16:21:40.636878+00:00,ibm,granite3.3,0,0,0,1,1,1,11,1,1,1,11,11,1,1,1,1,1,4,2,3,11,11,2,1,1,1,1,11,11,3,2,3,11,1,11,4
ee598531-9695-4f31-8662-27f77fb7145e,2025-04-17 16:22:16.802730+00:00,ibm,granite3.3,0,0,0,1,4,1,8,1,1,1,11,11,1,1,3,1,2,11,7,6,11,11,3,6,2,1,1,11,11,3,3,7,11,2,11,8
99248959-89a5-4021-9daa-696e0445d595,2025-04-17 16:22:36.720914+00:00,ibm,granite3.3,0,0,0,11,1,1,11,1,1,1,11,11,1,1,1,1,1,11,8,4,11,11,4,1,1,1,1,11,11,1,1,7,11,1,11,1
