cuid,date,provider,model,temperature,survey,type,prompt,response,input_tokens,output_tokens
329835a6-a400-4a8f-b2dd-2b0cc58c61db,2025-04-01 13:21:36.807826+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. Street scene in Uppsala has changed for the worse since the beggars have come.
2. Sweden can not take responsibility for all the poor people in the world.
3. Many beggars are victims.
4. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
5. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
6. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
7. If we begin to help those who come here to beg for it will soon be even more.
8. We need to focus on giving them help in their homeland.
9. Before we assist foreign beggars, we must take care of our own Swedish homeless.
10. The beggars have it good here in Sweden and would rather live here. 
11. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
12. Beggars can get away with things that you and I would not get away with.
13. The migrant beggars are eating way the Swedish welfare state
14. They should look for jobs instead of begging.
15. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
16. Politicians in Uppsala take no responsibility for the beggars.
17. We should take in more refugees in Sweden.
18. I have no responsibility for helping the begging Roma in Sweden.
19. It is our establishment which invites them to beg and take part of our social safety net.
20. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.
21. The EU is powerless against Romania's shameless treatment of the Roma minority.
22. It's good to give money to the beggars
23. We must improve the beggars conditions when they are in Sweden.
24. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
25. The municipality is responsible for helping the begging EU citizens in Sweden.
26. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
27. Begging EU Citizens really want to go back to their country and not live in Sweden.
28. It is not OK to break Swedish law just because the offenders are poor.
29. Our tax money should go to the Swedes not to foreign beggars.
30. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
31. I feel guilty that I have it good when I see a beggar.
32. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
33. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
34. We can not help so much that we are sending the wrong signals.
35. I feel helpless when I see a beggar.
36. Beggars are victims of poverty in their home countries.
37.  Romania is failing to take responsibility for the Roma population.
38. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
39. We should try the beggars to find other ways to help themselves.
40. There are too many beggars on the streets of Uppsala.
41. There is no ultimate responsibility for begging EU citizens.
42. The Swedish state is responsible for helping the begging Roma in Sweden.",  Sure,1012,2
329835a6-a400-4a8f-b2dd-2b0cc58c61db,2025-04-01 13:21:36.807826+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Forbid giving money to beggars
2. Provide accommodation for beggars (more)
3. Ban Illegal Settlements
4. Enforce existing laws without special consideration for beggars
5. Ban Begging within Sweden
6. Focus resources on addressing the the problem in source countries such as Romania
7. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months",  Sure,1261,2
329835a6-a400-4a8f-b2dd-2b0cc58c61db,2025-04-01 13:21:36.807826+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
",  Sure,1329,2
bf9334b0-8fd8-4bba-90f6-7e3a38854854,2025-04-01 13:21:39.566613+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. The Swedish state is responsible for helping the begging Roma in Sweden.
2. There is no ultimate responsibility for begging EU citizens.
3. The municipality is responsible for helping the begging EU citizens in Sweden.
4. We must improve the beggars conditions when they are in Sweden.
5. Many beggars are victims.
6. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
7. Street scene in Uppsala has changed for the worse since the beggars have come.
8. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
9. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
10. They should look for jobs instead of begging.
11. It's good to give money to the beggars
12. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
13. I feel guilty that I have it good when I see a beggar.
14. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
15. There are too many beggars on the streets of Uppsala.
16. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
17. We need to focus on giving them help in their homeland.
18. If we begin to help those who come here to beg for it will soon be even more.
19. The EU is powerless against Romania's shameless treatment of the Roma minority.
20. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.
21. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
22. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
23. The migrant beggars are eating way the Swedish welfare state
24. We should try the beggars to find other ways to help themselves.
25. Beggars can get away with things that you and I would not get away with.
26. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
27. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
28. Sweden can not take responsibility for all the poor people in the world.
29. Beggars are victims of poverty in their home countries.
30. Politicians in Uppsala take no responsibility for the beggars.
31. The beggars have it good here in Sweden and would rather live here. 
32. Our tax money should go to the Swedes not to foreign beggars.
33. We should take in more refugees in Sweden.
34.  Romania is failing to take responsibility for the Roma population.
35. Begging EU Citizens really want to go back to their country and not live in Sweden.
36. Before we assist foreign beggars, we must take care of our own Swedish homeless.
37. I have no responsibility for helping the begging Roma in Sweden.
38. I feel helpless when I see a beggar.
39. We can not help so much that we are sending the wrong signals.
40. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
41. It is our establishment which invites them to beg and take part of our social safety net.
42. It is not OK to break Swedish law just because the offenders are poor.",  Sure,1012,2
bf9334b0-8fd8-4bba-90f6-7e3a38854854,2025-04-01 13:21:39.566613+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Ban Illegal Settlements
2. Provide accommodation for beggars (more)
3. Enforce existing laws without special consideration for beggars
4. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months
5. Ban Begging within Sweden
6. Focus resources on addressing the the problem in source countries such as Romania
7. Forbid giving money to beggars",  Sure,1261,2
bf9334b0-8fd8-4bba-90f6-7e3a38854854,2025-04-01 13:21:39.566613+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
",  Sure,1329,2
96f244af-21bf-458c-b472-216260364d4b,2025-04-01 13:21:42.194720+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. I feel helpless when I see a beggar.
2. We should take in more refugees in Sweden.
3. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
4. We need to focus on giving them help in their homeland.
5. Many beggars are victims.
6. I have no responsibility for helping the begging Roma in Sweden.
7. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
8. Our tax money should go to the Swedes not to foreign beggars.
9. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
10. If we begin to help those who come here to beg for it will soon be even more.
11. The EU is powerless against Romania's shameless treatment of the Roma minority.
12. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
13. The migrant beggars are eating way the Swedish welfare state
14. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
15. It is not OK to break Swedish law just because the offenders are poor.
16. The municipality is responsible for helping the begging EU citizens in Sweden.
17. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
18. Before we assist foreign beggars, we must take care of our own Swedish homeless.
19. It is our establishment which invites them to beg and take part of our social safety net.
20. They should look for jobs instead of begging.
21. The Swedish state is responsible for helping the begging Roma in Sweden.
22. The beggars have it good here in Sweden and would rather live here. 
23. Street scene in Uppsala has changed for the worse since the beggars have come.
24. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
25. Politicians in Uppsala take no responsibility for the beggars.
26. Begging EU Citizens really want to go back to their country and not live in Sweden.
27. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
28.  Romania is failing to take responsibility for the Roma population.
29. Sweden can not take responsibility for all the poor people in the world.
30. Beggars are victims of poverty in their home countries.
31. There is no ultimate responsibility for begging EU citizens.
32. We can not help so much that we are sending the wrong signals.
33. We should try the beggars to find other ways to help themselves.
34. I feel guilty that I have it good when I see a beggar.
35. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
36. There are too many beggars on the streets of Uppsala.
37. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
38. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
39. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.
40. We must improve the beggars conditions when they are in Sweden.
41. It's good to give money to the beggars
42. Beggars can get away with things that you and I would not get away with.",  Sure,1012,2
96f244af-21bf-458c-b472-216260364d4b,2025-04-01 13:21:42.194720+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,policies,"## Instructions:
- Based on your previous ratings, rank the 7 [Policies] listed below from 1 to 7, where 1 represents the option you support the most and 7 the option you support the least.
- In your response, return an ordered list of 7 ranks as integers, one rank per line following the format in the [Example output].
- Your response must have exactly 7 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 4
2. 1
3. 3
4. 2

## [Policies]:
1. Ban Illegal Settlements
2. Enforce existing laws without special consideration for beggars
3. Forbid giving money to beggars
4. Focus resources on addressing the the problem in source countries such as Romania
5. Provide accommodation for beggars (more)
6. Ban Begging within Sweden
7. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months",  Sure,1261,2
96f244af-21bf-458c-b472-216260364d4b,2025-04-01 13:21:42.194720+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,reasons,"## Instructions:
- In a single line, explain your ratings above within 100 characters or less.
- Do not include any additional formatting, such as bullets or special characters.
- Do not include more than one space in a row.
",  Sure,1329,2
fc188472-99ec-46b7-8914-047cae1c49e5,2025-04-01 13:21:43.875875+00:00,meta,meta-llama/Llama-2-13b-chat-hf,0,uppsala_speaks,considerations,"## Instructions:
- Rate each of the 42 [Considerations] below from 1 to 7, where 1 is strongly disagree and 7 is strongly agree.
- In your response, return an ordered list of 42 ratings as integers, one rating per line following the format in the [Example output].
- Your response must have exactly 42 lines in total.
- Do NOT include any additional text in your response.

## [Example output]:
1. 1
2. 4
3. 6
4. 3

## [Considerations]:
1. If we begin to help those who come here to beg for it will soon be even more.
2. Beggars can get away with things that you and I would not get away with.
3. The emergence of ""parallel societies"" and ""slums"" in Uppsala, is not acceptable.
4. EU migrants coming to Uppsala due to rumors of more support and shelter for the homeless.
5. Politicians in Uppsala take no responsibility for the beggars.
6. Before we assist foreign beggars, we must take care of our own Swedish homeless.
7. The migrant beggars are eating way the Swedish welfare state
8. Tourism in Sweden is damaged when the image of a clean and safe country no longer proves correct.
9. There is no ultimate responsibility for begging EU citizens.
10. We must improve the beggars conditions when they are in Sweden.
11. Our tax money should go to the Swedes not to foreign beggars.
12. Beggars are victims of poverty in their home countries.
13. The beggars trying to cheat me out of money by playing sick and poor even though they are not.
14. The Swedish state is responsible for helping the begging Roma in Sweden.
15. Why don't we just treat the beggars the same as we do refugees? They are in the same situation.
16. We should try the beggars to find other ways to help themselves.
17. Begging on the streets of Uppsala is organized with connections to the criminal mafia.
18. I have no responsibility for helping the begging Roma in Sweden.
19. They should look for jobs instead of begging.
20. Begging is caused by poverty and discrimination of minority groups in certain EU countries.
21. Allowing street begging in some EU countries, including Sweden, does not facilitate Romania's efforts to achieve social inclusion and enhancing employability
22. There are too many beggars on the streets of Uppsala.
23. Sweden can not take responsibility for all the poor people in the world.
24.  Romania is failing to take responsibility for the Roma population.
25. We can not help so much that we are sending the wrong signals.
26. We need to focus on giving them help in their homeland.
27. Beggars should not bring their children to Sweden but leave them at home so they can attend school.
28. We should take in more refugees in Sweden.
29. The EU is powerless against Romania's shameless treatment of the Roma minority.
30. I feel guilty that I have it good when I see a beggar.
31. It is our establishment which invites them to beg and take part of our social safety net.
32. Home countries Romania and Bulgaria have a responsibility to improve the situation of their minority population.
33. Street scene in Uppsala has changed for the worse since the beggars have come.
34. The beggars have it good here in Sweden and would rather live here. 
35. The municipality is responsible for helping the begging EU citizens in Sweden.
36. Many beggars are victims.
37. Begging EU Citizens really want to go back to their country and not live in Sweden.
38. It's good to give money to the beggars
39. Beggars have the same values as us and therefore we have an obligation to help them with school, work, housing and food.
40. I feel helpless when I see a beggar.
41. It is not OK to break Swedish law just because the offenders are poor.
42. The EU is responsible to handle the situation involving EU citizens crossing borders to beg.",  Sure,1012,2
