cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
b15faee6-2d1a-44a3-8cd6-a6e7ede0e7a8,2025-04-01 13:20:53.836212+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
c8bfdb28-757e-432f-af47-1294c67785cf,2025-04-01 13:21:07.061085+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
6931aaae-9080-4186-b65e-aee50cb0a317,2025-04-02 14:42:37.731133+00:00,meta,llama3.1:405B-turbo,0,4357,281,I prioritized policies allowing genome editing for clinical purposes with oversight and restrictions.
e35c1e17-3dd4-4c22-9ca5-0ad0d3259bb2,2025-04-02 14:42:46.257840+00:00,meta,llama3.1:405B-turbo,0,4354,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
66abad7f-c382-40e2-bd75-182eba076631,2025-04-02 14:42:51.853378+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
b844d0da-5efb-4d87-8257-e4468d60904e,2025-04-02 14:43:02.673129+00:00,meta,llama3.1:405B-turbo,0,4352,286,I prioritized policies with strong oversight and clinical purposes while minimizing heritable editing and for-profit uses.
0bde6451-d258-4653-830c-3c8f554fcdd6,2025-04-02 14:43:09.739868+00:00,meta,llama3.1:405B-turbo,0,4357,283,I prioritized policies with strong oversight and non-heritable editing for clinical purposes.
5d6f6ad0-e72c-47e3-980a-be09f4a8a843,2025-04-02 14:43:15.534687+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
84aba18e-3684-406d-9aa4-8834da7e19c4,2025-04-02 14:43:29.028793+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
ce3ebf40-e7aa-42d5-8814-8972fd5acb9f,2025-04-02 14:43:34.634871+00:00,meta,llama3.1:405B-turbo,0,4355,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
48beb8c8-f3cc-4152-8915-162efa9af2c2,2025-04-02 14:43:48.310931+00:00,meta,llama3.1:405B-turbo,0,4355,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
a3dc1d98-5b5e-413f-a689-8061d72cc477,2025-04-02 14:43:55.032356+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
bcd80a79-59a7-4bcf-abd2-fb3a8a395aea,2025-04-02 14:44:05.978019+00:00,meta,llama3.1:405B-turbo,0,4357,285,I prioritized policies allowing non-heritable genome editing for clinical treatments with oversight and regulation.
82ab376e-81f4-4e9b-889a-152450dd41c9,2025-04-02 14:44:14.611437+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
0a1f828e-06da-4d8b-a7df-6083e18a5f49,2025-04-02 14:44:25.505580+00:00,meta,llama3.1:405B-turbo,0,4355,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
a4a15509-d211-4aa3-8fb1-94d5f65226af,2025-04-02 14:44:30.684638+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and non-profit conditions to balance benefits and risks of genome editing.
7e53ed9c-7f37-4e17-9536-46a62c9b6667,2025-04-02 14:44:40.213716+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
65aba18a-98f3-4587-805f-c9d6d95c8c67,2025-04-02 14:44:46.274895+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
c6cc2fbc-7c0d-44f8-9320-dbcfe987ff9a,2025-04-02 14:44:59.587039+00:00,meta,llama3.1:405B-turbo,0,4357,284,I prioritized policies allowing non-heritable editing for clinical treatments with oversight and restrictions.
4455cfd4-b4c9-41b9-9eac-6d5ac3ab1f82,2025-04-02 14:45:07.807806+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
1925601d-6bb0-4256-ad47-f52833b5bee4,2025-04-02 14:45:13.170180+00:00,meta,llama3.1:405B-turbo,0,4355,283,I prioritized policies with strong oversight and non-heritable editing for clinical purposes.
c5dcea23-3fd3-4974-a10d-b8b6c89ba3fa,2025-04-02 14:45:27.382018+00:00,meta,llama3.1:405B-turbo,0,4357,283,I prioritized policies with strong oversight and non-heritable editing for clinical purposes.
7b07e00e-4a36-42a5-b02e-4c24c762cd66,2025-04-02 14:45:38.948553+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
9976ec1f-aa2c-4b4f-afa0-d02ee476e719,2025-04-02 14:45:47.181034+00:00,meta,llama3.1:405B-turbo,0,4357,283,I prioritized policies with strong oversight and clinical purposes over unrestricted or profit-driven uses.
08085835-c18d-4d9b-9a58-87cde3ece761,2025-04-02 14:45:53.052503+00:00,meta,llama3.1:405B-turbo,0,4357,283,I prioritized policies with strong oversight and non-heritable editing for clinical purposes.
6ed9a2b9-d07f-478a-a113-5323662a5f64,2025-04-02 14:46:03.795350+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
7bc99a39-8eeb-44d6-bf79-78f8ef0da342,2025-04-02 14:46:09.099561+00:00,meta,llama3.1:405B-turbo,0,4357,283,I prioritized policies with strong oversight and non-heritable editing for clinical purposes.
75f366e1-fd0b-4fbb-bc69-560e3a731a96,2025-04-02 14:46:16.367311+00:00,meta,llama3.1:405B-turbo,0,4357,282,I prioritized policies allowing genome editing for clinical purposes with oversight and safety precautions.
922adc03-4d4d-4220-8a43-4008aa0efe20,2025-04-02 14:46:23.789339+00:00,meta,llama3.1:405B-turbo,0,4357,285,I prioritized policies allowing non-heritable genome editing for clinical treatments with oversight and restrictions.
9049569e-ff47-4725-9611-f9a10df8c00c,2025-04-02 14:46:31.989950+00:00,meta,llama3.1:405B-turbo,0,4357,286,I prioritized policies with strong oversight and clinical purposes while limiting heritable editing and for-profit uses.
