cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
e2e45ac9-6ba7-437e-a088-c90b6e17cc17,2025-04-10 16:43:41.894324+00:00,meta,llama4-maverick,0,3293,207,6,5,4,7,2,3,1
24b4ba9e-0407-42c8-a287-f53562e12d9c,2025-04-10 16:43:46.723610+00:00,meta,llama4-maverick,0,3293,208,6,7,5,1,3,2,4
1fad8a59-5905-4c9e-a8f5-cee4c0dd8e13,2025-04-10 16:43:50.676696+00:00,meta,llama4-maverick,0,3293,208,5,1,6,7,2,3,4
9d20024f-026b-4b7e-a175-f58f6db021cb,2025-04-10 16:43:54.524203+00:00,meta,llama4-maverick,0,3293,204,6,4,1,2,7,3,5
92bac54d-789f-46cc-8e75-aa4842a2e578,2025-04-10 16:43:58.308710+00:00,meta,llama4-maverick,0,3293,204,3,1,6,2,5,4,7
9075b534-7513-4617-9fd5-1be2572d7fc1,2025-04-10 16:44:02.656862+00:00,meta,llama4-maverick,0,3293,207,6,4,5,2,3,1,7
0cf55379-abe9-4c25-8614-f58f8bfa0038,2025-04-10 16:44:07.055690+00:00,meta,llama4-maverick,0,3293,211,4,7,2,3,6,5,1
95d155c7-cc85-49d3-afd5-e2209d54b607,2025-04-10 16:44:11.299936+00:00,meta,llama4-maverick,0,3293,207,5,7,4,1,6,3,2
c30de21d-f039-4d1f-8974-b8adf3917afc,2025-04-10 16:44:17.993727+00:00,meta,llama4-maverick,0,3293,203,3,6,7,5,4,2,1
af7d8886-5e1b-4157-a261-f8093d0ff99f,2025-04-10 16:44:21.908334+00:00,meta,llama4-maverick,0,3293,207,7,6,3,1,5,4,2
c24bc2f5-a537-4755-a82d-1cac0cdb5797,2025-04-10 16:44:26.201110+00:00,meta,llama4-maverick,0,3293,212,2,7,6,4,3,1,5
dfe90478-10c1-4cb5-a37a-f3ad3f32580a,2025-04-10 16:44:31.039288+00:00,meta,llama4-maverick,0,3293,204,7,6,2,1,4,5,3
1633492a-0af3-4818-a56a-1cfa312d3752,2025-04-10 16:44:34.782003+00:00,meta,llama4-maverick,0,3293,207,2,3,7,1,4,5,6
0a3b0134-3d6b-4d4a-9994-472a66fd6042,2025-04-10 16:44:39.820349+00:00,meta,llama4-maverick,0,3293,204,7,4,3,6,1,2,5
5a1a81f9-91ef-4f81-b070-21adf0eaf728,2025-04-10 16:44:43.819324+00:00,meta,llama4-maverick,0,3293,207,6,5,7,2,4,1,3
f7d0abf8-ee75-4d45-99df-7883de49d381,2025-04-10 16:44:47.812820+00:00,meta,llama4-maverick,0,3293,209,6,7,5,1,2,3,4
