cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
37711b09-f0b3-4a09-b067-d4f25a248bf9,2025-03-25 11:10:05.149123+00:00,mistralai,ministral-3b-latest,0,4820,324,"No fire management, restore presettlement, economic gain, hazardous fuels, balance ecological/social, local harvesting"
0d956d62-8697-4be4-a9a8-d436621383d5,2025-03-25 11:10:17.320072+00:00,mistralai,ministral-3b-latest,0,4822,339,"Wildlife and habitat protection, local harvesting, thinning for economic gain, presettlement restoration, aggressive fuel reduction, no management, and balanced ecological and social values."
eb18e0d2-2207-4428-9871-cb33866564a2,2025-03-25 11:10:28.487708+00:00,mistralai,ministral-3b-latest,0,4840,345,"1. Aggressive fuel reduction, prioritize ecological and social values, local harvesting, protect wildlife, restore presettlement conditions, no active management."
2d2f95d2-51dd-4219-92d7-7820b3e13f22,2025-03-25 11:10:40.988504+00:00,mistralai,ministral-3b-latest,0,4822,370,1. 1: No management preferred 2. 2: Restore presettlement conditions 3. 3: Reduce hazardous fuels 4. 4: Prioritize ecological and social values 5. 5: Local harvesting 6. 6: Economic gain 7. 7: Wildlife protection
23e9bf03-0c47-42dc-8952-ad5b2dfaa38e,2025-03-25 11:10:53.131850+00:00,mistralai,ministral-3b-latest,0,4884,389,1. 1: Presettlement restoration with fire. 2: Economic thinning. 3: Balanced ecological & social values. 4: Wildlife protection. 5: Local harvesting. 6: No management. 7: Aggressive fuel reduction.
141b7af4-672f-4962-bd9c-e1673c9b4d78,2025-04-01 12:04:47.232918+00:00,mistralai,ministral-3b-latest,0,4820,327,"No fire management, restore presettlement, economic gain, hazardous fuels, balance ecological/social, local harvesting"
31d96eeb-87dc-4824-afab-efdc1e69462a,2025-04-01 12:05:01.514449+00:00,mistralai,ministral-3b-latest,0,4826,340,"Wildlife protection, local harvesting, thinning for gain, presettlement restoration, aggressive fuels reduction, no management, balanced ecological and social values."
3615339c-28b6-4244-b4c8-4cc362f614ff,2025-04-01 12:05:14.301703+00:00,mistralai,ministral-3b-latest,0,4840,348,"1. Aggressive fuel reduction, prioritize ecological and social values, local harvesting, protect wildlife, restore presettlement conditions, no active management."
fe8420be-ddf2-4ccb-bb22-51d679d294a2,2025-04-01 12:05:19.845986+00:00,mistralai,ministral-3b-latest,0,4822,372,1. 1: No management preferred 2. 2: Restore presettlement conditions 3. 3: Aggressive fuel reduction 4. 4: Balanced ecological & social values 5. 5: Local harvesting 6. 6: Economic gain 7. 7: Wildlife protection
85eb3833-1506-40f2-a390-23cf887d38aa,2025-04-01 12:05:26.603469+00:00,mistralai,ministral-3b-latest,0,4884,392,1. 1: Presettlement restoration with fire. 2: Economic thinning. 3: Balanced ecological & social values. 4: Wildlife protection. 5: Local harvesting. 6: No management. 7: Aggressive fuel reduction.
98b7ff5d-5df0-4f74-a357-363dfff1d5e5,2025-04-02 14:45:59.057729+00:00,mistralai,ministral-3b-latest,0,4860,354,"1. Aggressive fuel reduction, prioritize ecological and social values, restore presettlement conditions, no management, local harvesting, protect wildlife."
0f2be67c-7143-4d33-982e-8fef92cd35b5,2025-04-02 14:46:04.415762+00:00,mistralai,ministral-3b-latest,0,4828,332,"1. Presettlement conditions, local harvesting, wildlife, economic gain, hazardous fuels, no management"
