cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. Invest in innovation and the development of environmentally-friendly practices and industries (e.g. eco-tourism, sustainable agriculture). ",P2. Reduce funding for extractive and resource-intensive industries. ,"P3. No new coal mines, close all existing coal-fired power plants as soon as possible.","P4. Strengthen environmental protection regulations, such as regulation around mining and agriculture, to better protect the reef.",P5. Maintain current levels of environmental protection.,P6. Reduce current environmental regulations to boost local business.,"P7. Maintain current mixture of industries, land uses and practices (e.g. mining, refineries, agriculture and tourism)."
ccdc4a54-5478-45b3-933d-dabb14ed4533,2025-03-25 11:03:39.274842+00:00,mistralai,ministral-3b-latest,0,3853,289,2,3,6,1,4,7,5
9a796f97-9dc7-4caf-aa27-969cb8034c43,2025-03-25 11:20:23.740541+00:00,mistralai,ministral-3b-latest,0,3853,265,4,6,1,2,3,7,5
89c38834-1022-45f5-98e1-69f25d09bc74,2025-03-25 11:20:32.672263+00:00,mistralai,ministral-3b-latest,0,3853,244,2,3,6,1,4,7,5
8a1f5a01-2e56-4f2b-8af8-bfeceaa0f385,2025-03-25 11:20:45.935709+00:00,mistralai,ministral-3b-latest,0,3853,252,3,7,2,1,4,5,6
21b0aa55-9204-4829-b7a7-e15f0badceed,2025-03-25 11:20:54.148310+00:00,mistralai,ministral-3b-latest,0,3853,252,5,4,3,2,1,6,7
683376e0-255e-46c1-8e29-9e5a198e783c,2025-03-25 11:21:04.348836+00:00,mistralai,ministral-3b-latest,0,3853,249,2,4,7,3,5,6,1
aac572fa-97aa-43e8-851b-24032b3f7364,2025-04-01 12:12:53.766717+00:00,mistralai,ministral-3b-latest,0,3853,264,4,6,1,2,3,7,5
d514678b-0dc4-4649-b4f4-6a00a50ad74c,2025-04-01 12:12:59.322371+00:00,mistralai,ministral-3b-latest,0,3853,292,2,3,6,1,4,7,5
70fef604-ad39-467d-9b3f-42f87f31a62a,2025-04-01 12:13:07.274942+00:00,mistralai,ministral-3b-latest,0,3853,255,3,7,2,1,4,5,6
15192320-71a3-4c37-9043-cc392149f485,2025-04-01 12:13:12.515273+00:00,mistralai,ministral-3b-latest,0,3853,255,5,4,3,2,1,6,7
c4feab87-f008-4f91-b167-c409f697782d,2025-04-01 12:13:18.434146+00:00,mistralai,ministral-3b-latest,0,3853,252,2,4,7,3,5,6,1
99a634a3-0caf-44d2-aabb-2eead38a488a,2025-04-02 15:12:03.450633+00:00,mistralai,ministral-3b-latest,0,3849,268,1,4,7,3,2,6,5
c41ae4dc-a2d4-47d4-a842-df5a92c4a9b2,2025-04-02 15:12:09.094298+00:00,mistralai,ministral-3b-latest,0,3843,249,3,6,1,2,4,7,5
4e0b0052-9978-49b6-bdac-f79f65a79c5c,2025-04-02 15:12:17.331077+00:00,mistralai,ministral-3b-latest,0,3849,255,2,4,1,3,7,6,5
b941f77c-3871-43e9-86ee-e1704a4ddefc,2025-04-02 15:12:25.224975+00:00,mistralai,ministral-3b-latest,0,3849,262,1,4,3,2,5,6,7
ae686fe4-d471-478e-b611-63bb781fa334,2025-04-02 15:12:30.289584+00:00,mistralai,ministral-3b-latest,0,3849,254,4,7,2,1,5,6,3
1852c37c-dd0b-46fb-983c-bce6958454fa,2025-04-02 15:12:35.533806+00:00,mistralai,ministral-3b-latest,0,3853,267,3,7,1,2,4,6,5
d9464c6c-f42b-47c3-8ce0-cb3e574bde70,2025-04-02 15:12:40.390496+00:00,mistralai,ministral-3b-latest,0,3853,252,4,7,1,3,2,6,5
b8fe817b-550f-475f-89b9-dfc554e8fe65,2025-04-02 15:12:46.150795+00:00,mistralai,ministral-3b-latest,0,3847,247,2,5,1,3,6,7,4
14036202-4e5b-4bff-a79c-d93ef71995d6,2025-04-02 15:12:51.122856+00:00,mistralai,ministral-3b-latest,0,3847,250,1,7,4,2,5,6,3
0b680dac-cbaa-47d8-8a05-7e72e6b95227,2025-04-02 15:12:57.416954+00:00,mistralai,ministral-3b-latest,0,3849,260,4,1,2,3,5,6,7
40e21a84-5e61-44ca-a4f5-47ab3893ac18,2025-04-02 15:13:01.761448+00:00,mistralai,ministral-3b-latest,0,3853,258,1,3,6,7,2,5,4
1d68b61d-dc21-4f19-9d31-967569a34cf1,2025-04-02 15:13:11.557120+00:00,mistralai,ministral-3b-latest,0,3849,271,5,1,2,4,3,6,7
4c1a97db-0700-4ffe-a059-ba249c66d046,2025-04-02 15:13:16.771461+00:00,mistralai,ministral-3b-latest,0,3853,329,4,5,3,6,1,2,7
96094878-c046-4cf6-9e5a-d0afedd78f90,2025-04-02 15:13:22.342662+00:00,mistralai,ministral-3b-latest,0,3853,260,3,1,2,5,6,7,4
606c7aa9-1da6-4f10-a340-3f25b3f3bd54,2025-04-02 15:13:27.535076+00:00,mistralai,ministral-3b-latest,0,3853,254,3,7,2,1,5,6,4
56d0294c-fd51-47a1-a49c-5925d16575c5,2025-04-02 15:13:32.657611+00:00,mistralai,ministral-3b-latest,0,3853,279,5,1,7,2,6,3,4
466019fe-ffec-4e11-850d-511f1b044465,2025-04-02 15:13:37.188168+00:00,mistralai,ministral-3b-latest,0,3853,252,3,7,1,2,4,6,5
bdbe1285-01b2-4e2c-b280-c59cfe56e04b,2025-04-02 15:13:44.213519+00:00,mistralai,ministral-3b-latest,0,3849,255,4,3,1,2,5,6,7
4aeab888-a65e-4b65-bc55-7be9a2411577,2025-04-02 15:13:48.697864+00:00,mistralai,ministral-3b-latest,0,3853,329,2,6,1,5,7,4,3
bd6277bb-e8de-4e5e-ba06-138bffdb0bb9,2025-04-02 15:13:53.161641+00:00,mistralai,ministral-3b-latest,0,3849,253,4,1,2,3,6,7,5
a59ff612-186c-4912-8c17-0e54aaf72a7b,2025-04-02 15:13:59.189694+00:00,mistralai,ministral-3b-latest,0,3853,306,4,5,2,3,7,1,6
efe74b01-14cb-4ba7-9d5c-35455f8753c4,2025-04-02 15:14:04.237060+00:00,mistralai,ministral-3b-latest,0,3853,312,2,5,4,3,1,7,6
