cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
4644acaf-ee70-4680-949c-c26f3d5d1e95,2025-03-25 11:01:59.625337+00:00,mistralai,ministral-3b-latest,0,3167,212,"Local incentives, moderate reg, free trade, status quo, research"
10396b97-3890-471e-803d-4d69f798b22c,2025-03-25 11:02:07.412471+00:00,mistralai,ministral-3b-latest,0,3164,217,"Invest in sustainable research, moderate regulation, local incentives, leave as is, less regulation."
1e46d6f1-9188-4505-93ad-a5f505545687,2025-03-25 11:02:16.360437+00:00,mistralai,ministral-3b-latest,0,3164,212,"Moderate regulation preferred, research and local incentives also important."
c7a1de16-8740-4f32-9fae-c839b57cb18f,2025-03-25 11:13:58.183781+00:00,mistralai,ministral-3b-latest,0,3164,217,"Moderate regulation, research, local incentives, leave as is, radical regulation least."
e16a433c-bd39-4064-a426-4de7e38460d6,2025-03-25 11:14:09.370868+00:00,mistralai,ministral-3b-latest,0,3164,232,"Radical regulation is too extreme, free trade is too lenient, local incentives are best, research is important, moderate regulation is reasonable, status quo is acceptable."
8558d4d9-7c44-43a3-aa37-c97a7f12326f,2025-03-25 11:14:21.295269+00:00,mistralai,ministral-3b-latest,0,3167,212,"Local incentives, moderate reg, free trade, status quo, research"
a24c12eb-f78f-40db-a00b-a5d08fc6f3c6,2025-03-25 11:14:29.890507+00:00,mistralai,ministral-3b-latest,0,3164,217,"Invest in sustainable research, moderate regulation, local incentives, leave as is, less regulation."
a254ad5f-c916-41bf-b36c-a61268c65d63,2025-03-25 11:14:41.496151+00:00,mistralai,ministral-3b-latest,0,3164,212,"Moderate regulation preferred, research and local incentives also important."
3844d8c8-5838-4105-95a0-69e010499581,2025-04-01 12:08:05.460540+00:00,mistralai,ministral-3b-latest,0,3164,220,"Moderate regulation, research, local incentives, leave as is, radical regulation least."
ff359b08-e4ce-4055-a6a1-f5ad4ab5b0b8,2025-04-01 12:08:09.810839+00:00,mistralai,ministral-3b-latest,0,3164,235,"Radical regulation is too extreme, free trade is too lenient, local incentives are best, research is important, moderate regulation is reasonable, status quo is acceptable."
ef2526ef-10d9-4b5e-a34f-fa877abd91ff,2025-04-01 12:08:20.237779+00:00,mistralai,ministral-3b-latest,0,3167,215,"Local incentives, moderate reg, free trade, status quo, research"
e9b99d49-8376-4330-9b2d-dd9850e317aa,2025-04-01 12:08:24.542965+00:00,mistralai,ministral-3b-latest,0,3164,220,"Invest in sustainable research, moderate regulation, local incentives, leave as is, less regulation."
9fb8ec50-bb0d-44bc-8213-88792fd7c388,2025-04-01 12:08:30.348415+00:00,mistralai,ministral-3b-latest,0,3164,215,"Moderate regulation preferred, research and local incentives also important."
44419378-5168-4506-9605-bcf1e8f1dd39,2025-04-02 14:54:11.317324+00:00,mistralai,ministral-3b-latest,0,3167,226,"Radical regulation least, moderate regulation most, free trade least, status quo most, research least, local incentives most."
5f665042-8338-4e1c-bf8a-51508b8226af,2025-04-02 14:54:16.339765+00:00,mistralai,ministral-3b-latest,0,3164,218,"I support local incentives and moderate regulation, but oppose radical and free trade policies."
984a8030-f4b0-4f56-95dc-af836f58a9ae,2025-04-02 14:54:21.184818+00:00,mistralai,ministral-3b-latest,0,3164,220,"Moderate regulation, free trade, research, local incentives, status quo, radical regulation"
87936be4-9ead-48ed-adfa-c70fcbbdc594,2025-04-02 14:54:25.773190+00:00,mistralai,ministral-3b-latest,0,3164,215,"Moderate regulation preferred, least for radical and free trade."
fd5c5c20-8dff-4213-9b4f-83b7da9a15ce,2025-04-02 14:54:30.359961+00:00,mistralai,ministral-3b-latest,0,3164,221,"6. 6, 2, 3, 1, 5, 4"
c5ffbd48-4116-4e1d-afa3-394aed349a88,2025-04-02 14:54:35.083961+00:00,mistralai,ministral-3b-latest,0,3164,225,"Moderate regulation preferred, radical least, local incentives best, free trade least, status quo acceptable, research important"
e76b5961-4777-420c-b8ab-1eb0f3c58ad7,2025-04-02 14:54:38.668564+00:00,mistralai,ministral-3b-latest,0,3167,218,"I support moderate regulation and local incentives, but oppose radical and free trade policies."
93bf2ed9-2710-460b-9e10-1ab8c6753a9c,2025-04-02 14:54:42.927891+00:00,mistralai,ministral-3b-latest,0,3167,223,"Radical regulation least, moderate regulation moderate, free trade most, status quo least, local incentives moderate."
964b2f65-2800-4127-a425-1852a3e4b408,2025-04-02 14:54:46.059047+00:00,mistralai,ministral-3b-latest,0,3164,219,"Local producers, research, moderate regulation, leave as is, free trade, radical regulation"
03d89933-c241-4abc-b3e4-51a3d04f5309,2025-04-02 14:54:50.514643+00:00,mistralai,ministral-3b-latest,0,3164,217,"Invest in sustainable research, moderate regulation, local incentives, and fair trade."
b848eea5-8bdc-45d5-8322-a083b3833d6e,2025-04-02 14:54:55.180070+00:00,mistralai,ministral-3b-latest,0,3164,247,1. Strongly support local sustainable production. 2. Support moderate regulation. 3. Support free trade. 4. Status quo acceptable. 5. Support research. 6. Least support radical regulation.
f3ad04da-6a56-433a-a9bd-0c47de415eb7,2025-04-02 14:55:00.172884+00:00,mistralai,ministral-3b-latest,0,3167,216,"Invest in sustainable research, moderate regulation, local incentives, less regulation."
87c575e3-0d35-4fed-ae59-582b9f129cf1,2025-04-02 14:55:05.386130+00:00,mistralai,ministral-3b-latest,0,3164,218,"Free trade, research, moderate reg, status quo, local incentives, radical reg"
e6614ea9-dc93-42d4-978a-031de4c4c3a4,2025-04-02 14:55:09.675131+00:00,mistralai,ministral-3b-latest,0,3167,215,"Moderate regulation preferred, least for radical and free trade."
f6dfdd1c-1365-4b13-a348-2e2af4ee3064,2025-04-02 14:55:14.888921+00:00,mistralai,ministral-3b-latest,0,3164,224,"Invest in sustainable research, moderate regulation, leave as is, focus on local producers, less regulation, radical regulation"
44d6537d-2203-4017-85c7-0bb036605f80,2025-04-02 14:55:19.435781+00:00,mistralai,ministral-3b-latest,0,3167,219,"Radical regulation is least supported, while moderate regulation and local incentives are most supported."
56e7d273-34a9-4348-81ac-d03add5ef408,2025-04-02 14:55:23.619891+00:00,mistralai,ministral-3b-latest,0,3164,218,"I support moderate regulation and local incentives, but oppose radical measures and free trade."
a28e43d0-8bea-4b70-8c1f-7710aed0fefc,2025-04-02 14:55:28.091384+00:00,mistralai,ministral-3b-latest,0,3167,215,"Moderate regulation preferred, research and local incentives also important."
118fd8e4-1ebe-44a9-85e8-db347e11e5f7,2025-04-02 14:55:32.250661+00:00,mistralai,ministral-3b-latest,0,3167,230,"Radical regulation least, moderate regulation most, research and free trade least, local incentives most, leave as is least, moderate regulation most."
81bb56ab-f9c6-4a90-9f77-c58b460dd69a,2025-04-02 14:55:39.378497+00:00,mistralai,ministral-3b-latest,0,3164,219,"1. Support local sustainable farming, moderate regulation, research, and less radical regulation."
83b071cd-4b7f-4f9b-9d0d-d1802880a0cc,2025-04-02 14:55:44.854230+00:00,mistralai,ministral-3b-latest,0,3164,225,"Moderate regulation preferred, radical least, research and local incentives good, status quo and free trade least preferred."
cb32da2e-5175-4afb-80ad-69667b90e1aa,2025-04-02 14:55:49.938247+00:00,mistralai,ministral-3b-latest,0,3167,220,"Free trade, local subsidies, moderate regulation, radical regulation, status quo, research investment."
