cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
edff4089-bb43-4786-aac8-22b5eb2b01ca,2025-03-20 17:36:25.949136+00:00,mistralai,ministral-8b-latest,0,3474,239,"I prioritize resilience and moderate cuts, but not at the expense of economic growth."
192b74c3-5c19-4495-9a57-c644ec3ab623,2025-03-20 17:36:36.977147+00:00,mistralai,ministral-8b-latest,0,3474,233,Economic growth over climate change adaptation is least supported.
104494ac-d4e0-4a53-a432-890b31378167,2025-04-01 14:58:42.375265+00:00,mistralai,ministral-8b-latest,0,3474,234,I prioritize resilience and moderate emissions cuts.
d30f5591-20b6-4d0e-816d-5078ec789f2b,2025-04-01 14:58:45.823748+00:00,mistralai,ministral-8b-latest,0,3474,242,"I prioritize individual and community-based actions, moderate emission cuts, and resilience planning."
6393eabb-e36d-4add-a5cd-1b430314e7f5,2025-04-01 14:58:49.478086+00:00,mistralai,ministral-8b-latest,0,3474,238,"Moderate cuts preferred, focus on resilience and community action."
b1c085cb-d8e5-4dc5-8c79-cf64d352e98d,2025-04-01 14:58:52.997643+00:00,mistralai,ministral-8b-latest,0,3474,234,I prioritize adaptation and moderate emissions cuts.
6ca84194-525d-43f8-b640-b270e10e38da,2025-04-01 14:58:56.407250+00:00,mistralai,ministral-8b-latest,0,3474,242,"I prioritize resilience and moderate cuts, but not at the expense of economic growth."
4545b04c-4f35-4586-a0e2-6a09e497c2fe,2025-04-01 14:59:00.362041+00:00,mistralai,ministral-8b-latest,0,3474,241,"I prioritize resilience and moderate cuts, avoiding drastic measures and maintaining current policies."
6b63342b-4f53-41f1-8841-c60745883b1f,2025-04-01 14:59:03.785827+00:00,mistralai,ministral-8b-latest,0,3474,241,"I support moderate cuts and adaptation, oppose drastic cuts and economic growth over climate."
713814d8-e5ec-4aa3-b39f-5cb3a44655d4,2025-04-01 14:59:07.299749+00:00,mistralai,ministral-8b-latest,0,3474,238,I support moderate cuts in CO2 emissions and individual adaptation actions.
4b705257-54dd-420e-a01c-14fb905c3956,2025-04-01 14:59:10.859054+00:00,mistralai,ministral-8b-latest,0,3474,242,"I prioritize immediate and local adaptation, moderate emissions cuts, and community-based actions."
31b6fb18-021b-4d5f-8f15-449d127c8bbd,2025-04-01 14:59:14.421190+00:00,mistralai,ministral-8b-latest,0,3474,236,Economic growth over climate change adaptation is least supported.
3e25a628-2174-4a1e-b7d1-6bd48cbbbed6,2025-04-02 16:09:09.214398+00:00,mistralai,ministral-8b-latest,0,3474,241,"I prioritize resilience and moderate cuts, but support dramatic cuts and individual actions."
afcfcb3a-577f-42eb-a863-f48bf177d647,2025-04-02 16:09:12.658284+00:00,mistralai,ministral-8b-latest,0,3474,247,"I prioritize individual and community-based actions, moderate cuts in CO2 emissions, and planning for climate risk."
5c0d9637-5994-4a31-945c-13d2f7dfb67e,2025-04-02 16:09:16.294552+00:00,mistralai,ministral-8b-latest,0,3474,263,"I support individual and community-based actions, moderate cuts in CO2 emissions, and preparing for climate risk. I least support leaving policies as they are and prioritizing economic growth over climate change."
e50ce275-e6d8-4dd5-93ea-18adc193beb8,2025-04-02 16:09:19.819584+00:00,mistralai,ministral-8b-latest,0,3474,252,"I support moderate cuts, resilience, and community actions. I oppose leaving policies unchanged, dramatic cuts, and prioritizing growth over climate."
25e26b87-b8bf-4526-87f8-0628f1fc3564,2025-04-02 16:09:23.578247+00:00,mistralai,ministral-8b-latest,0,3474,240,"Support individual and community actions, prepare for climate risk, moderate emissions cuts."
e1227e80-766f-473c-8518-80a1e3c7e422,2025-04-02 16:09:26.964532+00:00,mistralai,ministral-8b-latest,0,3474,248,"I prioritize moderate emission cuts and community-based actions, but I'm skeptical of dramatic cuts and leaving policies unchanged."
0147779d-bb30-4df8-a183-cdbba62c0613,2025-04-02 16:09:30.418636+00:00,mistralai,ministral-8b-latest,0,3474,243,"I prioritize immediate and significant emission cuts, followed by community-based adaptation and resilience-building."
db078da9-16f0-498a-87ec-239ef8791e16,2025-04-02 16:09:33.875326+00:00,mistralai,ministral-8b-latest,0,3474,235,"Support individual actions, moderate cuts, and adaptation."
080c1226-73f0-4fa8-9b02-6aa06b7814a4,2025-04-02 16:09:37.291018+00:00,mistralai,ministral-8b-latest,0,3474,242,"I prioritize resilience and moderate cuts, avoiding drastic changes and economic growth over climate."
8a125130-be22-470e-a4ac-55c7cb98fae5,2025-04-02 16:09:40.929582+00:00,mistralai,ministral-8b-latest,0,3474,241,"I prioritize immediate and significant CO2 reduction, followed by targeted adaptation policies."
