cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
8a400399-f779-4e2e-8fb1-9dfa384a4320,2025-03-20 17:26:58.870128+00:00,mistralai,ministral-8b-latest,0,3696,307,"Deport long-term beggars, forbid giving money, ban illegal settlements, enforce laws, focus on source countries, ban begging, provide accommodation."
6719141b-618b-49d3-ba95-4178e1f47e08,2025-03-20 17:27:06.908751+00:00,mistralai,ministral-8b-latest,0,3694,304,"Focus on source countries, enforce laws, deport long-term beggars, provide accommodation, ban giving money, ban begging, deport immigrants."
ba235d7a-0a50-42e4-9d9e-a16e31947c9b,2025-03-20 17:27:14.676261+00:00,mistralai,ministral-8b-latest,0,3691,305,"Enforce laws, forbid giving money, provide accommodation, ban begging, focus on source countries, ban illegal settlements, deport long-term immigrants."
53641f58-ca74-410c-8c41-e6ef08372c8c,2025-04-01 14:52:07.127385+00:00,mistralai,ministral-8b-latest,0,3694,302,"Ban begging, enforce laws, deport long-term beggars, focus on source countries, forbid giving money."
271bebc6-37e5-4a1f-bd6e-a42677bd73a2,2025-04-01 14:52:11.369055+00:00,mistralai,ministral-8b-latest,0,3694,294,"Focus on source countries, enforce laws, deport long-term beggars."
5c8f1c23-1f94-4d98-b67f-817a8d6dfa5e,2025-04-01 14:52:15.240967+00:00,mistralai,ministral-8b-latest,0,3696,310,"Deport long-term beggars, forbid giving money, ban illegal settlements, enforce laws, focus on source countries, ban begging, provide accommodation."
5a2abc17-4369-4e3f-95b2-fb180baadad1,2025-04-01 14:52:19.482361+00:00,mistralai,ministral-8b-latest,0,3694,307,"Focus on source countries, enforce laws, deport long-term beggars, provide accommodation, ban giving money, ban begging, deport immigrants."
e538e147-6068-4a96-8ba3-1c5d829fc9b6,2025-04-01 14:52:23.836558+00:00,mistralai,ministral-8b-latest,0,3691,308,"Enforce laws, forbid giving money, provide accommodation, ban begging, focus on source countries, ban illegal settlements, deport long-term immigrants."
9878705d-75f6-432f-9be4-7912f7cd1dc3,2025-04-01 14:52:28.175103+00:00,mistralai,ministral-8b-latest,0,3694,294,"Focus on source countries, enforce laws, deport long-term beggars."
d9ed8c9b-074b-45a1-904b-7642f4d44354,2025-04-01 14:52:33.022619+00:00,mistralai,ministral-8b-latest,0,3694,308,"Deport beggars, enforce laws, ban illegal settlements, focus on source countries, provide accommodation, forbid giving money, ban begging."
