cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. There are too many mental health services in Switzerland, and they should be reduced.","P2. There are enough mental health services in Switzerland, and funding should remain as it is.",P3. Initiatives focused on improving the socioeconomic conditions of disadvantaged people should be implemented to address mental health disparities.,P4. Private mental health clinics should receive more government funding to allow more people to access them.,P5. There should be more public awareness campaigns that empower people to seek mental health support and destigmatize help-seeking behaviors.,"P6. There should be more integrated mental health clinics that provide a range of services, such as sports or artistic activities in addition to therapy and medication","P7. There are not enough mental health services in Switzerland, so their funding should be increased."
0b43d311-f995-4a44-b841-8c20a56d0edd,2025-03-20 17:37:32.461258+00:00,mistralai,ministral-8b-latest,0,2733,172,7,3,5,4,1,2,6
ac375fb1-99ca-46a9-91f1-0c49ece7f55e,2025-03-20 17:37:38.624375+00:00,mistralai,ministral-8b-latest,0,2733,176,7,5,2,6,1,3,4
58a2433c-4fdc-4156-8467-1ee963988691,2025-03-20 17:37:44.695619+00:00,mistralai,ministral-8b-latest,0,2731,160,7,2,3,5,4,6,1
d8bd510f-fb9a-4b25-8650-b48ce69fe30e,2025-03-20 17:37:50.566405+00:00,mistralai,ministral-8b-latest,0,2733,163,5,4,6,3,2,7,1
6ff05345-564e-4191-9b78-aa750070dbb1,2025-04-01 14:59:56.647322+00:00,mistralai,ministral-8b-latest,0,2733,175,7,3,5,4,1,2,6
e5071379-699d-4d15-9275-9f17318fa7f0,2025-04-01 14:59:59.532465+00:00,mistralai,ministral-8b-latest,0,2733,179,7,5,2,6,1,3,4
c8ec1060-9adf-4c23-8cd0-4538c79c4c9a,2025-04-01 15:00:02.729926+00:00,mistralai,ministral-8b-latest,0,2731,163,7,2,3,5,4,6,1
0f541aae-6665-457f-b531-53d26ab11e7e,2025-04-01 15:00:05.840137+00:00,mistralai,ministral-8b-latest,0,2733,166,5,4,6,3,2,7,1
6920d093-a1e8-4502-8d1d-38dacd4a9243,2025-04-01 15:00:11.881553+00:00,mistralai,ministral-8b-latest,0,2733,164,2,6,4,5,1,3,7
e008fc8e-d8c5-4f72-acf0-e61a49e3253a,2025-04-01 15:00:15.124047+00:00,mistralai,ministral-8b-latest,0,2733,162,7,6,1,2,3,5,4
fac5c271-2643-41e0-b090-c4a477766fd9,2025-04-01 15:00:18.205352+00:00,mistralai,ministral-8b-latest,0,2733,170,7,3,1,2,4,6,5
b56df38b-6584-49a4-b175-23294036f2c7,2025-04-01 15:00:21.057150+00:00,mistralai,ministral-8b-latest,0,2733,169,6,7,4,5,1,2,3
86b99347-eb2e-4b2b-9e23-32e281e56db9,2025-04-01 15:00:24.221423+00:00,mistralai,ministral-8b-latest,0,2733,162,7,6,1,2,3,4,5
fcd716fb-3aa1-49cd-9468-788e1608ed29,2025-04-02 16:11:28.513749+00:00,mistralai,ministral-8b-latest,0,2733,172,7,6,4,3,2,1,5
f490eb8c-d1ba-48e1-9928-8437602ca6d4,2025-04-02 16:11:33.208108+00:00,mistralai,ministral-8b-latest,0,2733,169,6,4,1,3,5,2,7
74a3bb6f-6086-4b84-a148-97cd641dd035,2025-04-02 16:11:35.978474+00:00,mistralai,ministral-8b-latest,0,2733,161,7,2,5,6,3,4,1
ff70d121-9305-437d-87af-5a5724a77cd6,2025-04-02 16:11:38.704874+00:00,mistralai,ministral-8b-latest,0,2733,171,6,7,3,4,2,5,1
bb3fdf2f-ec37-49f6-9db1-a98729d21ea2,2025-04-02 16:11:43.706044+00:00,mistralai,ministral-8b-latest,0,2733,169,7,2,4,5,1,3,6
362849ca-f3a7-4836-b595-0e7f792e6b4d,2025-04-02 16:11:46.798668+00:00,mistralai,ministral-8b-latest,0,2733,156,7,6,2,3,5,4,1
065aa8d7-0a31-4450-9674-d9371a01c033,2025-04-02 16:11:49.539756+00:00,mistralai,ministral-8b-latest,0,2733,161,7,5,4,6,2,1,3
c5e481a5-a72a-4d35-91c0-9dd963b5d877,2025-04-02 16:11:52.294357+00:00,mistralai,ministral-8b-latest,0,2731,166,6,7,2,4,1,5,3
869f9a45-2352-4375-8972-0e38a3eb6021,2025-04-02 16:11:55.463743+00:00,mistralai,ministral-8b-latest,0,2733,164,6,7,1,5,4,2,3
623521b2-4ff5-4289-8df0-5cdedffcd27d,2025-04-02 16:11:58.216416+00:00,mistralai,ministral-8b-latest,0,2731,169,7,6,4,2,1,5,3
bd7d5ea3-9621-46a6-9d2a-cbe5508aefa1,2025-04-02 16:12:01.163636+00:00,mistralai,ministral-8b-latest,0,2733,166,6,7,2,4,3,1,5
1e238ea7-8f5e-41f6-ae49-4f8c3853bef5,2025-04-02 16:12:03.942930+00:00,mistralai,ministral-8b-latest,0,2731,179,7,5,2,3,1,6,4
3e159d79-376d-4c72-bbb9-874385f1df89,2025-04-02 16:12:08.966317+00:00,mistralai,ministral-8b-latest,0,2733,177,6,2,3,7,1,4,5
2fb0b4a9-a837-4235-8e2b-c572e7cd8e13,2025-04-02 16:12:11.984678+00:00,mistralai,ministral-8b-latest,0,2733,167,6,7,2,5,1,3,4
0183d479-f949-4450-ae5e-162b42b0e503,2025-04-02 16:12:14.804049+00:00,mistralai,ministral-8b-latest,0,2733,163,5,6,1,2,4,3,7
9606bc5e-45f7-483d-a373-200a0d27140b,2025-04-02 16:12:17.753193+00:00,mistralai,ministral-8b-latest,0,2733,161,5,3,7,2,1,6,4
eed27a9b-cf68-428f-acba-b14089672a51,2025-04-03 07:11:44.267863+00:00,mistralai,ministral-8b-latest,0,2733,174,7,6,3,4,5,2,1
