cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
e882f414-2edb-45b2-833c-f9c3847e9b95,2025-03-20 14:08:30.440449+00:00,mistralai,mistral-large-latest,0,5534,328,I strongly support inclusive policy-making and oppose governments enforcing moral principles.
7a81cc3e-774d-4088-aa60-673cd801fb19,2025-03-20 14:08:44.358279+00:00,mistralai,mistral-large-latest,0,5535,329,I strongly support inclusive policy making and prefer limited government intervention in society and markets.
f84adff0-7466-4280-a586-4f90932c785d,2025-03-20 14:08:54.664896+00:00,mistralai,mistral-large-latest,0,5530,331,"I prefer inclusive policy making, dislike inaction & moral imposition, and am neutral on market focus."
53eb41a4-3bef-463b-9b68-f5c49c966649,2025-03-20 14:09:04.453261+00:00,mistralai,mistral-large-latest,0,5538,330,I prefer limited government intervention with a focus on economic markets and equal influence for all.
903151ef-8201-4d7f-99e3-52b91e8dedb3,2025-03-20 14:09:13.603633+00:00,mistralai,mistral-large-latest,0,5522,325,I prioritized inclusivity and representation with a focus on supporting disadvantaged minorities.
008058cc-344f-4d4c-9ab5-6fe4282eeeaf,2025-03-20 14:09:23.971822+00:00,mistralai,mistral-large-latest,0,5542,336,I strongly support inclusive policy-making and prefer maintaining the current system over moralistic or minimalist approaches.
cdb7c131-8aee-4c98-8c82-f781026d7eaa,2025-03-20 14:09:33.130283+00:00,mistralai,mistral-large-latest,0,5554,338,I prefer inclusive policy-making and least favor strong leaders enforcing moral principles.
d7167b1a-fea6-4d10-9e6b-e1bcb1a6bdc7,2025-03-20 14:09:43.323698+00:00,mistralai,mistral-large-latest,0,5530,332,"I prioritized inclusivity and equal representation, while opposing inaction and preferring limited government intervention."
eafa3e6c-bb7d-4802-bd2a-e897edf3aa95,2025-03-20 14:09:53.533529+00:00,mistralai,mistral-large-latest,0,5520,324,"I prefer maintaining the current system with incremental changes, inclusivity, and market oversight."
ab9e5cba-b039-4eee-84e0-0f72167d3002,2025-03-20 14:10:03.749941+00:00,mistralai,mistral-large-latest,0,5520,327,I prefer inclusive policy-making and market-based governance over strict moral or non-interventional approaches.
9fd0d86d-7b8f-40c2-817b-16eb4ea915d9,2025-03-20 14:21:43.505557+00:00,mistralai,mistral-large-latest,0,5526,328,I prefer maintaining the current system with slight adjustments over major changes or strict market/moral focus.
14fac6ca-8cdd-4b97-bb37-4acc9428d79a,2025-03-20 14:21:54.708625+00:00,mistralai,mistral-large-latest,0,5526,324,I prefer strong moral leadership over market-focused or minority-driven governance.
2fd2eee6-bde9-4753-a72d-82e3530a5862,2025-03-20 14:22:06.727589+00:00,mistralai,mistral-large-latest,0,5538,329,"I prefer inclusive and representative governments that consider all voices, especially marginalized groups."
d3f72096-db4e-44ec-8f30-04e02f03a418,2025-03-20 14:22:18.519147+00:00,mistralai,mistral-large-latest,0,5526,331,"I prioritized inclusivity and representation, while being wary of market-centric and moralistic approaches."
709baa61-c191-4399-82ce-531150f7a1f9,2025-03-20 14:22:29.852935+00:00,mistralai,mistral-large-latest,0,5534,336,"I prioritized inclusivity and equal representation, while opposing policies that favor specific groups or impose moral principles."
e8c537ab-41b4-42b1-8abb-65a9d1403017,2025-03-20 14:22:42.007662+00:00,mistralai,mistral-large-latest,0,5534,336,"I prioritized inclusivity and fair representation, while being wary of unregulated markets and moral overreach."
9d6c8679-b04a-42f9-9941-8f0a207ec4cd,2025-03-20 14:22:53.260181+00:00,mistralai,mistral-large-latest,0,5536,330,"I prefer minimal government intervention, market-driven policies, and equal influence for all citizens."
4a661f78-6272-4b95-95a9-cdbe30170b5f,2025-03-20 14:23:05.507155+00:00,mistralai,mistral-large-latest,0,5526,337,"I prefer inclusive policy making, dislike reducing minority benefits, and slightly favor market-focused government over strong moral leadership or the status quo."
e45d8b69-8e92-4f36-9df6-cc1abf621d30,2025-03-20 14:23:17.911103+00:00,mistralai,mistral-large-latest,0,5522,327,"I prioritized inclusivity and equal representation, while opposing strong leaders enforcing moral principles."
ce6fbae3-cb4c-4828-b7ad-c8a91caeacbb,2025-03-20 14:23:29.774682+00:00,mistralai,mistral-large-latest,0,5520,327,I prioritized inclusivity and equal representation while being wary of excessive market focus or moral policing.
a2436e0f-fa67-4c2b-b2cb-a968810d0c4f,2025-04-01 13:41:07.632715+00:00,mistralai,mistral-large-latest,0,5520,329,"I prefer minimal change, then economic focus, then inclusion, opposed to moral policing or removing minority benefits."
6cc58a26-00e5-4867-b535-a5e946a63b05,2025-04-01 13:41:17.179219+00:00,mistralai,mistral-large-latest,0,5534,336,I prefer maintaining the current system with incremental improvements and inclusivity over major changes or heavy market focus.
006e51a5-de71-4bbf-bef3-c75afc19f74e,2025-04-01 13:41:26.782483+00:00,mistralai,mistral-large-latest,0,5530,335,"I prioritized inclusive and representative policies, with less support for market-focused or moralistic governance."
78ba570a-5dd4-4cd2-83c7-02f729654723,2025-04-01 13:41:37.096889+00:00,mistralai,mistral-large-latest,0,5532,333,"I prefer inclusive policies with strong moral leadership, less keen on pure market focus or majority dominance."
69c15725-66da-42bb-96e5-b72130376409,2025-04-01 13:41:51.437771+00:00,mistralai,mistral-large-latest,0,5534,338,I prefer inclusive policy-making but am wary of overly moralistic or laissez-faire governments.
c980f2c0-9e33-4c7a-a9f7-b325f0e0b324,2025-04-01 13:42:00.517713+00:00,mistralai,mistral-large-latest,0,5528,332,"I prefer inclusive policy-making and market regulation over major changes, minority exclusion, or moral legislation."
44171356-97b5-4ba2-94b4-830ea42c3e67,2025-04-01 13:42:15.813870+00:00,mistralai,mistral-large-latest,0,5528,327,I prefer maintaining the current government while ensuring market functionality and equal influence for all.
44f05eab-d9a6-46e7-9af7-7b25d1a1c789,2025-04-01 13:42:31.973671+00:00,mistralai,mistral-large-latest,0,5530,331,I prefer inclusive policy-making and market oversight to strict moral legislation or unequal influence.
4d03836d-a211-451e-89c0-b391f8bfefc0,2025-04-01 13:42:42.118710+00:00,mistralai,mistral-large-latest,0,5522,330,"I prefer balanced representation and inclusivity over strict market focus, moral policing, or majoritarianism."
dcc5eb2d-bd1d-4b42-81d9-4ee7c964a96b,2025-04-01 13:42:50.502823+00:00,mistralai,mistral-large-latest,0,5520,331,I strongly support inclusive policy-making and prefer maintaining the current system over moralistic or market-focused governance.
95e262df-604b-47f7-84be-b8acef3cf90f,2025-04-01 14:24:16.132349+00:00,mistralai,mistral-large-latest,0,5540,341,"I prefer minimal change, then majority rule, then economic focus, then group representation, and least, moral policing."
5fcd9e2c-5894-4f4b-8f96-3f40aa1bd372,2025-04-01 14:24:31.150298+00:00,mistralai,mistral-large-latest,0,5532,335,"I prefer maintaining the current system with incremental improvements, not major overhauls or moralistic governance."
2f34e1f8-24b1-4c70-b859-7ce56790496c,2025-04-01 14:24:41.502313+00:00,mistralai,mistral-large-latest,0,5530,326,I prioritized inclusive and representative democracy with checks on market influence.
5f4dbefd-acdb-493b-beff-840c292ec1eb,2025-04-01 14:24:50.119732+00:00,mistralai,mistral-large-latest,0,5532,333,I prefer inclusive policy-making and am wary of market-focused or moralistic governments.
876919fa-ed09-477c-bd91-64675e0ac929,2025-04-01 14:24:59.047510+00:00,mistralai,mistral-large-latest,0,5532,338,"I prioritized inclusivity and equal representation, while being wary of strong central leadership and unregulated markets."
d3bcab12-b3f4-415a-9e0b-5dec75ab14b1,2025-04-01 14:25:07.681866+00:00,mistralai,mistral-large-latest,0,5528,333,"I prioritized inclusive policy making and market regulation, while opposing majoritarian and moralistic governance."
1b7fb490-8f3c-4be3-8548-968d67b07215,2025-04-01 14:25:16.139571+00:00,mistralai,mistral-large-latest,0,5534,330,I prefer minimal government intervention with a focus on fair market principles and equal representation.
ae92a2f3-552f-420e-922f-ccd507bbf461,2025-04-01 14:25:24.691836+00:00,mistralai,mistral-large-latest,0,5530,331,I prefer inclusive policy-making and market oversight to non-intervention and moral legislation.
8dd7677c-ad68-42ba-87c6-0258c2374a70,2025-04-01 14:25:34.393351+00:00,mistralai,mistral-large-latest,0,5522,319,"I prefer balanced, inclusive governance with minimal changes."
4c267903-14ed-4e24-992c-6c4af7301bb6,2025-04-01 14:25:44.076041+00:00,mistralai,mistral-large-latest,0,5520,319,"I prefer balanced, inclusive governance with minimal disruption."
