cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
fc7ffd50-830b-46c1-aa3f-0210f97d8141,2025-03-20 14:39:10.007019+00:00,mistralai,mistral-large-latest,0,5344,337,2,6,7,5,4,3,1,8,9
9b47a828-6638-4cad-985a-bb74a46d9ee8,2025-03-20 14:40:22.819754+00:00,mistralai,mistral-large-latest,0,5334,325,1,5,7,4,6,3,2,8,9
ca1d0c21-3c0a-4828-9090-a3550235b783,2025-03-20 14:40:34.760659+00:00,mistralai,mistral-large-latest,0,5337,327,2,1,6,8,5,4,3,7,9
caba038f-6b7a-48d0-9100-2b1b3da81661,2025-03-20 14:40:56.843907+00:00,mistralai,mistral-large-latest,0,5334,328,3,6,2,9,4,5,1,7,8
fb9e55da-eda9-47d9-a23b-ab20c9d7b567,2025-03-20 14:41:07.733561+00:00,mistralai,mistral-large-latest,0,5334,330,2,3,6,4,8,5,1,7,9
86c78072-871c-487b-8be0-ab2f7edfc0f6,2025-03-20 14:41:19.255957+00:00,mistralai,mistral-large-latest,0,5333,338,7,1,8,2,4,6,3,5,9
c363f184-25a8-4271-a72c-01454eb789a3,2025-03-20 14:41:31.095138+00:00,mistralai,mistral-large-latest,0,5334,326,2,3,5,7,4,8,1,6,9
2459bdfb-ee1f-4af9-b36b-270382821458,2025-03-20 14:42:44.223332+00:00,mistralai,mistral-large-latest,0,5340,333,2,5,6,1,4,3,8,7,9
1d2b30cc-4cf1-4c88-9bdc-987d40e67829,2025-03-20 14:42:55.470185+00:00,mistralai,mistral-large-latest,0,5334,329,6,4,9,1,5,3,2,7,8
e4e8e6c3-f982-4c98-8519-0da1021fa954,2025-04-01 13:59:01.061530+00:00,mistralai,mistral-large-latest,0,5333,335,3,7,6,1,5,4,2,9,8
872bf4e4-8051-4bf0-a27a-4604b2eaa8cc,2025-04-01 13:59:09.741896+00:00,mistralai,mistral-large-latest,0,5344,335,1,4,7,5,8,3,2,6,9
51db6328-d796-4c93-84cb-397af334688b,2025-04-01 13:59:18.485437+00:00,mistralai,mistral-large-latest,0,5336,342,3,4,6,1,5,7,9,2,8
2d6cbf7e-79a6-48c7-8683-6f1ba7e9dbe2,2025-04-01 13:59:28.667432+00:00,mistralai,mistral-large-latest,0,5336,329,2,4,8,5,6,3,1,7,9
121d347b-3560-4d92-95ec-e9a67276b2a5,2025-04-01 13:59:37.423444+00:00,mistralai,mistral-large-latest,0,5334,329,1,7,9,4,5,3,2,6,8
8c3fc07f-a3c9-4dc4-8136-ce2813a7c5a9,2025-04-01 13:59:45.493374+00:00,mistralai,mistral-large-latest,0,5338,336,8,4,6,5,2,1,3,7,9
f30fb2c9-f73c-4cc4-97cc-143f679af0e4,2025-04-01 13:59:54.070564+00:00,mistralai,mistral-large-latest,0,5338,326,2,3,6,8,4,5,1,7,9
817adfa1-9d73-4bd4-a3cf-72f935a9b324,2025-04-01 14:00:02.697362+00:00,mistralai,mistral-large-latest,0,5340,333,2,4,6,7,5,3,1,9,8
15a33f3f-a18a-4b90-a7ee-6cea27a3c9be,2025-04-01 14:00:12.832425+00:00,mistralai,mistral-large-latest,0,5334,335,1,6,5,7,8,3,2,4,9
1e0a5a6d-58dc-4d97-8061-83fe1f1edc93,2025-04-01 14:00:22.566540+00:00,mistralai,mistral-large-latest,0,5337,332,6,4,5,2,3,8,1,7,9
ce4ae26c-2da2-4efc-a23b-4afd76521c2a,2025-04-01 14:40:38.547476+00:00,mistralai,mistral-large-latest,0,5339,332,1,6,7,4,5,3,2,9,8
600b4450-955d-4ec7-ace4-2907b1512dcc,2025-04-01 14:40:48.273760+00:00,mistralai,mistral-large-latest,0,5346,340,1,4,7,5,8,3,2,6,9
60480035-c7ef-464a-b060-74f226891ca6,2025-04-01 14:40:57.914035+00:00,mistralai,mistral-large-latest,0,5336,342,3,4,6,1,5,7,9,2,8
03f4303a-7f8b-4316-8aba-0d646993e3d6,2025-04-01 14:41:06.377421+00:00,mistralai,mistral-large-latest,0,5338,335,2,4,8,5,6,3,1,7,9
a971b623-f962-4ea0-bf75-0faa54f79d39,2025-04-01 14:41:20.139329+00:00,mistralai,mistral-large-latest,0,5334,331,9,7,1,4,5,3,2,6,8
6a9f8868-aec5-4d24-a0c4-f7ae63299b83,2025-04-01 14:41:28.692241+00:00,mistralai,mistral-large-latest,0,5336,329,8,4,6,5,2,1,3,7,9
7f095f6f-6cd8-4544-81e8-43768f45af9a,2025-04-01 14:41:37.065925+00:00,mistralai,mistral-large-latest,0,5338,330,2,3,6,8,4,5,1,7,9
9006e896-c5ec-4a40-821e-cbb188708a65,2025-04-01 14:41:46.051279+00:00,mistralai,mistral-large-latest,0,5340,335,2,5,7,1,4,6,3,9,8
640a3d60-0f2d-4954-9edf-3706ccfa0909,2025-04-01 14:41:56.153444+00:00,mistralai,mistral-large-latest,0,5334,333,1,7,5,6,8,3,2,4,9
f28635b2-a026-4498-a88d-92faf87ef920,2025-04-03 07:05:41.203377+00:00,mistralai,mistral-large-latest,0,5338,340,2,1,8,4,6,5,3,7,9
068cd3dd-ff99-41a6-81fc-62f2a30f5119,2025-04-03 07:05:49.523462+00:00,mistralai,mistral-large-latest,0,5334,337,5,2,6,3,7,1,8,4,9
