cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
6f500df1-96c1-4647-b67f-b539d9f512ab,2025-03-20 15:15:20.620961+00:00,mistralai,mistral-small-latest,0,5131,323,I value inclusive policy making and minimal government intervention. I am wary of strong leaders and moral legislation.
46fcb3d6-f416-4d74-b81d-0136629cce63,2025-03-20 15:15:34.840527+00:00,mistralai,mistral-small-latest,0,5131,315,"I value inclusivity and equal influence, but not moral legislation."
77193268-83da-489b-89f2-af35e0d4ac29,2025-03-20 15:15:42.533539+00:00,mistralai,mistral-small-latest,0,5135,318,"I support inclusive government and free markets, but reject moralistic leadership."
55036610-1a11-4f8a-9088-fa580972407b,2025-03-25 14:07:28.661362+00:00,mistralai,mistral-small-latest,0,5133,325,I value inclusive government and equal influence. I do not want a government that is too involved in society.
940a6bb1-6319-471f-96f9-9f2bb017d0e8,2025-03-25 14:07:33.139343+00:00,mistralai,mistral-small-latest,0,5133,321,I value inclusive government and equal influence. I am wary of strong leaders and moral legislation.
de0070f7-5f4d-4094-b130-362dd2852b0b,2025-03-25 14:07:38.459606+00:00,mistralai,mistral-small-latest,0,5131,320,"I prioritize inclusive governance and market efficiency, reject moral imposition and special benefits."
68119ecf-cec4-49c6-80fa-3368885bd93a,2025-03-25 14:07:43.246863+00:00,mistralai,mistral-small-latest,0,5129,320,"I prioritize inclusive government and market efficiency, reject moral policing and status quo."
7cbcebcf-0b45-42dc-a232-aa8ca3f43dee,2025-03-25 14:07:48.194547+00:00,mistralai,mistral-small-latest,0,5131,324,I prefer a market-oriented government with equal influence for all. I dislike moralistic and exclusionary policies.
905f7898-f0c6-4388-ac77-dcb1fa4b1833,2025-03-25 14:07:52.599612+00:00,mistralai,mistral-small-latest,0,5131,319,"I value inclusive government and free markets, but reject moral policing and minority exclusion."
5f6f2297-3232-4160-87f6-01d86bfc1e57,2025-03-25 14:08:07.660342+00:00,mistralai,mistral-small-latest,0,5125,314,I prefer inclusive government with broad representation and minimal intervention.
1852ca86-2d06-4853-9ac4-76a376d5110c,2025-03-25 14:08:12.359830+00:00,mistralai,mistral-small-latest,0,5133,315,"I prefer inclusive, market-friendly governance with minority representation."
e9c8959f-baf0-48af-a5fb-983788b0a89f,2025-03-25 14:08:21.051916+00:00,mistralai,mistral-small-latest,0,5139,328,"I prioritize inclusive, representative government and free markets. I am wary of strong leaders and moral legislation."
94899716-cc2c-4c32-859d-d600104c159e,2025-03-25 14:08:26.488648+00:00,mistralai,mistral-small-latest,0,5135,319,"I value equal influence, minimal government intervention, and inclusive policy making."
c8afa41b-cf71-40a7-847e-744a6138619c,2025-03-25 14:08:31.712942+00:00,mistralai,mistral-small-latest,0,5131,322,"I value inclusivity and market efficiency, reject moral imposition and minority exclusion."
4d649aa5-e845-41bc-b571-033d585e57e9,2025-04-01 12:57:20.421506+00:00,mistralai,mistral-small-latest,0,5131,322,"I value inclusivity and equal influence, but I am wary of strong leaders and moral legislation."
1edcc7a4-266a-4751-8fd9-8a9d83ef827b,2025-04-01 12:57:25.640036+00:00,mistralai,mistral-small-latest,0,5131,323,I value inclusive governance and minimal government intervention. I am wary of strong leaders and the status quo.
f727129f-0895-4cf0-ac34-167c283a9c89,2025-04-01 12:57:29.611614+00:00,mistralai,mistral-small-latest,0,5131,321,"I prioritize inclusive government and equal influence, avoiding moral overreach and market interference."
602a2d1e-6662-4ec8-ac21-537c3d0fa3dc,2025-04-01 12:57:34.714309+00:00,mistralai,mistral-small-latest,0,5135,321,"I prioritize inclusive governance and market regulation, reject moral policing and minority exclusion."
e369ff90-51a9-42e4-807e-ee8ccd7733f4,2025-04-01 12:57:38.910434+00:00,mistralai,mistral-small-latest,0,5129,322,"I prioritize inclusive governance and market efficiency, reject moral imposition and status quo."
fb5b505b-cc1b-4cb0-aa57-b06a6b99e233,2025-04-01 12:57:44.265044+00:00,mistralai,mistral-small-latest,0,5129,314,"I value inclusive, market-oriented governance with strong minority representation."
a6976c8e-3519-4b84-b5d5-5e73b5597a2f,2025-04-01 12:57:48.460728+00:00,mistralai,mistral-small-latest,0,5133,321,"I prioritize inclusive government and market efficiency, avoiding moral imposition and equal influence."
d4355c54-182a-4d93-8a71-5b4088c0ec11,2025-04-01 12:57:53.273912+00:00,mistralai,mistral-small-latest,0,5133,322,"I value inclusive policy making and free markets, but reject moralistic leadership and minority exclusion."
00f55c21-e702-482d-a0e8-e11682f91d1b,2025-04-01 12:57:57.476715+00:00,mistralai,mistral-small-latest,0,5140,325,"I prefer inclusive, market-focused governance, avoiding moral imposition and special benefits."
b3651a68-9f4c-4ab8-9efb-f8729299347e,2025-04-01 12:58:01.385252+00:00,mistralai,mistral-small-latest,0,5133,323,"I value inclusivity and equal influence, and I am wary of strong leaders and moral legislation."
6be27aec-ca2f-47aa-a622-53788a5c2ea9,2025-04-01 12:58:06.380981+00:00,mistralai,mistral-small-latest,0,5125,320,"I prioritize equal influence and market efficiency, reject moral legislation and the status quo."
92d88f2b-c625-46b6-a0a3-cf54b0c320b3,2025-04-01 12:58:11.264474+00:00,mistralai,mistral-small-latest,0,5131,315,I support inclusive government and oppose moralistic or market-focused governance.
8557b5e3-0fc4-4fa3-9968-b6fa72ddd3e8,2025-04-01 12:58:15.232894+00:00,mistralai,mistral-small-latest,0,5131,329,I support inclusive government and equal influence. I am wary of strong leaders and moral legislation. I am neutral on the status quo.
12d07b21-2596-43e4-84fb-79373f32f4c0,2025-04-01 12:58:19.464331+00:00,mistralai,mistral-small-latest,0,5137,323,I support inclusive government and equal influence. I am wary of strong leaders and moral legislation.
cc39337a-157b-4e8b-bffa-3b39f8f3e70a,2025-04-01 12:58:24.608760+00:00,mistralai,mistral-small-latest,0,5139,324,"I prioritize inclusive government and market efficiency, reject moral imposition and minority exclusion."
ca7e1181-0313-4ccb-9785-6e55f8a95fa9,2025-04-01 12:58:28.928171+00:00,mistralai,mistral-small-latest,0,5135,323,"I value inclusive government and free markets, but not moral legislation or abolishing minority benefits."
31d47771-d49c-4a15-ab10-0a7d07d705e9,2025-04-01 12:58:34.127702+00:00,mistralai,mistral-small-latest,0,5133,314,I prioritize inclusive policy making and minimal government intervention.
db60b238-2036-4ba9-8a06-c3b98efb98ce,2025-04-01 12:58:38.634681+00:00,mistralai,mistral-small-latest,0,5139,326,"I value inclusivity and equal influence, reject moral imposition, and prefer minimal government intervention."
c0a4e6dd-b027-460e-84bd-dd34654e518a,2025-04-01 12:58:45.286783+00:00,mistralai,mistral-small-latest,0,5131,314,"I prefer inclusive, market-friendly governance with minority involvement."
2014d9b7-8a1a-4508-bfcf-3b18fd1ca3ae,2025-04-01 12:58:49.606099+00:00,mistralai,mistral-small-latest,0,5135,322,"I value inclusive governance and free markets, but reject moral imposition and status quo."
