cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
149b72b2-e47a-4c8f-ab75-28071152edda,2025-03-20 15:19:43.778776+00:00,mistralai,mistral-small-latest,0,3375,228,"I prioritize resilience and significant emission cuts, but not at the expense of the economy."
900dfb48-595c-4709-a6d4-622a385bf996,2025-03-20 15:19:54.819951+00:00,mistralai,mistral-small-latest,0,3375,225,I prioritize adaptation and community-based actions. I support strong emission cuts.
755b0852-6f0a-4af1-a848-2b6c671ec8e6,2025-03-20 15:20:01.258697+00:00,mistralai,mistral-small-latest,0,3375,224,I prioritize immediate and significant CO2 reduction and community-based adaptation.
64f3cb81-dbdb-4173-8293-a63a945682f6,2025-03-20 15:20:12.182204+00:00,mistralai,mistral-small-latest,0,3375,233,I prioritize moderate emissions cuts and adaptation. I do not support the status quo or economic growth over climate action.
eddadc15-f47d-4dcf-bdea-7295d1dfe06f,2025-03-20 15:20:18.612886+00:00,mistralai,mistral-small-latest,0,3375,228,I prioritize strong emission cuts and community-based adaptation. I do not support inaction.
ecf23435-26b0-4d69-810e-059fc3b33616,2025-03-20 15:20:25.682175+00:00,mistralai,mistral-small-latest,0,3375,228,"I prioritize strong emission cuts and resilience, oppose inaction and economic growth over climate."
f36ef567-1846-4602-aea2-79936888dd51,2025-03-25 14:12:55.000720+00:00,mistralai,mistral-small-latest,0,3375,222,"I prioritize adaptation and resilience, with moderate emission cuts."
2c897f1e-7d24-4413-be00-db8b05d921c1,2025-03-25 14:12:58.457156+00:00,mistralai,mistral-small-latest,0,3375,231,I prioritize strong emission cuts and community-based adaptation. I oppose inaction and economic growth over climate.
4295c088-dc2d-4d08-b74b-a608f6143018,2025-03-25 14:13:03.085017+00:00,mistralai,mistral-small-latest,0,3375,235,I support aggressive climate action and community-based adaptation. I do not support inaction or prioritizing economic growth over climate change.
3ce90921-d7a9-484c-ac80-9477edf587af,2025-03-25 14:13:07.580347+00:00,mistralai,mistral-small-latest,0,3375,229,I support strong emission cuts and adaptation policies. I do not support economic growth over climate change.
b47169fa-127a-4e4a-b19e-4d43f2b6ef3b,2025-03-25 14:13:15.258638+00:00,mistralai,mistral-small-latest,0,3375,229,I support strong CO2 cuts and community-based adaptation. I oppose economic growth over climate action.
ce7f61ef-e9ac-4590-9f65-e6df3375e2d8,2025-03-25 14:13:22.121829+00:00,mistralai,mistral-small-latest,0,3375,235,I support strong climate action and community-based adaptation. I do not support inaction or prioritizing economic growth over climate change.
3c095f8f-10df-471d-a162-41a949f8c04d,2025-03-25 14:13:26.011954+00:00,mistralai,mistral-small-latest,0,3375,227,Prioritize strong emission cuts and community-based adaptation. Avoid economic growth over climate.
6086521e-e93c-482a-8610-a995912c28a6,2025-03-25 14:13:30.822847+00:00,mistralai,mistral-small-latest,0,3375,224,"I prioritize resilience and community-based adaptation, with strong emission cuts."
55e6aa37-2329-4442-8409-2be7211ab33f,2025-03-25 14:13:34.720749+00:00,mistralai,mistral-small-latest,0,3375,227,I prioritize adaptation and moderate emissions cuts. I support community-based actions and planning.
ed98a30a-6ec6-4df6-95d6-65b841092205,2025-03-25 14:13:38.694546+00:00,mistralai,mistral-small-latest,0,3375,220,I support strong climate action and community-based adaptation.
5a36301a-6159-4124-a2b4-6b2da3edaf80,2025-03-25 14:13:42.599581+00:00,mistralai,mistral-small-latest,0,3375,233,"I prioritize adaptation and resilience, with strong emission cuts. I oppose inaction and growth-over-climate policies."
01a1bdd1-c23d-436d-b784-51d8facaefb0,2025-03-25 14:13:47.518189+00:00,mistralai,mistral-small-latest,0,3375,229,I prioritize strong climate action and community resilience. I am not satisfied with the status quo.
5223c3e7-3249-4586-96a5-044f75a1ee21,2025-04-01 13:06:08.599086+00:00,mistralai,mistral-small-latest,0,3375,224,"I prioritize adaptation and community-based actions, with moderate emission cuts."
