cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
768bef1d-4918-4860-9658-2bab1e27155e,2025-03-20 15:19:02.006663+00:00,mistralai,mistral-small-latest,0,3450,227,3,7,6,1,4,2,5
8a20ecbc-4986-4a03-a772-ccdb0ab57473,2025-03-20 15:19:09.885445+00:00,mistralai,mistral-small-latest,0,3450,233,6,7,4,5,1,2,3
dcf8ca5d-5e52-4098-89ce-ff29a1ff4d9e,2025-03-20 15:19:16.754280+00:00,mistralai,mistral-small-latest,0,3450,220,7,5,2,1,4,3,6
92e754c2-6bd6-4a74-93c6-0a287ee743bd,2025-03-25 14:11:35.544034+00:00,mistralai,mistral-small-latest,0,3450,236,7,6,2,5,1,3,4
a83ab5ce-2056-452c-b4fc-a3227878a10c,2025-03-25 14:12:00.613881+00:00,mistralai,mistral-small-latest,0,3450,235,7,6,2,3,5,1,4
fc3ae9d2-47cb-41f8-b6da-0aac127e9576,2025-03-25 14:12:08.043181+00:00,mistralai,mistral-small-latest,0,3450,234,7,6,2,1,4,5,3
7b6c279f-9bbe-41dd-9711-f98a3f0369be,2025-03-25 14:12:12.079144+00:00,mistralai,mistral-small-latest,0,3444,234,7,6,2,1,4,3,5
65558a4b-5f69-4506-8ee5-dbb2ab574643,2025-03-25 14:12:16.059699+00:00,mistralai,mistral-small-latest,0,3450,232,6,7,5,1,2,4,3
346359d9-8a76-4568-a02f-ee0d64b2fee1,2025-03-25 14:12:28.210111+00:00,mistralai,mistral-small-latest,0,3450,220,6,7,5,1,4,3,2
004acb2e-44ee-4dfc-92b0-f0f730b33ab6,2025-03-25 14:12:35.348399+00:00,mistralai,mistral-small-latest,0,3450,221,6,7,5,2,3,1,4
102b5c10-13b0-4c32-bdc1-c012ce446565,2025-03-25 14:12:40.545016+00:00,mistralai,mistral-small-latest,0,3450,230,6,7,3,5,2,1,4
39d09f55-e9a5-4b58-b010-b9c2cb51a444,2025-03-25 14:12:48.020134+00:00,mistralai,mistral-small-latest,0,3450,229,6,7,3,1,2,5,4
e9a9e649-b48b-4402-90c6-7223890a1646,2025-04-01 13:04:37.759333+00:00,mistralai,mistral-small-latest,0,3450,226,5,7,4,1,3,2,6
f10b2fe7-7979-4e1d-b713-cbcc3ec10b32,2025-04-01 13:04:42.964518+00:00,mistralai,mistral-small-latest,0,3450,220,6,7,4,1,2,3,5
1f91d323-5c62-40d6-ab2d-41618dc818ba,2025-04-01 13:04:47.165300+00:00,mistralai,mistral-small-latest,0,3450,231,7,6,5,1,4,3,2
38f46c2b-6a42-4094-972e-f27634135979,2025-04-01 13:04:52.436232+00:00,mistralai,mistral-small-latest,0,3450,230,6,7,4,5,3,2,1
ef94be22-2cdf-43da-b5c8-46952bc24ec7,2025-04-01 13:04:57.519809+00:00,mistralai,mistral-small-latest,0,3450,222,5,7,6,4,2,3,1
ddca2b3f-eb53-41b7-ba74-973354bd2fb5,2025-04-01 13:05:01.326641+00:00,mistralai,mistral-small-latest,0,3444,221,7,6,3,1,2,4,5
0265afc3-5a1f-4c9e-b25d-dfd2341da976,2025-04-01 13:05:04.708046+00:00,mistralai,mistral-small-latest,0,3450,231,7,6,5,4,1,2,3
53c7550d-2000-4747-bb6d-ea63e850ef1d,2025-04-01 13:05:08.333192+00:00,mistralai,mistral-small-latest,0,3450,230,7,5,4,2,6,3,1
22667c62-0c48-424f-9bba-bc2b066383f1,2025-04-01 13:05:13.393412+00:00,mistralai,mistral-small-latest,0,3444,229,6,7,4,1,5,3,2
5e33a080-62df-488d-8f7d-24296b61a4e8,2025-04-01 13:05:17.716821+00:00,mistralai,mistral-small-latest,0,3444,232,6,7,2,5,1,4,3
9d48278c-0d8f-44ef-9fcd-347e57d7905d,2025-04-01 13:05:24.072317+00:00,mistralai,mistral-small-latest,0,3450,224,7,5,3,6,1,4,2
758a899e-6c0a-4dd5-95e6-ab2ab44d846d,2025-04-01 13:05:27.783090+00:00,mistralai,mistral-small-latest,0,3450,227,7,5,4,2,3,6,1
767dbc29-d698-432e-980c-4f03c292ce26,2025-04-01 13:05:31.333258+00:00,mistralai,mistral-small-latest,0,3450,231,4,7,3,2,1,5,6
459b5af2-019c-4437-970e-6f4b0176c463,2025-04-01 13:05:40.723443+00:00,mistralai,mistral-small-latest,0,3450,236,4,7,6,5,1,3,2
