cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
ffa9516e-16c1-4421-b5f9-a2312d477522,2025-03-25 15:15:59.888279+00:00,mistralai,open-mistral-7b,0,3676,277,"I support policies that prioritize climate change adaptation, involve significant emission reductions, and focus on individual, small business, and community actions. I am less supportive of policies that prioritize economic growth over climate change and those with moderate emission reduction targets. I am least supportive of policies that do not address climate change at all."
05c13ca7-b645-4aa7-a6ce-ad30a0e09278,2025-03-25 15:16:04.169944+00:00,mistralai,open-mistral-7b,0,3676,262,"I support policies that prioritize resilience, moderate CO2 cuts, individual/community actions, adaptation planning, and dramatic CO2 cuts, while leaving current policies as they are and opposing those that prioritize economic growth over climate change."
45910b44-7a00-4e33-aa57-90eb474e1ef0,2025-03-25 15:16:08.012858+00:00,mistralai,open-mistral-7b,0,3676,266,"I support policies that prioritize adaptation, significant emission reductions, and community-based actions, while being skeptical of policies that prioritize economic growth over climate change. I am less supportive of policies that only moderately reduce emissions or leave policy settings unchanged."
1af856c8-2e8e-4319-aaa9-92da36ad0f86,2025-03-25 15:16:11.988422+00:00,mistralai,open-mistral-7b,0,3676,280,"I support moderate emissions cuts, individual/community-based adaptation policies, and preparing for climate risk through new technologies. I do not support policies that prioritize economic growth over climate change. I am neutral on current policy settings and leaving things as they are. I do not support policies that involve dramatic emissions cuts or no action at all."
00a12fb5-1c9e-42ae-8b33-e15520d716a4,2025-03-25 15:16:16.154244+00:00,mistralai,open-mistral-7b,0,3676,295,"I support policies that aim for significant CO2 emission reductions and focus on preparing for climate risks through new approaches and technologies. I am less supportive of policies that prioritize economic growth over climate change adaptation or mitigation, and those that only target individual or small business actions. I am neutral on current policy settings and moderate emission reduction policies. I am least supportive of policies that do not address climate change at all."
c08ba1f3-074b-4c22-9945-5b4e3261e689,2025-03-27 13:03:39.044035+00:00,mistralai,open-mistral-7b,0,3676,288,"I support individual, small business, and community-based adaptation policies, followed by moderate CO2 emission cuts, adaptation policies and expenditure, and preparing for climate risk through new approaches and technologies. I do not support policies that emphasize economic growth over climate change or leave policy settings unchanged. I am least supportive of policies that involve a dramatic cut back in CO2 emissions."
7a013fc8-00b9-429f-a171-9ec2f479ea54,2025-03-27 13:03:43.127744+00:00,mistralai,open-mistral-7b,0,3676,249,"I support policies that prioritize significant CO2 emission reductions and individual, community-based actions for adaptation. I am least supportive of policies that prioritize economic growth over climate change."
a8e5a7fc-663c-4eda-a0e0-e0987efea9d3,2025-03-27 13:03:46.729166+00:00,mistralai,open-mistral-7b,0,3676,263,"I support policies that prioritize significant emission cuts, individual/community actions, and resilience-enhancing technologies, while being cautious about policies that prioritize economic growth over climate change. I do not support leaving policy settings as they are."
019271ff-cabe-42df-98c6-070170fa496b,2025-03-27 13:03:50.480482+00:00,mistralai,open-mistral-7b,0,3676,244,Strongly support aggressive CO2 emission cuts and individual/community-based adaptation policies. Least supportive of policies that prioritize economic growth over climate change.
2596d168-c7c3-4c03-99ba-f32ae5652779,2025-03-27 13:03:57.155712+00:00,mistralai,open-mistral-7b,0,3676,249,"I support moderate CO2 cuts, individual action-focused adaptation policies, and preparing for climate risk through new technologies. I oppose policies that prioritize economic growth over climate change."
