cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
6ee2f6ef-b611-40c7-a440-ccc1840ce804,2025-03-20 16:50:56.233855+00:00,mistralai,open-mistral-nemo,0,5135,313,"Minimal govt, no special interests"
d763e4b0-7056-443b-81c6-27dae6af47de,2025-03-20 16:51:03.583125+00:00,mistralai,open-mistral-nemo,0,5143,322,"Minimal change, focus on markets, involve all, strong morals"
79ec06b9-3770-497a-9dc4-087119978cd3,2025-03-20 16:51:11.571088+00:00,mistralai,open-mistral-nemo,0,5153,327,"Equal influence, minority involvement, market focus, status quo, moral leadership"
039858a1-7359-4bf1-84ba-0a2d8711d4d4,2025-03-20 16:51:18.886231+00:00,mistralai,open-mistral-nemo,0,5147,323,"Minority inclusion, market focus, status quo, moral leadership"
ee475685-1dee-4483-a26a-907214eaec62,2025-03-20 16:51:26.603289+00:00,mistralai,open-mistral-nemo,0,5151,331,"Minimal intervention, no moral legislation, inclusive policy-making, no minority benefits, current system"
265faa89-cfbf-45d1-b14f-77b6dccb5bd9,2025-03-20 16:51:34.611069+00:00,mistralai,open-mistral-nemo,0,5149,348,1st: inclusive policy-making. 5th: no special benefits. 3rd: moral principles. 4th: market focus. 2nd: current system.
01daa7b5-0652-4f55-9d47-fabc1ef591e9,2025-04-02 16:03:22.180315+00:00,mistralai,open-mistral-nemo,0,5136,324,Equal influence > Involvement > Status quo > Moral principles > Limited intervention
cc15b232-2f61-470d-b3a0-1c38e2e7485b,2025-04-02 16:03:26.605891+00:00,mistralai,open-mistral-nemo,0,5141,323,"Kept status quo, prioritized minorities, least market focus"
54795124-0550-4160-b254-eb5586ee9c65,2025-04-02 16:03:31.077107+00:00,mistralai,open-mistral-nemo,0,5147,329,"Strong leaders, minimal intervention, equal influence, minimal minority benefits, group involvement"
98abf043-3c33-4001-bddc-4355692d3a51,2025-04-02 16:03:35.727168+00:00,mistralai,open-mistral-nemo,0,5141,321,"Equal influence, minority involvement, status quo > markets"
1f843adf-c156-4307-bb91-2588ba7bc583,2025-04-02 16:03:40.347551+00:00,mistralai,open-mistral-nemo,0,5116,307,"Minimal intervention, no special benefits, current system, social inclusion, moral leadership"
f3026411-7fff-44d5-b7fd-26444817c4f4,2025-04-02 16:03:44.314739+00:00,mistralai,open-mistral-nemo,0,5131,314,"Equal influence, minimal intervention, diverse input"
e2261f18-04ea-4fe9-8825-c3032c204f92,2025-04-02 16:03:49.134244+00:00,mistralai,open-mistral-nemo,0,5149,329,"Minimal intervention, equal influence, diverse involvement, strong leadership, moral principles"
5999b2a9-ddd0-4333-96e7-ce0542f0470a,2025-04-02 16:03:53.455206+00:00,mistralai,open-mistral-nemo,0,5134,313,"Prioritize inclusivity, oppose special interests, focus on markets"
cfeeb464-0b83-4e65-a5a4-91b43ccb85ec,2025-04-02 16:03:58.024622+00:00,mistralai,open-mistral-nemo,0,5147,327,"Prefer inclusive, minimal intervention; reject moral legislation, status quo least"
63957382-12fe-4381-9ae5-eb51adda18b1,2025-04-02 16:04:03.145259+00:00,mistralai,open-mistral-nemo,0,5149,334,"Minimal government, no moral policing, equal influence, minority involvement, status quo"
20cc7a8f-5951-4bdc-b69e-b7af2eebadfd,2025-04-02 16:04:08.330259+00:00,mistralai,open-mistral-nemo,0,5141,316,"Preferred balance, avoid extremes"
328644ff-07b9-4bf6-8b75-4b43bd9a6af5,2025-04-02 16:04:12.904142+00:00,mistralai,open-mistral-nemo,0,5126,309,"Prefer inclusive, minimal intervention; reject moral legislation, market focus"
381192eb-5b65-41c9-bfec-153bacdf3889,2025-04-02 16:04:17.125362+00:00,mistralai,open-mistral-nemo,0,5149,325,"Preferred market-focused government, supported by diverse input."
92d747b4-fdad-4ef5-8bb0-7c4a2d409888,2025-04-02 16:04:22.430841+00:00,mistralai,open-mistral-nemo,0,5151,325,"Inclusive policy-making best, market focus worst"
b7ebc0d2-3227-4292-a122-8aa49311139a,2025-04-02 16:04:26.602745+00:00,mistralai,open-mistral-nemo,0,5137,317,"Equal influence, minimal intervention, diverse input"
37ea9ffa-2433-4ba7-848a-46ddff3424a9,2025-04-02 16:04:31.952153+00:00,mistralai,open-mistral-nemo,0,5133,317,"Minimal gov't, no special interests, moral leadership"
37f06998-432a-48d0-bf12-cbf0f3593562,2025-04-02 16:04:36.435346+00:00,mistralai,open-mistral-nemo,0,5142,313,"Inclusive, not moralistic, minimal intervention"
78ad29e2-0c21-4156-99cd-3204928cc49d,2025-04-02 16:04:41.031271+00:00,mistralai,open-mistral-nemo,0,5145,321,"Equal influence, moral principles, current system"
a21a5da3-a98f-49d5-b907-a0a5e807c10a,2025-04-02 16:04:45.145798+00:00,mistralai,open-mistral-nemo,0,5143,326,"Equal influence, minimal intervention, moral principles, current system, disadvantaged inclusion"
5eac4737-f971-46aa-90c5-3e01af0eee77,2025-04-02 16:04:50.139232+00:00,mistralai,open-mistral-nemo,0,5141,327,Inclusive policy making > Status quo > Market focus > Moral leadership > No minority benefits
0f6c498f-e147-42c1-ab10-cfb1d4ec1da0,2025-04-02 16:04:59.490575+00:00,mistralai,open-mistral-nemo,0,5155,335,Equal influence>Minority focus>Status quo>Economic focus>Moral leadership
deb8e16f-91f7-4f39-ad2d-7551848b7cd3,2025-04-02 16:05:04.238108+00:00,mistralai,open-mistral-nemo,0,5130,312,"Prefer inclusive, market-focused gov't; reject moral/equal influence"
b54a265e-6a46-43d6-8a30-c648c4a29846,2025-04-02 16:05:08.268939+00:00,mistralai,open-mistral-nemo,0,5153,332,"Minority inclusion, market focus, status quo, equal influence, moral leadership"
5f3b0ed4-c3cb-44dc-9509-98a1dabfc3ac,2025-04-02 16:05:21.367244+00:00,mistralai,open-mistral-nemo,0,5141,325,"Equal influence, minimal intervention, no change, moral principles, disadvantaged inclusion"
5a1423ba-4740-42a2-9078-e228f69b9048,2025-04-02 16:05:25.878655+00:00,mistralai,open-mistral-nemo,0,5135,322,"Prefer minimal gov, protect minorities, prioritize markets, less moral legislation"
f866af9b-fac8-4901-a411-2dba705130d2,2025-04-02 16:05:30.561014+00:00,mistralai,open-mistral-nemo,0,5132,316,Inclusive policy making > Equality for all > Market focus > Status quo > Moral leadership
ace796c3-2070-4b8f-a09f-f204c61b3f84,2025-04-02 16:05:37.908800+00:00,mistralai,open-mistral-nemo,0,5132,325,"Preferred: inclusive, minimal intervention. Avoided: moral legislation, equal influence."
9979521f-4047-4dad-b50b-95f536b97084,2025-04-02 16:05:43.162855+00:00,mistralai,open-mistral-nemo,0,5143,325,Minority inclusion > Status quo > Moral leadership > Free markets
fa27eac0-a94e-43d3-9b86-d321395d2075,2025-04-02 16:05:47.977787+00:00,mistralai,open-mistral-nemo,0,5157,328,"Minimal intervention, equal influence, prefer markets"
