cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
ffcea0c7-e97b-4507-9c3f-f99a9cb023eb,2025-03-20 16:57:12.006068+00:00,mistralai,open-mistral-nemo,0,3474,230,7,6,5,4,1,3,2
277ee4be-bc4e-44b8-80b8-bb56bf7f4bd5,2025-03-20 16:57:18.561669+00:00,mistralai,open-mistral-nemo,0,3474,232,4,7,3,1,5,6,2
7b173a61-32ea-43a9-aa88-0ef70336d08a,2025-03-20 16:57:27.912488+00:00,mistralai,open-mistral-nemo,0,3474,229,3,7,5,1,4,6,2
940b0d35-ef0d-4ad2-99e6-882a2f76ebce,2025-03-20 16:57:37.268231+00:00,mistralai,open-mistral-nemo,0,3474,245,7,6,2,1,5,4,3
2bdb7b24-766f-4848-a5f9-dfc514d5b756,2025-03-20 16:57:44.403277+00:00,mistralai,open-mistral-nemo,0,3474,233,7,6,2,3,4,1,5
f4680d15-65ef-4229-b699-80b4c4be7292,2025-03-20 16:57:50.863910+00:00,mistralai,open-mistral-nemo,0,3474,229,7,6,1,5,2,3,4
c97f4143-e357-4117-a3a4-3a54def1fbef,2025-03-20 16:57:57.689194+00:00,mistralai,open-mistral-nemo,0,3474,229,4,7,5,1,6,2,3
9ff39245-37b0-4419-b051-c320988ea11b,2025-04-02 16:18:51.384402+00:00,mistralai,open-mistral-nemo,0,3474,236,6,7,2,1,4,5,3
52e3693f-ca6f-4b90-bc4a-365490d18e81,2025-04-02 16:18:57.948712+00:00,mistralai,open-mistral-nemo,0,3474,242,5,7,4,6,3,1,2
95066b92-d3c9-42af-a2ca-14a41be588e0,2025-04-02 16:19:01.390998+00:00,mistralai,open-mistral-nemo,0,3474,233,4,7,2,1,5,6,3
b1ea2822-21b2-4291-8f05-fadc4e621d91,2025-04-02 16:19:05.043479+00:00,mistralai,open-mistral-nemo,0,3474,234,3,7,2,1,4,6,5
096a366e-d004-47af-92ff-7f9fdbcc98bc,2025-04-02 16:19:08.690641+00:00,mistralai,open-mistral-nemo,0,3474,238,6,7,4,5,3,1,2
bf3dd2e3-64ac-4d27-9b90-846f4f5d7c9e,2025-04-02 16:19:12.150051+00:00,mistralai,open-mistral-nemo,0,3474,233,3,7,2,5,6,4,1
ed441dd0-ca9f-4df9-a51e-a82d59db5cb2,2025-04-02 16:19:16.039105+00:00,mistralai,open-mistral-nemo,0,3474,236,7,6,3,5,4,1,2
49bcabb0-e13a-42fd-aa7c-5185a5e7a333,2025-04-02 16:19:20.517297+00:00,mistralai,open-mistral-nemo,0,3474,237,5,6,7,1,2,4,3
b29250f6-16b4-4310-9ad5-f3618ce878ff,2025-04-02 16:19:25.694044+00:00,mistralai,open-mistral-nemo,0,3474,237,6,7,3,2,5,1,4
64747643-4655-4098-b948-7e625ae45d94,2025-04-02 16:19:30.111997+00:00,mistralai,open-mistral-nemo,0,3474,240,4,7,5,1,6,3,2
2d8e0e28-9aa0-4d1f-b4ad-85b339b1d826,2025-04-02 16:19:34.175750+00:00,mistralai,open-mistral-nemo,0,3474,236,4,6,3,1,7,5,2
77ff240c-86f5-4626-9291-2dec693d4b8f,2025-04-02 16:19:38.962661+00:00,mistralai,open-mistral-nemo,0,3474,240,5,6,2,7,3,1,4
ab6ba8e9-0f3a-4d8c-b6df-fbe753ea6bee,2025-04-02 16:19:42.782627+00:00,mistralai,open-mistral-nemo,0,3474,236,5,7,6,2,4,3,1
55df2534-224b-49f2-8617-61b567a8ccf4,2025-04-02 16:19:46.887909+00:00,mistralai,open-mistral-nemo,0,3474,233,7,6,3,2,5,4,1
cb0460f4-ce1c-476c-8284-c15425a32b08,2025-04-02 16:19:50.725972+00:00,mistralai,open-mistral-nemo,0,3474,233,6,7,4,2,3,5,1
393d14fa-b538-4c3d-b5b3-81351f25a10f,2025-04-02 16:19:57.150844+00:00,mistralai,open-mistral-nemo,0,3474,232,5,6,7,1,2,4,3
01a5b7c1-e58c-4dda-992c-f35b617fc4c3,2025-04-02 16:20:13.720424+00:00,mistralai,open-mistral-nemo,0,3474,240,4,7,5,6,2,3,1
6adefea6-ca7c-45a2-9652-bd276b0b283d,2025-04-02 16:20:17.454774+00:00,mistralai,open-mistral-nemo,0,3474,232,7,6,5,2,4,3,1
52152e59-ee15-4dbe-bde9-429764558071,2025-04-02 16:20:21.204065+00:00,mistralai,open-mistral-nemo,0,3474,236,7,6,3,2,5,1,4
2853ac84-bb75-42ff-b5d6-e2e3d8eaf8a7,2025-04-02 16:46:31.342870+00:00,mistralai,open-mistral-nemo,0,3474,232,7,5,1,2,6,4,3
6b570ef9-6948-4309-acae-e62001f17d91,2025-04-02 16:46:34.719780+00:00,mistralai,open-mistral-nemo,0,3474,235,5,7,2,1,6,4,3
f31ad7cc-a224-4718-ad02-55f3fdd9ea9c,2025-04-02 16:46:38.502263+00:00,mistralai,open-mistral-nemo,0,3474,237,4,7,3,2,1,5,6
6c5577a8-6b3d-4f85-8f30-157b60fbb858,2025-04-02 16:46:42.536811+00:00,mistralai,open-mistral-nemo,0,3474,241,4,7,3,1,2,6,5
