cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
ba5e8e2c-09f9-4f52-82fe-0beeaec9e8a1,2025-03-20 16:54:31.645099+00:00,mistralai,open-mistral-nemo,0,3450,227,7,6,3,4,1,5,2
5975de24-9b4a-425a-9759-61a7aeac4933,2025-03-20 16:54:42.979586+00:00,mistralai,open-mistral-nemo,0,3450,223,7,1,5,6,4,2,3
1029a428-de68-493c-b407-acd9c7bb5791,2025-03-20 16:54:49.484664+00:00,mistralai,open-mistral-nemo,0,3450,224,7,6,5,2,1,4,3
2e04f84b-400b-4de6-86b5-90b4cd66068a,2025-03-20 16:54:56.033973+00:00,mistralai,open-mistral-nemo,0,3450,220,5,7,4,1,2,6,3
cbb2f64f-bb58-45a4-83ec-889746c3c1e5,2025-03-20 16:55:10.949676+00:00,mistralai,open-mistral-nemo,0,3450,221,6,2,4,1,3,7,5
9873a89b-b4ec-47dc-b4ad-32bc3c953a99,2025-03-20 16:55:17.401203+00:00,mistralai,open-mistral-nemo,0,3450,220,3,7,2,1,4,5,6
fb82b2f5-4891-40a5-8084-4472488f33b5,2025-04-02 16:13:12.112713+00:00,mistralai,open-mistral-nemo,0,3450,220,6,7,3,2,5,1,4
ce1e2c90-8b84-487d-b877-a17e0b925b57,2025-04-02 16:13:16.390055+00:00,mistralai,open-mistral-nemo,0,3450,226,6,7,3,5,1,4,2
0e85d8b4-6f9e-4ec4-a362-efb66792a97b,2025-04-02 16:13:19.868625+00:00,mistralai,open-mistral-nemo,0,3450,219,6,7,3,4,5,1,2
3b260dcb-51b0-40b0-a45b-74c38fe5167c,2025-04-02 16:13:24.159753+00:00,mistralai,open-mistral-nemo,0,3450,223,7,6,2,1,3,4,5
677a56d8-f837-4353-844b-7be5caf350df,2025-04-02 16:13:27.406750+00:00,mistralai,open-mistral-nemo,0,3450,221,7,5,2,4,1,3,6
1faab939-3abf-4671-bb03-f21432117004,2025-04-02 16:13:30.852585+00:00,mistralai,open-mistral-nemo,0,3450,223,7,6,3,2,5,1,4
416fa3fd-dd6b-4af8-a7e2-0f22490897d0,2025-04-02 16:13:34.747622+00:00,mistralai,open-mistral-nemo,0,3450,221,2,6,5,3,1,7,4
075d346e-e110-4714-9d1b-dd075c41c07e,2025-04-02 16:13:40.571163+00:00,mistralai,open-mistral-nemo,0,3450,227,7,6,4,3,2,5,1
0cf5a4fe-ead1-495d-a9e9-dbf7de9eb16d,2025-04-02 16:13:44.095790+00:00,mistralai,open-mistral-nemo,0,3450,220,7,5,6,1,4,3,2
3c8f5b10-3625-4ab3-b390-4370bd040cfb,2025-04-02 16:13:48.520155+00:00,mistralai,open-mistral-nemo,0,3444,220,7,6,3,1,2,4,5
56a58949-2e0b-407b-ad96-7570bdee710c,2025-04-02 16:13:51.729822+00:00,mistralai,open-mistral-nemo,0,3444,220,7,2,3,1,5,6,4
3ca34fa7-515d-4cf0-a8ad-c132eeb3dea3,2025-04-02 16:13:54.956553+00:00,mistralai,open-mistral-nemo,0,3450,221,5,4,3,2,1,6,7
a99b4bb2-426f-4a6c-ac17-52625310dd28,2025-04-02 16:13:59.233767+00:00,mistralai,open-mistral-nemo,0,3444,220,5,7,3,1,2,4,6
b9600513-8dd1-404e-9fee-a5b828ee6551,2025-04-02 16:14:08.889990+00:00,mistralai,open-mistral-nemo,0,3450,229,3,7,2,6,1,4,5
c43f85d5-d3e6-47b5-9ee9-a7ad2becf0c8,2025-04-02 16:14:12.322602+00:00,mistralai,open-mistral-nemo,0,3450,230,4,7,3,5,1,2,6
f5ef1b5e-843d-4176-b8b7-62c51a21f182,2025-04-02 16:14:16.038958+00:00,mistralai,open-mistral-nemo,0,3450,220,7,6,5,4,2,1,3
33192ba0-01b7-4990-8af9-4900c8c350a6,2025-04-02 16:14:19.339787+00:00,mistralai,open-mistral-nemo,0,3450,221,7,6,4,2,5,3,1
206be7b2-6432-48bf-87c2-7180418f3559,2025-04-02 16:14:22.752739+00:00,mistralai,open-mistral-nemo,0,3450,224,5,6,4,1,3,2,7
e366ae35-e618-49b1-8799-11f7cf233937,2025-04-02 16:14:26.729861+00:00,mistralai,open-mistral-nemo,0,3450,220,7,6,4,1,2,5,3
a888ffa5-781a-4d49-adb9-b834714f7a56,2025-04-02 16:14:30.001086+00:00,mistralai,open-mistral-nemo,0,3444,221,5,4,6,7,2,3,1
72d6ad2a-11ad-49ac-815f-ead95d540cf0,2025-04-02 16:14:35.642507+00:00,mistralai,open-mistral-nemo,0,3450,223,2,7,3,1,4,6,5
8950d4de-f3d7-468b-bbf4-cc1f705167ec,2025-04-02 16:14:39.585579+00:00,mistralai,open-mistral-nemo,0,3450,220,5,6,4,2,3,7,1
3c30ac63-b5be-4ce6-880d-287ea4c09f0d,2025-04-02 16:14:42.895036+00:00,mistralai,open-mistral-nemo,0,3450,221,7,6,2,5,3,4,1
724497a1-5225-438a-8270-e2c436011954,2025-04-02 16:14:46.576300+00:00,mistralai,open-mistral-nemo,0,3450,223,5,6,3,7,2,1,4
55cb9902-7761-4a46-8a77-79c9234c225f,2025-04-02 16:14:57.783466+00:00,mistralai,open-mistral-nemo,0,3444,228,7,6,4,5,3,2,1
1d0da408-4a7a-4a07-9a56-1441986b9182,2025-04-02 16:15:01.386632+00:00,mistralai,open-mistral-nemo,0,3444,224,4,7,3,6,1,2,5
e8a81ca9-4029-48f3-aa53-6a14d9073a2e,2025-04-02 16:15:05.070554+00:00,mistralai,open-mistral-nemo,0,3450,227,7,5,6,4,2,1,3
26383ce8-014d-4c61-806b-97a08121751b,2025-04-02 16:15:08.441861+00:00,mistralai,open-mistral-nemo,0,3450,223,7,5,6,3,2,4,1
