cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
0a83d7c9-4c99-4298-80cf-0d0738580556,2025-03-20 15:36:04.186009+00:00,mistralai,open-mixtral-8x22b,0,3700,258,"Prioritize adaptation policies, support moderate CO2 emission cuts, and emphasize resilience to climate impacts."
78955cfc-a748-46de-8e32-8e1abdb92d66,2025-03-20 15:36:13.487505+00:00,mistralai,open-mixtral-8x22b,0,3700,264,"Prioritized strong CO2 reduction, adaptation policies, and resilience development; opposed economic growth over climate action and maintaining current policies."
4ddea442-d648-46c4-a1ac-fef7f13be024,2025-03-20 15:36:25.946380+00:00,mistralai,open-mixtral-8x22b,0,3698,263,"Prioritize strong CO2 emission cuts, adaptation policies, and resilience-building technologies, while avoiding economic growth-focused policies."
45ced425-db3a-4c85-b3d8-caf92a56e5fc,2025-03-20 15:36:33.143539+00:00,mistralai,open-mixtral-8x22b,0,3702,266,"Prioritize dramatic CO2 cuts, adaptation policies, and resilience-building technologies; oppose economic growth over climate action and inaction."
3fcd4ed5-896b-41c0-b44d-a4c5ab1c34e3,2025-03-20 15:36:40.700009+00:00,mistralai,open-mixtral-8x22b,0,3698,260,"I support dramatic CO2 emission cuts, adaptation policies, and new approaches to enhance resilience to climate change impacts."
fd8ada20-cdc3-4e1d-ab58-04a96f811107,2025-03-20 15:36:49.153912+00:00,mistralai,open-mixtral-8x22b,0,3700,261,"Prioritize dramatic CO2 reduction, support individual/community actions, prepare for climate risk, and prioritize adaptation policies."
df54957c-13f7-47ee-ac58-1ee69653bd55,2025-03-20 15:36:56.544912+00:00,mistralai,open-mixtral-8x22b,0,3700,264,"I support policies that involve a dramatic cut back in CO2 emissions and adaptation policies that target individual, small business or community-based actions."
f5f7d5bb-54aa-41c3-b0b3-114d5661747b,2025-03-25 11:30:08.219659+00:00,mistralai,open-mixtral-8x22b,0,3692,260,"Prioritized policies that involve a dramatic cut in CO2 emissions, adaptation policies targeting individual actions, and moderate CO2 emission cuts."
e358e74c-4d06-4902-b47c-8a67ea17c786,2025-03-25 11:30:13.983686+00:00,mistralai,open-mixtral-8x22b,0,3702,263,"Prioritize strong CO2 emission cuts, adaptation policies, and resilience-building technologies over economic growth-focused policies."
5da62eae-f693-4f41-9cac-5db76542d899,2025-03-25 11:30:20.007286+00:00,mistralai,open-mixtral-8x22b,0,3700,260,I support policies that involve a dramatic cut back in CO2 emissions and preparing for climate risk through new approaches and technologies.
de3973bf-94c7-4440-a2d0-0f0265c6cc7d,2025-03-25 11:30:26.108503+00:00,mistralai,open-mixtral-8x22b,0,3702,263,"Prioritize strong CO2 reduction, support individual/community actions, favor adaptation policies, and reject growth-focused policies."
a3e44139-81d2-4d20-b35a-0ae1583307fd,2025-03-25 11:30:32.215822+00:00,mistralai,open-mixtral-8x22b,0,3702,268,"Prioritise dramatic CO2 cuts, adaptation policies, and resilience-building, while opposing growth-focused policies and maintaining current settings."
485aa087-3686-4661-bffb-2e9ed71c3797,2025-03-25 11:30:37.960532+00:00,mistralai,open-mixtral-8x22b,0,3702,264,"I support policies that involve a dramatic cut in CO2 emissions and adaptation policies that target individual, small business or community-based actions."
b2fb1382-1577-4e41-b5bb-4537637880de,2025-03-25 11:30:42.573578+00:00,mistralai,open-mixtral-8x22b,0,3698,254,"I support dramatic CO2 cuts and adaptation policies, but not at the expense of economic growth."
82ee0ae2-e7a8-4403-bae9-759bd2d37dc8,2025-03-25 11:30:47.183090+00:00,mistralai,open-mixtral-8x22b,0,3700,256,"Prioritized strong climate action, adaptation, and resilience over inaction and economic growth."
a8ad8cbd-2d21-4fa1-b1a4-43c4f34d58fc,2025-03-25 11:30:52.078438+00:00,mistralai,open-mixtral-8x22b,0,3708,270,"Prioritized adaptation policies, moderate CO2 cuts, and individual/community actions; opposed economic growth over climate change and dramatic CO2 cuts."
064eb3ee-a216-47cb-bf15-810d7720277a,2025-03-25 11:30:58.281135+00:00,mistralai,open-mixtral-8x22b,0,3700,267,"Prioritized adaptation policies, moderate CO2 cuts, and dramatic CO2 cuts; opposed policies emphasizing economic growth and leaving policy settings as they are."
42d1efb8-df18-4168-acbc-af425a89a84f,2025-03-25 11:31:04.249964+00:00,mistralai,open-mixtral-8x22b,0,3702,268,"I support dramatic CO2 cuts, adaptation policies, and new approaches to climate risk, while opposing economic growth policies and leaving policy settings as they are."
8bcc69f4-e2ed-4427-810e-cdd6835c8ab3,2025-03-25 11:31:14.605935+00:00,mistralai,open-mixtral-8x22b,0,3700,269,"I support dramatic CO2 cuts, adaptation policies, and new approaches to enhance resilience, while opposing policies that prioritize economic growth over climate change."
09ba085d-5fc7-4645-9bf0-30ce4d1d9bca,2025-03-25 11:31:20.482638+00:00,mistralai,open-mixtral-8x22b,0,3704,269,"Prioritized climate adaptation, moderate CO2 cuts, and individual actions; opposed economic growth over climate, dramatic CO2 cuts, and status quo."
bf700d5a-58ca-4f43-9bdf-69deb49e17d7,2025-03-25 11:31:26.894442+00:00,mistralai,open-mixtral-8x22b,0,3700,261,"Prioritize strong CO2 emission cuts, adaptation policies, and resilience-building over economic growth and maintaining current policies."
93ddf033-3708-4a34-b2b1-88df14005b0a,2025-03-25 11:31:33.039442+00:00,mistralai,open-mixtral-8x22b,0,3700,260,"Prioritized climate adaptation and mitigation policies, with a focus on dramatic CO2 emission cuts and adaptation expenditure."
a7d3b63c-65ee-420b-a741-9e8feea21536,2025-03-25 11:31:38.921339+00:00,mistralai,open-mixtral-8x22b,0,3710,268,"Prioritize dramatic CO2 emission cuts, adaptation policies, and resilience-building over maintaining current policies or emphasizing economic growth."
0ff9da28-ad21-40c3-b699-5f0588b61832,2025-03-25 11:31:44.444715+00:00,mistralai,open-mixtral-8x22b,0,3699,263,"Prioritize dramatic CO2 cuts, adaptation policies, and resilience development, while avoiding economic growth policies and maintaining current settings."
59d06801-a198-477c-bb7c-b08f762e46ee,2025-03-25 11:31:50.855159+00:00,mistralai,open-mixtral-8x22b,0,3698,260,"Prioritize strong CO2 emission cuts, adaptation policies, and resilience-building technologies over economic growth and inaction."
4d0815b8-6914-4c33-a302-8414ddfdb78b,2025-03-25 11:31:56.793654+00:00,mistralai,open-mixtral-8x22b,0,3700,263,"Prioritized adaptation policies, moderate CO2 cuts, and community-based actions; opposed economic growth policies and dramatic CO2 cuts."
363a89cb-ab56-478f-838f-89e88549727e,2025-03-27 11:41:34.918999+00:00,mistralai,open-mixtral-8x22b,0,3698,266,"Prioritise dramatic CO2 cuts, adaptation policies, and new resilience technologies; oppose economic growth over climate action and maintaining status quo."
0faca0bb-89e9-4b1e-bbdf-9b2217deef35,2025-03-27 11:41:40.110972+00:00,mistralai,open-mixtral-8x22b,0,3702,261,"Prioritize dramatic CO2 cuts, adaptation policies, and resilience-building measures over economic growth and inaction."
2e6bd063-f94a-4a26-ad3c-e72087ed1929,2025-03-27 11:41:45.632320+00:00,mistralai,open-mixtral-8x22b,0,3700,262,"Prioritize strong CO2 reduction, support individual/community actions, and adaptation policies, while avoiding economic growth over climate change."
dbf57e1a-572c-4404-b967-c922bd8c9a99,2025-03-27 11:41:54.441197+00:00,mistralai,open-mixtral-8x22b,0,3697,260,"Prioritized strong climate action, adaptation, and resilience over inaction and economic growth without climate considerations."
087a67e5-5afd-43ac-a764-f637fb895277,2025-03-27 11:41:59.129543+00:00,mistralai,open-mixtral-8x22b,0,3702,263,"I support dramatic CO2 cuts and adaptation policies, but prioritize economic growth and new approaches to climate risk over current policy settings."
2b7c29de-bb22-455d-a55c-7dda42c7d2cb,2025-03-27 11:42:04.589174+00:00,mistralai,open-mixtral-8x22b,0,3698,260,"I support dramatic CO2 emission cuts and adaptation policies, while opposing policies that prioritize economic growth over climate change."
