cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
f2057572-8961-4698-9244-2c109e623e7d,2025-03-20 15:42:22.455676+00:00,mistralai,open-mixtral-8x22b,0,3797,246,"Prioritize radical CO₂ reduction, adaptation policies, and new resilience technologies; oppose economic growth over climate action and inaction."
fb91d514-fed4-40ef-995d-a50e448095f6,2025-03-20 15:42:30.895160+00:00,mistralai,open-mixtral-8x22b,0,3797,249,"Prioritize adaptation policies, community-based actions, and new approaches for resilience; oppose economic growth over climate change and radical emission reductions."
6429a490-5125-42c1-aa3f-b200a507e5ba,2025-03-20 15:42:38.031374+00:00,mistralai,open-mixtral-8x22b,0,3797,244,"I support radical CO₂ emission reduction policies and individual adaptation actions, while opposing economic growth-focused policies and inaction."
91034ade-b638-497e-a413-00faef5ff7d5,2025-03-20 15:42:48.707093+00:00,mistralai,open-mixtral-8x22b,0,3797,245,"Prioritize moderate CO₂ reduction, adaptation policies, and individual/community actions; least support for economic growth policies and no change."
71b9d0cc-78ad-4147-8018-697a466c09a2,2025-03-20 15:42:56.368773+00:00,mistralai,open-mixtral-8x22b,0,3797,244,"Prioritize strong CO₂ reduction, resilience development, and community-based adaptation over economic growth and moderate CO₂ reduction."
1fedc703-e3e5-4673-af84-0b90a25e2e01,2025-03-20 15:43:03.456297+00:00,mistralai,open-mixtral-8x22b,0,3797,245,"Prioritize radical CO₂ reduction, adaptation policies, and resilience building; oppose economic growth over climate action and inaction."
641c3734-c788-4909-9a30-81f61a24db45,2025-03-20 15:43:11.219508+00:00,mistralai,open-mixtral-8x22b,0,3797,249,"Prioritized adaptation policies, moderate CO₂ reduction, and new approaches for climate resilience; opposed economic growth over climate action and no policy changes."
d4aec475-95bf-4170-a0e2-fd8f4a0c71f2,2025-03-20 15:43:18.939332+00:00,mistralai,open-mixtral-8x22b,0,3797,247,"Prioritized adaptation policies, moderate CO₂ reduction, and resilience building; opposed economic growth over climate action and radical CO₂ reduction."
f97ada3e-7993-4587-84ac-fa6ea17440cd,2025-03-25 11:41:24.505949+00:00,mistralai,open-mixtral-8x22b,0,3797,251,"Prioritize moderate CO₂ reduction, community-based actions, adaptation policies, and resilience development; deemphasize economic growth and radical CO₂ reduction."
1a61d62b-bc03-4698-a7a9-53a35404572f,2025-03-25 11:41:30.332026+00:00,mistralai,open-mixtral-8x22b,0,3797,247,"Prioritize moderate CO₂ reduction, adaptation policies, and community-based actions; oppose economic growth over climate change and radical CO₂ reduction."
ac465ac8-0c27-4dfd-a8dd-6d502e1250ce,2025-03-25 11:41:36.296078+00:00,mistralai,open-mixtral-8x22b,0,3797,246,"Prioritized adaptation policies, moderate CO₂ reduction, and new resilience approaches; opposed inaction and economic growth over climate action."
c29c4f81-8e6b-46dd-95e2-ac51d928e730,2025-03-25 11:41:40.974212+00:00,mistralai,open-mixtral-8x22b,0,3797,242,"Prioritize radical CO₂ reduction, resilience-building, and adaptation policies over economic growth and moderate emission cuts."
70e4ab8b-1a05-484b-b560-cf36fd8c330e,2025-03-25 11:41:45.508136+00:00,mistralai,open-mixtral-8x22b,0,3797,246,"Prioritize radical CO₂ reduction, adaptation policies, and new resilience technologies; oppose economic growth over climate action and inaction."
60f3e1cd-3b33-4554-85d3-62fec98a9f38,2025-03-25 11:41:49.687794+00:00,mistralai,open-mixtral-8x22b,0,3797,275,"I support radical CO₂ emission reduction policies the most, followed by individual adaptation policies, moderate emission reduction policies, and adaptation policies with planning controls and emergency response programs. I do not support leaving policy settings as they are or prioritizing economic growth over climate change adaptation or mitigation."
9bc2266a-83a7-4e23-a6a9-bb2872d1eb57,2025-03-25 11:41:54.834850+00:00,mistralai,open-mixtral-8x22b,0,3797,241,"Prioritize adaptation, support moderate CO₂ reduction, and focus on individual/community actions for resilience."
02bcd449-36ee-4de7-a609-7a411dcc5ca5,2025-03-25 11:42:01.054858+00:00,mistralai,open-mixtral-8x22b,0,3797,246,"Prioritize radical CO₂ reduction, adaptation policies, and resilience-building; oppose economic growth over climate action and inaction."
c78137f1-cfc6-405f-b2d2-eb5466fc1f25,2025-03-25 11:42:06.070303+00:00,mistralai,open-mixtral-8x22b,0,3797,250,"Prioritize radical CO₂ reduction, adaptation policies, and new resilience technologies; oppose economic growth over climate action and leaving policy settings as they are."
581cbc31-02a4-4c34-a3db-88511eb15e86,2025-03-25 11:42:15.998517+00:00,mistralai,open-mixtral-8x22b,0,3797,242,"Prioritize adaptation policies, emergency response, and moderate CO₂ reduction; support new resilience approaches and individual actions."
48a5a354-30a9-440b-ba69-5c71bfc524da,2025-03-25 11:42:20.558951+00:00,mistralai,open-mixtral-8x22b,0,3797,252,"Prioritize radical CO₂ reduction, resilience development, moderate CO₂ reduction, individual/community actions, and adaptation policies over economic growth and status quo."
5e013641-fed0-4756-b8b3-0a307523fa87,2025-03-25 11:42:27.647471+00:00,mistralai,open-mixtral-8x22b,0,3797,240,"Prioritize radical CO₂ reduction, resilience development, and adaptation policies over economic growth and inaction."
2ab8fb21-bd19-4bd1-9365-291749e12336,2025-03-25 11:42:33.526318+00:00,mistralai,open-mixtral-8x22b,0,3797,236,"Prioritize adaptation policies, new approaches, and moderate to radical CO₂ emission reductions."
9fab3b60-d06a-44d7-bc45-9660a5157ddd,2025-03-25 11:42:39.090666+00:00,mistralai,open-mixtral-8x22b,0,3797,241,"Prioritize radical CO₂ reduction, followed by moderate reduction, adaptation policies, and new approaches for climate risk preparation."
bb6f6321-b48c-4b52-919e-4a04d1aa1aa0,2025-03-25 11:42:43.958369+00:00,mistralai,open-mixtral-8x22b,0,3797,239,"Prioritize radical CO₂ reduction, support individual/community actions, and adaptation policies over economic growth."
