cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
8f7b6959-83e2-4cf3-bf0e-05c5e1c6c704,2025-03-20 15:40:47.772517+00:00,mistralai,open-mixtral-8x22b,0,3676,241,6,7,3,4,1,2,5
40fad0b8-2404-4f84-b4dd-9908adc38d1e,2025-03-20 15:40:59.905968+00:00,mistralai,open-mixtral-8x22b,0,3676,247,7,6,4,1,2,3,5
a84caea1-ca7a-4cc3-8545-412d86e6e4e3,2025-03-20 15:41:07.295754+00:00,mistralai,open-mixtral-8x22b,0,3676,235,7,6,3,1,4,2,5
4afeb53d-b6f2-40e7-9c17-ab2cac5cfdc7,2025-03-20 15:41:14.887415+00:00,mistralai,open-mixtral-8x22b,0,3676,235,7,6,3,1,5,2,4
9af58916-6d13-4fba-abe8-0bd6f7312b97,2025-03-20 15:41:21.982664+00:00,mistralai,open-mixtral-8x22b,0,3676,232,7,6,4,2,3,1,5
f3e4d16b-9c1c-475f-b854-b745eda26d77,2025-03-25 11:38:00.641139+00:00,mistralai,open-mixtral-8x22b,0,3676,238,6,7,3,5,2,1,4
60b0d85c-efe7-4ddf-a527-b4485dd301e7,2025-03-25 11:38:06.165825+00:00,mistralai,open-mixtral-8x22b,0,3676,239,7,6,5,4,1,2,3
b564455a-963c-46c7-8b02-9c3ca02ab474,2025-03-25 11:38:11.412155+00:00,mistralai,open-mixtral-8x22b,0,3676,241,6,7,5,4,1,2,3
3916ec8c-726d-4685-9a44-6ee928fe2019,2025-03-25 11:38:15.468171+00:00,mistralai,open-mixtral-8x22b,0,3676,242,7,6,5,1,2,3,4
7597330a-c139-42a2-b811-ca2043530f6f,2025-03-25 11:38:21.200632+00:00,mistralai,open-mixtral-8x22b,0,3676,242,6,7,2,5,4,1,3
f0076b9d-3842-4d81-964b-7de581bf1c23,2025-03-25 11:38:26.071230+00:00,mistralai,open-mixtral-8x22b,0,3676,243,7,6,3,1,2,4,5
6b65b40d-6dad-4737-bcdf-59be8d1f9dd6,2025-03-25 11:38:30.617212+00:00,mistralai,open-mixtral-8x22b,0,3676,241,7,3,5,1,2,4,6
942ccfda-31a5-4917-87d7-d8c431dcfae1,2025-03-25 11:38:35.640970+00:00,mistralai,open-mixtral-8x22b,0,3676,231,7,6,3,1,2,4,5
271b09ac-3567-46c2-a460-4390c180ebb9,2025-03-25 11:38:40.559053+00:00,mistralai,open-mixtral-8x22b,0,3676,233,7,6,4,3,2,1,5
a1698fcf-d6c3-45d6-8f4e-e9a90c86db22,2025-03-25 11:38:46.030616+00:00,mistralai,open-mixtral-8x22b,0,3676,238,6,7,4,1,3,2,5
82b8f158-0d7f-49d3-b6d8-6071da4d5ae3,2025-03-25 11:38:52.124893+00:00,mistralai,open-mixtral-8x22b,0,3676,238,7,6,4,1,2,3,5
485eafb6-7608-4c32-a7a1-8cd5ea6fc895,2025-03-25 11:38:57.349577+00:00,mistralai,open-mixtral-8x22b,0,3676,241,5,7,2,1,6,3,4
491d0894-2b88-46bf-9a51-6a40d697b85a,2025-03-25 11:39:02.469763+00:00,mistralai,open-mixtral-8x22b,0,3676,238,6,7,5,2,3,1,4
437f196c-f093-425d-b9fd-950be6ce8ca6,2025-03-25 11:39:06.770523+00:00,mistralai,open-mixtral-8x22b,0,3676,248,6,7,2,1,3,5,4
d3c70db3-a7aa-4e03-aa0f-5d7c3614e7c0,2025-03-25 11:39:11.453159+00:00,mistralai,open-mixtral-8x22b,0,3676,239,6,7,4,1,2,3,5
8877ba26-1b4e-4769-a170-7df772751d62,2025-03-25 11:39:15.870562+00:00,mistralai,open-mixtral-8x22b,0,3676,238,6,7,5,1,2,3,4
d5a44eac-5c48-4248-9185-bdd89a4d778a,2025-03-25 11:39:21.823240+00:00,mistralai,open-mixtral-8x22b,0,3676,240,7,6,4,1,2,3,5
0d8793ee-0bce-44e2-bc77-124454eb436f,2025-03-25 11:39:26.172312+00:00,mistralai,open-mixtral-8x22b,0,3676,241,7,6,4,5,1,2,3
c4d78e5f-8d79-44d0-9ced-e8980a00c4c1,2025-03-25 11:39:31.450034+00:00,mistralai,open-mixtral-8x22b,0,3676,237,7,6,3,1,4,5,2
d40addd3-2427-4475-9a33-5b4b79b7d557,2025-03-25 11:39:38.001455+00:00,mistralai,open-mixtral-8x22b,0,3676,243,6,7,3,1,2,5,4
c8219a58-8066-4b5f-9b5b-8008d4ef42d0,2025-03-27 11:44:06.586850+00:00,mistralai,open-mixtral-8x22b,0,3676,237,7,6,4,1,2,3,5
b78761dd-8317-4ff3-b1ab-9435399b665c,2025-03-27 11:44:11.250346+00:00,mistralai,open-mixtral-8x22b,0,3676,237,6,7,5,1,2,4,3
24e4e6af-8402-4804-be21-8c18df62e127,2025-03-27 11:44:15.316753+00:00,mistralai,open-mixtral-8x22b,0,3676,239,7,6,4,1,3,2,5
2268d2b4-6297-46e3-ac11-df8d0eb3f312,2025-03-27 11:44:20.749478+00:00,mistralai,open-mixtral-8x22b,0,3676,237,7,6,5,4,3,1,2
e7e4a401-5aa2-4073-8e22-d54bfa3d67b5,2025-03-27 11:44:25.695178+00:00,mistralai,open-mixtral-8x22b,0,3676,235,7,6,5,1,3,2,4
bd1b22d5-dfe2-4406-9625-3e557d227f98,2025-03-27 11:44:30.074194+00:00,mistralai,open-mixtral-8x22b,0,3676,237,7,6,2,1,3,4,5
