cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
dd55600f-1144-4786-a097-342fdf1c6594,2025-03-26 07:52:35.861286+00:00,openai,gpt-4-turbo,0,3266,222,"Prioritized dramatic CO2 cuts and resilience tech, least favoring status quo and growth over climate action."
a23313eb-fb8c-4689-a15a-c537ddf91cf8,2025-03-26 07:52:43.095780+00:00,openai,gpt-4-turbo,0,3266,216,"Prioritized aggressive CO2 cuts and adaptation, least favor maintaining current policies."
c4f13e38-b50c-49cc-a4da-9a9cd4f93b0f,2025-04-01 08:12:23.031937+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized strong emission cuts and adaptation, least favoring status quo and growth over climate action."
0920ed71-3b4a-4f06-a5c1-0665d0b52c36,2025-04-01 08:12:40.597632+00:00,openai,gpt-4-turbo,0,3266,216,"Prioritized aggressive CO2 cuts and adaptation, least favor maintaining current policies."
d6f5191a-8e0f-4e21-ac27-c016bb5f7ac6,2025-04-01 08:12:52.949047+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic focus and status quo policies."
c7099520-44fc-4b6d-92ab-78914851b5e8,2025-04-01 08:13:04.017100+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized strong emission cuts and adaptation, least favoring status quo and economic prioritization."
cf13518c-8ef3-4e7c-832a-5fa2bb178675,2025-04-01 08:13:13.279651+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized aggressive CO2 cuts and adaptation, least favor maintaining current policies or prioritizing growth."
73b5e04a-a1b9-4ff1-a6ff-52b91a63149e,2025-04-01 08:13:23.598616+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized aggressive CO2 cuts and adaptation, least favoring status quo and economic prioritization."
612d3d9a-fe62-4843-a2bb-7e872a31bf26,2025-04-01 08:13:32.764283+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized aggressive CO2 cuts and adaptation, least favor maintaining current policies or prioritizing growth."
f0af4fc5-f94c-4b14-90d9-4db4eaf832a5,2025-04-01 08:13:44.491158+00:00,openai,gpt-4-turbo,0,3266,221,"Prioritized aggressive CO2 cuts and adaptation, least favoring status quo and growth over climate action."
c8239891-e087-4f0f-b2e4-91d778fb5cc0,2025-04-01 08:13:58.920159+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic focus and status quo."
1316d03f-d19b-495b-addc-5274b9047d0d,2025-04-01 08:14:07.453229+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized strong CO2 reduction and resilience technologies, least favoring economic focus and status quo."
167291ac-54e3-41a5-9fbb-21dc82814c82,2025-04-03 11:38:54.002999+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic focus and status quo."
05de7952-dcce-465b-9c46-8998bd20d00a,2025-04-03 11:39:03.277107+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 reduction and resilience, least favoring economic growth over climate action."
ca8c1533-7950-41fd-9ac4-6ab28df523f6,2025-04-03 11:39:14.492640+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized drastic CO2 cuts and adaptation, least favoring status quo and economic growth focus."
fb1b76c3-969a-4544-80f5-2b40b88e0874,2025-04-03 11:39:24.310729+00:00,openai,gpt-4-turbo,0,3266,220,"Prioritized dramatic CO2 cuts and adaptation, least support for economic growth focus and status quo."
2a3ef315-4943-4340-9794-4e8ba7e00d11,2025-04-03 11:39:32.901701+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic focus and status quo."
32c804a9-ca94-4130-9757-3449ceca92d7,2025-04-03 11:39:44.592662+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized aggressive CO2 cuts and adaptation, least favor economic growth over climate action."
1e6e945f-283a-420e-a7ff-cb54b25e00ee,2025-04-03 11:39:54.461182+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized direct action and adaptation, least favoring economic prioritization and status quo."
4ef684c0-9d3f-4690-852a-42623646e019,2025-04-03 11:40:05.600326+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized strong emission cuts and resilience, least favoring status quo and economy over climate."
ee09f24f-b370-487a-b896-b1d8a342813e,2025-04-03 11:40:20.607097+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic growth over climate action."
6376b6cf-d675-4f3b-a447-aaad61fe6f77,2025-04-03 11:40:29.137519+00:00,openai,gpt-4-turbo,0,3266,221,"Prioritized dramatic CO2 cuts and resilience, least favoring status quo and growth over climate action."
bbbaba28-a15c-4294-84e8-e810675ebcce,2025-04-03 11:40:39.364843+00:00,openai,gpt-4-turbo,0,3266,217,"Prioritized strong emission cuts and adaptation, least favor policies that ignore climate change."
9b1fd87b-363e-4ab9-ae72-6cb767d32cbe,2025-04-03 11:40:48.022507+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized aggressive CO2 cuts and adaptation, least favor economic growth over climate action."
50599a22-3407-416d-8147-ea3ceaecfd2e,2025-04-03 11:40:57.336619+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized dramatic CO2 cuts and adaptation, least favored economic growth over climate action."
4ad9bc02-1ebf-42eb-90c2-6a791b804f67,2025-04-03 11:41:06.270669+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and adaptation, least favoring economic focus and status quo."
62c3d24d-fbc5-44ff-9ed1-23afe252e768,2025-04-03 11:41:15.373920+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized aggressive CO2 cuts and adaptation, least favor economic growth over climate action."
3b2c8ea5-056e-433c-90e1-d7c74c6d5e62,2025-04-03 11:41:25.720725+00:00,openai,gpt-4-turbo,0,3266,219,"Prioritized aggressive CO2 cuts and resilience technologies, least favored status quo and growth emphasis."
521be567-ff99-4d77-ad2e-b1a3d1243db4,2025-04-03 11:41:34.933321+00:00,openai,gpt-4-turbo,0,3266,217,"Prioritized dramatic CO2 cuts and resilience technologies, least favor economic growth emphasis."
72b597c3-fa48-4506-be73-bdb0ea713cc6,2025-04-03 11:41:42.736629+00:00,openai,gpt-4-turbo,0,3266,218,"Prioritized aggressive CO2 cuts and adaptation, least favor economic growth over climate action."
