cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
792a7683-ed77-4015-ba79-d7c812cefcb0,2025-03-26 07:54:58.298382+00:00,openai,gpt-4-turbo,0,3353,219,6,7,3,2,1,4,5
fbf632c2-fdb8-49fd-bc23-82b0c3230136,2025-03-26 07:55:13.804106+00:00,openai,gpt-4-turbo,0,3353,218,5,6,2,7,4,3,1
166297b3-6b19-49db-a408-9ecf00ad53ae,2025-04-01 08:24:53.417398+00:00,openai,gpt-4-turbo,0,3353,218,4,7,5,1,6,3,2
df827492-4c7b-4bf8-a1ad-e21627560eba,2025-04-01 08:25:01.562056+00:00,openai,gpt-4-turbo,0,3353,218,7,5,6,4,1,3,2
cd3289c0-ac9e-4c29-8921-1e65857292d9,2025-04-01 08:25:09.680372+00:00,openai,gpt-4-turbo,0,3353,220,7,6,2,1,5,4,3
a537f128-3896-4208-ae87-9cb81823ffec,2025-04-01 08:25:18.474622+00:00,openai,gpt-4-turbo,0,3353,220,7,4,6,1,3,2,5
0fca50b1-fd5f-46b4-9bad-435889e7dc2b,2025-04-01 08:25:27.517600+00:00,openai,gpt-4-turbo,0,3353,218,7,6,4,1,3,5,2
85a6f1f2-a253-46b1-a1c1-7d42e7e074e8,2025-04-01 08:25:35.733277+00:00,openai,gpt-4-turbo,0,3353,218,6,7,4,1,3,5,2
4dfe36b6-1944-458e-ba01-a076562616aa,2025-04-01 08:25:43.785642+00:00,openai,gpt-4-turbo,0,3353,220,7,6,3,1,5,2,4
fd3de5dc-f3be-47c6-9702-7645bf49e8d7,2025-04-01 08:25:51.704012+00:00,openai,gpt-4-turbo,0,3353,219,7,6,3,2,5,4,1
54defad9-3c05-4f24-8b23-5b10219bc36c,2025-04-01 08:25:59.939278+00:00,openai,gpt-4-turbo,0,3353,218,6,5,7,3,2,4,1
9b3a559d-8a87-409d-ad67-1e015f5b8def,2025-04-01 08:26:08.785114+00:00,openai,gpt-4-turbo,0,3353,215,7,5,6,3,4,2,1
56399e79-50fb-40ab-9ae0-2d556a1ba459,2025-04-03 12:01:58.028660+00:00,openai,gpt-4-turbo,0,3353,218,7,6,3,2,4,1,5
68a3f3db-9012-4f57-9560-cb1a55727664,2025-04-03 12:02:07.830004+00:00,openai,gpt-4-turbo,0,3353,220,7,6,5,1,2,3,4
a6ff6f53-078b-4633-8531-2d276b25534a,2025-04-03 12:02:16.976233+00:00,openai,gpt-4-turbo,0,3353,217,7,2,3,4,6,1,5
d76f4d24-7b33-4be8-9c2a-6a1492c6a49b,2025-04-03 12:02:26.818517+00:00,openai,gpt-4-turbo,0,3353,220,7,4,6,1,3,5,2
df5aca57-ecdd-4888-9566-67e7e0d4bb53,2025-04-03 12:02:41.134464+00:00,openai,gpt-4-turbo,0,3353,219,7,6,4,1,2,5,3
3e354f7e-2a35-41df-9ed5-4c01fa65e696,2025-04-03 12:02:51.302044+00:00,openai,gpt-4-turbo,0,3353,219,6,5,3,2,4,7,1
ecf8ecae-080e-46a9-b269-1bafbace6601,2025-04-03 12:03:00.869107+00:00,openai,gpt-4-turbo,0,3353,219,3,1,6,5,4,2,7
f8abf57a-cd14-42f0-9b7f-5def29b32a87,2025-04-03 12:03:10.458570+00:00,openai,gpt-4-turbo,0,3353,220,7,6,2,1,4,5,3
d1dab023-6fb4-4831-b448-532423a14d44,2025-04-03 12:03:19.467079+00:00,openai,gpt-4-turbo,0,3353,216,7,6,4,1,2,5,3
464a31a8-556a-4599-8592-8a6aa8b1efe9,2025-04-03 12:03:28.312417+00:00,openai,gpt-4-turbo,0,3353,221,6,7,3,2,5,1,4
2f6dc3d9-97b3-47af-b771-828ccbae221d,2025-04-03 12:03:38.227776+00:00,openai,gpt-4-turbo,0,3353,220,7,6,2,1,4,5,3
5cccc4a5-63e5-4c59-9e88-035564dd5161,2025-04-03 12:03:47.265090+00:00,openai,gpt-4-turbo,0,3353,215,6,7,5,2,1,3,4
02ce1425-3bc4-42ed-abf8-e0ae89d13050,2025-04-03 12:03:57.584498+00:00,openai,gpt-4-turbo,0,3353,220,6,5,7,2,4,3,1
a8dcdc86-05de-442f-afc2-7baabf3ce73e,2025-04-03 12:04:06.500525+00:00,openai,gpt-4-turbo,0,3353,220,6,7,2,1,3,4,5
553895be-a213-4f16-9222-58eb30a9a6da,2025-04-03 12:04:15.790532+00:00,openai,gpt-4-turbo,0,3353,218,7,5,4,3,1,6,2
917a7157-6cc7-4c1c-a57d-3f9adfe39084,2025-04-03 12:04:24.146958+00:00,openai,gpt-4-turbo,0,3353,221,6,7,5,4,1,3,2
4df7c967-b5f4-477b-aee9-30298d996bca,2025-04-03 12:04:35.994551+00:00,openai,gpt-4-turbo,0,3353,217,5,7,4,1,3,6,2
8263d024-891b-4333-8b95-9106b0c93003,2025-04-03 12:04:47.437173+00:00,openai,gpt-4-turbo,0,3353,218,7,2,1,4,3,6,5
