cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. Invest in innovation and the development of environmentally-friendly practices and industries (e.g. eco-tourism, sustainable agriculture). ",P2. Reduce funding for extractive and resource-intensive industries. ,"P3. No new coal mines, close all existing coal-fired power plants as soon as possible.","P4. Strengthen environmental protection regulations, such as regulation around mining and agriculture, to better protect the reef.",P5. Maintain current levels of environmental protection.,P6. Reduce current environmental regulations to boost local business.,"P7. Maintain current mixture of industries, land uses and practices (e.g. mining, refineries, agriculture and tourism)."
da416587-984b-44d7-b86c-1d1d4e95778c,2025-03-26 07:56:58.906327+00:00,openai,gpt-4-turbo,0,3606,223,5,7,1,3,4,6,2
94008796-c4f7-4859-84e9-cb225d8f9c8f,2025-03-26 07:57:07.412738+00:00,openai,gpt-4-turbo,0,3606,223,3,5,2,1,4,7,6
d826f9ed-9cc8-460e-8af3-c6f9924bd2ff,2025-04-01 08:35:05.912058+00:00,openai,gpt-4-turbo,0,3606,226,3,4,2,1,7,5,6
0bf9c57f-9cf4-4409-9248-dda93c422bfe,2025-04-01 08:35:15.879298+00:00,openai,gpt-4-turbo,0,3606,223,3,6,1,2,4,7,5
f9c2644e-79b3-455a-9d20-7b6f57126258,2025-04-01 08:35:27.049673+00:00,openai,gpt-4-turbo,0,3606,225,1,7,3,2,6,5,4
a2cc859f-db4e-4eaf-934c-b205424a3008,2025-04-01 08:35:38.165977+00:00,openai,gpt-4-turbo,0,3606,223,1,5,2,3,6,4,7
6d627d2d-e9b0-4501-b952-04fe9ed8e1b2,2025-04-01 08:35:55.307373+00:00,openai,gpt-4-turbo,0,3606,223,1,5,2,3,4,6,7
214528dc-f05e-4c53-b107-2ffa355083f7,2025-04-01 08:36:07.447074+00:00,openai,gpt-4-turbo,0,3606,224,3,5,1,2,4,6,7
e4bab1ed-ad91-49b7-8881-0d471c3c8061,2025-04-01 08:36:16.095951+00:00,openai,gpt-4-turbo,0,3606,226,1,4,3,2,6,5,7
af6200e3-bc62-42e0-9ea5-b9dfe14df88a,2025-04-01 08:36:26.526393+00:00,openai,gpt-4-turbo,0,3606,225,4,2,1,3,5,7,6
a96781ee-a418-40f3-bb4d-1d4c1acbc311,2025-04-01 08:36:38.590829+00:00,openai,gpt-4-turbo,0,3606,222,3,1,6,2,4,7,5
7768bbf2-46bf-4629-aaa3-29889b69b22d,2025-04-01 08:36:47.406487+00:00,openai,gpt-4-turbo,0,3606,222,2,3,1,4,6,5,7
2beeff17-28ed-4f69-9d50-cea88a9ce698,2025-04-03 12:23:51.581712+00:00,openai,gpt-4-turbo,0,3606,222,2,5,6,1,3,7,4
07f104a0-aff6-49b5-8c59-4cafe145422c,2025-04-03 12:24:00.479916+00:00,openai,gpt-4-turbo,0,3606,225,3,6,1,2,5,7,4
9b42e052-a749-4eb0-b5e5-28644e60450e,2025-04-03 12:24:16.139122+00:00,openai,gpt-4-turbo,0,3606,223,7,4,3,5,2,1,6
46eb077c-5bd1-4614-9ba8-03c8fb1d2fef,2025-04-03 12:24:27.180141+00:00,openai,gpt-4-turbo,0,3606,226,1,2,4,3,5,6,7
bceb78ac-d756-43a3-8667-c123b13e3f18,2025-04-03 12:24:36.733484+00:00,openai,gpt-4-turbo,0,3606,224,3,4,1,7,5,6,2
daa974be-1cc0-4cfe-8038-e5236f9f6a0b,2025-04-03 12:24:47.100056+00:00,openai,gpt-4-turbo,0,3606,222,2,3,4,1,5,6,7
452cc7e5-54ae-49db-b880-6a3916e46597,2025-04-03 12:24:58.025066+00:00,openai,gpt-4-turbo,0,3606,222,1,6,3,2,5,7,4
78592315-84d3-4a6f-a933-04c1d4f68845,2025-04-03 12:25:07.677591+00:00,openai,gpt-4-turbo,0,3606,226,3,5,1,2,4,7,6
d5780282-f9d0-4cb9-a0bc-f4445d934393,2025-04-03 12:25:20.537880+00:00,openai,gpt-4-turbo,0,3606,225,4,3,2,1,5,7,6
eab9f16d-b54d-4fd6-aa10-359b43b40bf6,2025-04-03 12:25:30.755533+00:00,openai,gpt-4-turbo,0,3606,226,3,4,1,2,6,7,5
94d503c6-cd9a-4ab6-997f-ab8059685438,2025-04-03 12:25:45.901236+00:00,openai,gpt-4-turbo,0,3606,224,6,3,5,4,2,1,7
f9674a9f-9934-4603-a209-69c07d0eb023,2025-04-03 12:26:05.705052+00:00,openai,gpt-4-turbo,0,3606,225,3,4,1,2,7,6,5
6ef965f3-e795-4438-9d66-d177e34e3503,2025-04-03 12:26:19.839481+00:00,openai,gpt-4-turbo,0,3606,223,2,4,1,3,6,5,7
51483404-bc44-4599-b8a7-950c0957b5b1,2025-04-03 12:26:35.483190+00:00,openai,gpt-4-turbo,0,3606,225,3,6,1,2,5,7,4
346edaf8-fc0d-496e-b363-5a741cd7c2c2,2025-04-03 12:26:44.585147+00:00,openai,gpt-4-turbo,0,3606,226,2,3,4,1,5,7,6
186e884a-6a03-4331-9afa-73fafc65e1b1,2025-04-03 12:26:55.109471+00:00,openai,gpt-4-turbo,0,3606,223,1,6,3,2,4,7,5
0c7f67d1-a255-4b79-92e2-fd9587c1cc4a,2025-04-03 12:27:07.770610+00:00,openai,gpt-4-turbo,0,3606,222,2,4,1,3,5,7,6
2d6459c9-7a7c-4d55-9f8f-c4e591543988,2025-04-03 12:41:48.255172+00:00,openai,gpt-4-turbo,0,3606,226,3,4,2,1,5,6,7
