cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
d733ce90-4943-4b41-8257-884a64b1dcbd,2025-04-08 14:19:46.609104+00:00,openai,gpt-4.5-preview,0,4148,265,"Moderate sustainable regulation balances sustainability, resilience, and local farmer support."
bf397497-a331-4f11-92b6-812076ba2d81,2025-04-08 14:52:10.709069+00:00,openai,gpt-4.5-preview,0,4145,265,"Moderate sustainable regulation balances environment, economy, and food security best."
ae090786-1431-4e6d-bac1-58bb9201ff0f,2025-04-08 14:52:41.970705+00:00,openai,gpt-4.5-preview,0,4148,267,"Prefer local incentives, moderate regulation, adaptation; oppose deregulation or status quo."
805dc2e3-e88f-4aa1-9d4c-f7f3636fea81,2025-04-08 14:53:11.025371+00:00,openai,gpt-4.5-preview,0,4145,265,"Moderate sustainable policies balance sustainability, practicality, and local producer support."
c5edbf9d-e500-4f86-bf2a-806e7361b17c,2025-04-08 14:53:40.445317+00:00,openai,gpt-4.5-preview,0,4148,266,"Prefer local sustainable incentives, moderate regulation, and climate adaptation; oppose deregulation"
4b46d841-021b-4ace-95c1-e70a25223fcc,2025-04-08 14:54:08.278538+00:00,openai,gpt-4.5-preview,0,4148,265,"Prefer strong sustainable local incentives, moderate regulation, and climate adaptation measures."
8cbf5bed-84f4-4d9a-9458-5d8855f83c1c,2025-04-10 08:12:26.091751+00:00,openai,gpt-4.5-preview,0,4145,264,"Moderate sustainable regulation balances environment, economy, and practicality best."
f8cfb6aa-4895-4d7a-8ff9-8b43bf17691c,2025-04-10 08:12:40.314784+00:00,openai,gpt-4.5-preview,0,4148,267,Moderate sustainable regulation and local incentives preferred; status quo and deregulation least.
6e936b6f-c4e8-4006-821f-37c417c0747f,2025-04-10 08:12:53.906919+00:00,openai,gpt-4.5-preview,0,4145,265,"Moderate sustainable policies best balance environment, economy, and food security."
dfc468e6-858e-4a2d-a773-0ded7253a3ea,2025-04-10 08:13:08.487122+00:00,openai,gpt-4.5-preview,0,4148,266,"Prefer local sustainable incentives, moderate regulation, and climate adaptation; oppose deregulation"
67b83047-8e9e-4e00-ba76-5cdd0aa6627a,2025-04-10 08:13:22.717520+00:00,openai,gpt-4.5-preview,0,4148,266,"Moderate sustainable policies balance environment, economy, resilience; radical too restrictive."
