cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
106ba5cd-1a8f-45c0-a1ec-cae51fb6df4b,2025-04-08 14:40:06.508208+00:00,openai,gpt-4.5-preview,0,3231,206,6,1,5,4,7,3,2
7f7441b0-c9fd-48a3-be4f-13a25f803fea,2025-04-08 14:40:37.769235+00:00,openai,gpt-4.5-preview,0,3231,208,7,6,1,2,5,3,4
b6aa48aa-7fc6-4093-a9f8-460dcafbd61d,2025-04-08 14:41:09.300277+00:00,openai,gpt-4.5-preview,0,3231,208,6,5,4,7,2,3,1
ad2036d8-5d89-41a8-bd0f-619edd222383,2025-04-08 14:41:34.938350+00:00,openai,gpt-4.5-preview,0,3231,207,3,5,7,1,2,4,6
e6bc88d8-49cc-42e5-8765-a6c62057e954,2025-04-08 14:42:04.678952+00:00,openai,gpt-4.5-preview,0,3231,208,3,7,5,2,6,1,4
106a6dde-c518-461e-94c9-e3f4996e2c94,2025-04-10 08:06:13.923493+00:00,openai,gpt-4.5-preview,0,3231,208,7,6,5,1,2,3,4
e7ecd7b0-04b7-4c79-9cc1-78651391524d,2025-04-10 08:06:22.803465+00:00,openai,gpt-4.5-preview,0,3231,208,7,6,1,2,5,3,4
55b68880-324f-4f91-ad28-f9402f5c5e53,2025-04-10 08:06:32.291247+00:00,openai,gpt-4.5-preview,0,3231,209,6,5,4,7,2,3,1
5e4213de-cfd9-4a7b-9904-90bd984cf6f9,2025-04-10 08:06:47.244966+00:00,openai,gpt-4.5-preview,0,3231,207,3,7,1,4,2,5,6
3daf80c4-dad3-4cf8-a0da-f02f365f675b,2025-04-10 08:07:00.576941+00:00,openai,gpt-4.5-preview,0,3231,207,3,7,4,5,6,1,2
