cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
1e4a7003-f81c-43ab-9bed-ec9d6666f276,2025-04-08 14:37:30.382456+00:00,openai,gpt-4.5-preview,0,3282,207,"Prioritized strong emissions cuts, emergency planning, resilience; economy-only policy least favored"
700cc720-a6bc-4de2-af7f-c12b7d028ca0,2025-04-08 14:38:01.279918+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized strong emission cuts, community actions, resilience; economy-only policies ranked low."
856c48c9-509f-49b9-b9fa-fb1033576f5f,2025-04-08 14:38:36.197131+00:00,openai,gpt-4.5-preview,0,3282,207,"Prioritized adaptation, resilience, moderate emissions cuts; least favored no policy change."
933533df-3dbc-4645-bf97-9d7dc8db90dc,2025-04-08 14:39:05.379266+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized adaptation, moderate emissions cuts, resilience tech; opposed status quo and growth."
162a90ca-e085-4514-ac25-b27accfdba20,2025-04-08 14:39:33.973583+00:00,openai,gpt-4.5-preview,0,3282,208,"Strongly support emissions cuts, community actions; oppose economic growth priority, status quo."
932c71f3-d389-49a5-8d00-882f335d9b62,2025-04-10 08:05:16.544157+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized strong emissions cuts, resilience tech, and adaptation; rejected status quo policies."
d3b71259-f69f-4127-8c79-a0a88bc9c806,2025-04-10 08:05:25.331801+00:00,openai,gpt-4.5-preview,0,3282,207,"Prioritized strong emission cuts, community actions, resilience; opposed economic-only policies."
ceba554c-84d8-432f-90f7-d72ec375be92,2025-04-10 08:05:40.159988+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized adaptation, resilience, community actions; least favored no-change and growth-only."
19559f50-c2e8-466b-8a21-94fa7ef9bc81,2025-04-10 08:05:48.669856+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized adaptation, moderate emissions cuts, resilience tech; opposed status quo and growth."
d276addf-0e20-40c1-85fa-6a9e356877fc,2025-04-10 08:06:03.770221+00:00,openai,gpt-4.5-preview,0,3282,208,"Prioritized strong emissions cuts, community actions, and adaptation; economy-only least favored."
