cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
1855fbe8-483b-46ad-9b09-7cc4394ef36e,2025-03-27 16:45:07.984713+00:00,qwen,qwen-max,0,3402,225,6,7,3,2,4,5,1
e9262371-01b6-4f23-a120-986a5aa9cc3c,2025-03-27 16:45:17.217273+00:00,qwen,qwen-max,0,3402,228,7,6,2,5,4,3,1
77e3d67e-6abe-4bf7-89fa-f34b81a7bddc,2025-03-27 17:20:25.913312+00:00,qwen,qwen-max,0,3402,228,7,6,3,4,1,5,2
93a6a0d9-ff49-47fb-93b4-a2df6436b209,2025-03-27 17:20:35.074044+00:00,qwen,qwen-max,0,3402,228,6,7,4,1,3,5,2
5c667bcb-c5bd-42a4-9512-0fddcf67975c,2025-03-27 17:20:44.304114+00:00,qwen,qwen-max,0,3402,227,7,6,5,4,3,2,1
9d1ff4cc-d3a8-4a6d-aaa1-bb486fd6fb80,2025-03-27 17:20:53.815137+00:00,qwen,qwen-max,0,3402,227,6,7,5,4,2,3,1
404abc0f-42e1-4c81-8894-c5b251de2e86,2025-03-27 17:21:03.349460+00:00,qwen,qwen-max,0,3402,232,7,6,1,2,5,4,3
d8072c64-4de4-49aa-8f9a-d1ff8f74a8db,2025-03-27 17:21:12.555530+00:00,qwen,qwen-max,0,3402,233,6,7,2,1,4,3,5
3121e4fa-a7e0-4fc7-ac74-96fdab51af75,2025-03-27 17:21:21.970398+00:00,qwen,qwen-max,0,3402,233,7,6,4,1,3,2,5
b357d122-2b13-4f14-8d40-46859f62aa90,2025-03-27 17:21:31.177012+00:00,qwen,qwen-max,0,3402,228,7,6,3,4,5,2,1
0ea44d86-cc3a-4e63-a6c1-6d68f269d344,2025-03-27 17:21:40.386139+00:00,qwen,qwen-max,0,3402,229,7,6,3,1,5,2,4
d723c89d-c14d-4eba-9d00-169a6f58dce5,2025-03-27 17:21:49.594787+00:00,qwen,qwen-max,0,3402,228,7,6,3,4,2,1,5
3d00f0ca-f089-43f4-8065-a784e54f52a1,2025-03-27 23:52:11.953983+00:00,qwen,qwen-max,0,3402,230,6,7,2,1,5,3,4
c2cbe40d-f59b-42d7-9635-e582739f5373,2025-03-27 23:52:21.661390+00:00,qwen,qwen-max,0,3402,232,6,7,4,1,2,3,5
be1a9ab5-8131-43d5-86cb-de183a2afac8,2025-03-27 23:52:30.957731+00:00,qwen,qwen-max,0,3402,232,6,7,4,1,5,3,2
b17864b9-bb87-47c2-a373-68e366d1a065,2025-03-27 23:52:40.320763+00:00,qwen,qwen-max,0,3402,232,7,6,5,4,3,2,1
a47f330d-cc9a-4e7f-ba40-37ea9cac252d,2025-03-27 23:52:50.044719+00:00,qwen,qwen-max,0,3402,236,7,6,4,1,5,3,2
66cc45d8-ece6-4ce6-a2f2-677da2c8bce6,2025-03-27 23:52:59.514735+00:00,qwen,qwen-max,0,3402,224,6,7,4,5,2,3,1
dacb12a0-6724-4e41-ad1d-5bcc961f1bdb,2025-03-27 23:53:08.692124+00:00,qwen,qwen-max,0,3402,228,7,6,4,3,1,2,5
f893c532-5bd2-4186-af1f-766a24fa6600,2025-03-27 23:53:18.007249+00:00,qwen,qwen-max,0,3402,234,7,6,5,1,3,4,2
73cdbe17-7ee5-44cc-8997-b1c2e5570d1a,2025-03-27 23:53:27.672426+00:00,qwen,qwen-max,0,3402,228,6,7,5,1,3,4,2
d275541b-05f7-453c-b644-36774f7b4d4f,2025-03-27 23:53:37.095779+00:00,qwen,qwen-max,0,3402,231,6,7,5,3,4,2,1
2bd785c4-94e1-4b72-9cf3-d4a780ad2c8d,2025-03-27 23:53:46.283442+00:00,qwen,qwen-max,0,3402,234,6,7,5,1,4,2,3
a0ad6fc4-995b-4590-a1ff-a54cf76cbec8,2025-03-27 23:53:55.812321+00:00,qwen,qwen-max,0,3402,224,6,7,4,5,3,2,1
36e107fe-a507-4452-b522-22e311315d88,2025-03-27 23:54:05.048497+00:00,qwen,qwen-max,0,3402,233,7,6,4,1,3,2,5
b1c4c993-3bae-4e4b-8f2b-a938efd0bd65,2025-03-27 23:54:14.580839+00:00,qwen,qwen-max,0,3402,230,7,6,3,1,5,2,4
74753744-ddb5-4649-91db-01320f53e728,2025-03-27 23:54:23.825859+00:00,qwen,qwen-max,0,3402,228,6,7,3,5,4,2,1
55589b3d-3e1e-4797-8649-09ffd8d72dad,2025-03-27 23:54:32.935157+00:00,qwen,qwen-max,0,3402,232,7,6,3,2,4,5,1
33a1c1b5-1af0-45f6-8c25-3bec3cf1358d,2025-03-27 23:54:42.557040+00:00,qwen,qwen-max,0,3402,230,6,7,3,1,4,2,5
6d8cc29e-a702-496b-b10d-91c7deb1cf96,2025-03-27 23:54:51.937103+00:00,qwen,qwen-max,0,3402,227,7,6,4,3,2,5,1
8d213e66-d4a1-47da-af4f-2bd9e5f8970a,2025-03-27 23:55:01.044987+00:00,qwen,qwen-max,0,3402,233,7,6,5,1,3,2,4
