cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
ebc8b218-554b-499a-9767-aacb72042555,2025-03-27 16:57:34.998409+00:00,qwen,qwen-plus,0,3505,241,4,7,3,2,1,6,5
cee9fc3a-983c-4eea-89c8-0341220c0cbf,2025-03-27 16:57:46.186144+00:00,qwen,qwen-plus,0,3505,235,6,7,2,1,3,5,4
bdcd524f-8fba-4450-b62e-edea2959fcd2,2025-03-27 20:46:12.432285+00:00,qwen,qwen-plus,0,3505,235,5,7,3,1,6,4,2
7ec06341-788a-4afd-b05d-bbc8c3cf6482,2025-03-27 20:46:21.098507+00:00,qwen,qwen-plus,0,3505,237,6,7,4,3,2,1,5
2b90bb3f-6a87-42d4-91ed-e174814acd9e,2025-03-27 20:46:29.345585+00:00,qwen,qwen-plus,0,3246,96,7,6,4,3,2,5,1
e241b086-8cdc-43a1-b3ea-fc732e7d413c,2025-03-27 20:46:34.659606+00:00,qwen,qwen-plus,0,3505,234,7,6,4,2,5,3,1
0f0c216e-be8a-4ed1-8ab7-a3b65b1e8a28,2025-03-27 20:46:42.923478+00:00,qwen,qwen-plus,0,3503,240,7,6,4,5,3,2,1
7b374957-3c3c-4eb2-ba23-265e15471967,2025-03-27 20:46:51.629492+00:00,qwen,qwen-plus,0,3505,238,7,6,5,1,3,4,2
33bfafd8-05a0-4747-b67f-f4259577a1e3,2025-03-27 20:47:00.327970+00:00,qwen,qwen-plus,0,3505,238,7,6,2,1,5,3,4
6bcc1ae2-42e3-4c96-98d7-5d203ec51ee7,2025-03-27 20:47:08.617066+00:00,qwen,qwen-plus,0,3503,234,7,6,5,2,4,3,1
c59fa801-c28a-4ce1-a6f9-c649e23d8dbe,2025-03-27 20:47:16.918648+00:00,qwen,qwen-plus,0,3503,238,6,7,5,2,4,3,1
cdaefa36-85c5-461d-9da3-a5ae7f3cd457,2025-03-27 20:47:25.512542+00:00,qwen,qwen-plus,0,3503,234,6,7,4,5,3,1,2
e1e2c21f-1651-4cb3-bbff-eef32a760749,2025-03-27 20:47:34.018721+00:00,qwen,qwen-plus,0,3503,240,6,7,4,5,2,3,1
a7235c49-3596-4e7a-89ec-a6d0b4719711,2025-03-27 20:47:42.613796+00:00,qwen,qwen-plus,0,3505,231,6,7,3,2,1,5,4
487730eb-68e6-4d0c-a361-59f7c0964942,2025-03-27 20:47:51.117102+00:00,qwen,qwen-plus,0,3505,232,7,5,6,1,4,3,2
161361f9-1bc3-4fae-b75e-2cc4ebe321b6,2025-03-27 20:47:59.723043+00:00,qwen,qwen-plus,0,3505,240,7,6,3,4,5,2,1
1fa8c86b-f46c-4023-a1f1-a4b426a1a6d9,2025-03-27 20:48:08.368916+00:00,qwen,qwen-plus,0,3505,234,7,6,4,2,3,5,1
31c00e01-fa04-47b0-89e5-b70b61032484,2025-03-27 20:48:17.128541+00:00,qwen,qwen-plus,0,3505,233,6,7,3,2,1,4,5
ba00191b-ed56-4cae-9d90-09c2735308da,2025-03-27 20:48:26.463183+00:00,qwen,qwen-plus,0,3505,237,6,7,3,2,5,4,1
ebe78ca5-b9c3-45a1-9be9-ecc3c25a7f8b,2025-03-27 20:48:35.355617+00:00,qwen,qwen-plus,0,3505,233,6,7,2,1,4,5,3
26263a44-179c-4385-b186-440b334f4081,2025-03-27 20:48:44.261532+00:00,qwen,qwen-plus,0,3505,231,6,7,5,1,4,3,2
44ee7de0-6a4b-41e2-bf9a-5f239c939939,2025-03-27 20:48:52.912464+00:00,qwen,qwen-plus,0,3505,235,5,6,4,1,2,3,7
690170b6-6e2b-46fa-bede-0cd346465ee8,2025-03-27 20:49:01.674946+00:00,qwen,qwen-plus,0,3505,232,7,6,3,1,5,2,4
a5050495-8460-4236-87af-32f45f7a163d,2025-03-27 20:49:10.267803+00:00,qwen,qwen-plus,0,3505,235,6,7,2,1,3,5,4
4b38680b-514f-4a8e-97ac-bfa17333de18,2025-03-27 20:49:18.775299+00:00,qwen,qwen-plus,0,3503,236,6,7,4,5,1,3,2
58735e8f-9999-4bb3-afdc-718c9be7c6e3,2025-03-27 20:49:27.326171+00:00,qwen,qwen-plus,0,3505,234,6,7,3,2,5,4,1
6ab8399c-ea5f-4227-814f-15b5fe84248b,2025-03-27 20:49:35.666768+00:00,qwen,qwen-plus,0,3505,234,6,7,3,4,5,2,1
6d09495b-36e5-41a7-b355-324b662c2334,2025-03-27 20:49:44.255159+00:00,qwen,qwen-plus,0,3505,236,6,7,4,5,2,3,1
b1e6d137-cf23-4ec4-8040-f5b6815f169b,2025-03-27 20:49:52.846065+00:00,qwen,qwen-plus,0,3505,236,7,6,2,1,5,3,4
e204b3f6-de69-4890-a48c-b9055914c516,2025-03-27 20:50:01.771321+00:00,qwen,qwen-plus,0,3505,232,7,6,4,1,3,2,5
f82603ab-8130-4c91-95a5-20b9ce84ea27,2025-03-27 20:50:10.111859+00:00,qwen,qwen-plus,0,3503,232,6,7,3,5,2,1,4
