cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. Democracy is a term which has lost much of its original meaning.,C2. There's a dollar democracy that runs through our supposed democracy.,C3. We are a democratic country.,"C4. The fundamental dynamic of Australian society is that it is one of evolution, not revolution.",C5. We live in a great democracy.,C6. Our political system's strength is that it can change to meet changing circumstances.,C7. The last thing we need is a Canberra 'Big Brother' telling us what we should read and hear.,"C8. If you want your vote to count for anything, then you need to not vote in ignorance, you need to know something about what you're being offered.",C9. In Australia the rich have virtually unlimited access to the legal system and the capacity to use it to achieve their own ends.,"C10. You don't have to wait three years to say 'I'm not happy with the job you did.' You can apply pressure, and enough people writing to the local member can turn the situation around.",C11. I don't think we have a lot of input into legislation and a lot of things that are important.,C12. Sometimes I get a bit worried that there's a lot of small minority groups that tend to get a lot of the say,C13. I don't know too much about democracy. I feel ridiculous voting.,C14. I don't want to be in a place where only a minority's viewpoint gets the right to say what's going to happen.,"C15. The true believers are about decency in life, about a capacity to debate the issues and to receive different views.","C16. We as individuals have a right, that's what democracy means to me","C17. Republicanism is a smokescreen for democratic treachery, incompetence and lunacy.",C18. Our government is attempting to mould our society to the needs of a profit-oriented market,C19. I'm always cynical about government processes.,"C20. Governments can talk a great game about 'democracy'. They fall down, in practice, because they cannot accept any sharing of the power to influence decisions with those who might have different motives and ideas.",C21. I don't think there's anything wrong with people voting for their self-interest.,C22. The true function of government is to maintain peace and justice. This does not include interfering in private transactions of its electors.,"C23. If Australia is to recover from the horrible mess we are in at present, we will need leaders of high principles, who will govern with honesty, justice, and righteousness, fearlessly putting into practice the principles of the Bible.","C24. Our community and nation should invoke a spirit that you are important, that you do have a way of influencing things.","C25. Until women are equally represented in Australian parliaments, we will not have a genuine representative democracy.",C26. I suppose we do have an upper class and a lower class.,C27. The only time we are all equal is when we vote in the ballot box.,"C28. A lot of people may be politically ignorant, but they believe what they see and hear on television, and that makes them vote the way they do. They have been brainwashed by the clever advertising people.","C29. Free markets work because individual people, cooperating peacefully and voluntarily through markets, can achieve much that politicians and bureaucrats cannot achieve using compulsion and direction.",C30. Low female participation rates compound the domination of the public realm by males.,C31. Concluding that some races/cultures are better than others must be avoided.,C32. People get the government they deserve,C33. There is no real difference in ideological terms between the major parties and preference distributions are problematic.,"C34. Too few people have a lot of sway in the system.  Corporate lobbyists, vested interests, pork barrelling and contributions to political parties are all problematic.","C35. The political system is remote and closed and the connection with elected representatives is difficult, they are often faceless.",C36. The party system is the main obstruction to accountable politics.,C37. People are quite capable of processing and thinking about the vast majority of issues facing our society but as long as we are subjected to 'news lite' the level of political debate will remain facile. ,"C38. It would be a great thing if voters could vote on specific issues, not only on a whole party program at election time.",C39. In the Senate there should be elected representatives who are not from the major parties but from smaller interest groups.,"C40. We suffer a Parliamentary Democracy and an archaic and conflict oriented, ""two party system"" where one of two main parties will manipulate us for the next few years. ","C41. The people we elect are loyal not to we dumb bunnies who elected them, but the agenda and dogma of their party. ",C42. Proportional Representation also forces parties to coalesce and moderates out the extreme political views. ,"C43. We should not be afraid of disagreement. Indeed, an important feature of a liberal democracy is respect for conflicting ideas; difference is part of the human condition. ",C44. We should strengthen protections of the free press in order to facilitate a more open and publicly accountable government. ,C45. There is a lot of consultation by govt – but who is listening?  And what power do they have to make changes?,"C46. Democracy means that all policy is exposed to open discussion and debate in a public political space of all citizens before being put to a transparent, accountable vote.","C47. Democracy means we, the people, are responsible for what government does, or fails to do.",C48. Not voting is a form of expression. It's a way of telling parties that no one is offering policies that appeal to you.
0519f0d4-d89e-44d4-8153-4f1d580807d3,2025-03-27 16:37:47.437081+00:00,qwen,qwen-turbo,0,5134,327,6,5,9,7,8,8,10,8,2,8,3,4,2,10,9,10,1,5,3,9,8,3,1,9,9,3,9,4,7,4,11,7,5,4,3,7,7,8,7,6,2,8,10,9,5,10,10,6
6364ad5c-dc81-4b21-9d16-fdf417bc5ac2,2025-03-27 16:37:52.884712+00:00,qwen,qwen-turbo,0,5132,328,4,2,10,8,10,8,10,8,2,7,4,4,2,9,9,10,1,3,3,5,8,3,2,8,6,3,6,5,9,3,10,7,5,4,6,7,6,8,7,7,2,8,9,10,5,9,9,7
1d9c56f1-a95b-4a65-a304-e5e674b75e00,2025-03-27 19:09:32.696186+00:00,qwen,qwen-turbo,0,5134,333,4,3,8,6,8,7,11,6,3,7,2,4,3,10,9,11,1,4,2,9,8,2,2,8,5,5,9,3,9,4,11,5,3,2,3,6,7,6,5,3,2,7,10,10,3,10,8,7
b2622f98-f615-4fd8-8ad7-eed5da5b9e05,2025-03-27 19:09:38.390837+00:00,qwen,qwen-turbo,0,5146,332,4,5,10,10,9,9,2,7,8,7,4,5,3,10,8,11,2,5,2,6,11,6,3,9,9,6,11,4,10,8,11,6,5,8,3,7,8,6,8,4,3,10,9,10,5,10,11,7
1068cd9b-f1c7-41e2-829b-3f436a53f7a6,2025-03-27 19:09:44.010156+00:00,qwen,qwen-turbo,0,5119,321,4,6,7,8,7,7,7,6,4,7,3,6,3,8,9,9,2,5,3,7,9,6,2,8,6,4,8,5,9,5,10,7,4,5,4,5,9,7,8,5,3,8,9,8,5,9,8,7
3c19a478-e6ca-4d21-a3e1-25f3c90c6c6d,2025-03-27 19:09:49.449333+00:00,qwen,qwen-turbo,0,5134,325,4,5,11,7,11,6,9,8,3,8,4,6,2,7,8,10,1,3,3,2,8,10,2,9,6,4,10,5,9,5,9,5,5,2,3,7,7,6,7,3,3,7,10,8,4,9,10,8
fb816469-ebba-4d05-b90d-40a4ba638e94,2025-03-27 19:09:55.188059+00:00,qwen,qwen-turbo,0,5140,332,5,6,7,8,7,8,4,6,3,7,4,4,3,10,9,11,2,8,5,10,7,3,2,9,11,2,9,6,4,10,11,5,9,10,6,9,8,8,7,8,5,8,10,9,6,10,11,5
c566c184-1f83-41a8-ba18-6f52d7bb234c,2025-03-27 19:10:00.540439+00:00,qwen,qwen-turbo,0,5134,327,4,3,10,9,9,9,10,7,2,8,1,4,2,5,8,11,1,3,2,11,8,5,2,7,6,5,10,3,8,4,10,5,3,3,4,4,6,7,6,2,3,6,9,10,7,8,7,6
056a18fe-7111-462b-bd62-9c9672ab1209,2025-03-27 19:10:06.268393+00:00,qwen,qwen-turbo,0,5122,317,3,5,7,7,7,7,8,7,5,7,4,5,3,5,8,9,2,5,3,7,8,6,2,8,9,6,8,4,9,6,9,4,5,8,4,6,7,8,7,5,4,6,9,8,5,7,8,6
35f947d2-b6e4-43c2-8ae8-ee56174cd69a,2025-03-27 19:10:11.806253+00:00,qwen,qwen-turbo,0,5132,327,4,5,8,8,7,8,1,6,3,7,4,4,2,2,10,10,1,4,2,6,9,3,2,9,8,2,10,3,6,3,11,3,4,5,5,5,7,9,7,4,3,10,11,8,5,7,8,9
