cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. Short term development thinking will ultimately lead to longer term reef damage and economic impacts.,C2. Economic development associated with mining will provide more opportunities for future generations in North Queensland.,C3. Protection of the Great Barrier Reef is worthwhile at whatever cost.,C4. If we don't take steps to protect the Great Barrier Reef future generations will miss out on the opportunity to experience the reef.,C5. We don't need to worry too much about environmental damage in the Great Barrier Reef because future generations will be better able to deal with these problems than we are.,"C6. If future generations could have their say about the Great Barrier Reef, they would be less concerned about the environmental impacts than many people make out.",C7. Townsville is better off because of mining development.,"C8. We should prioritise protecting the environment in Townsville, even if it hurts our economy.",C9. Jobs and growth in Townsville should be prioritised over Great Barrier Reef protection.,C10. Government should be doing more to reduce greenhouse gas emissions.,C11. Mining development in Australia is a risk to the environment.,C12. I think enough is being done to effectively manage the Great Barrier Reef.,C13. Climate change impacts on the Great Barrier Reef aren't something I'm worried about.,"C14. Climate change is a threat, but the impacts are too distant for immediate concern.","C15. Each new Australian coal mine will contribute greenhouse emissions that exacerbate the risk of climate change, and impacts to the Reef.",C16. There is no point throwing money at protecting the reef if our other actions contribute to its continuing decline.,C17. The Great Barrier Reef underpins more direct and indirect jobs than mining does. ,C18. The negative publicity about climate change impacts on the reef has negatively affected the local tourism industry.,C19. A few self-interested politicians and influential companies are prepared to sacrifice our well-being for their own short-term gain.,"C20. Government should provide funding support for industry, including mining projects such as the Adani mine.","C21. Coal-generated electricity must be phased out if we are to avoid catastrophic impacts of global warming, including the loss of the Great Barrier Reef.",C22. The Great Barrier Reef is a great asset for the economy of this region and we should prioritise protecting it.,C23. Climate change is an immediate threat requiring action.,C24. I feel that future generations have been adequately considered in the management of the Great Barrier Reef.,C25. The mining industry provides thousands of jobs. Without it unemployment would have skyrocketed in regional Queensland.,C26. There are more jobs to lose from Great Barrier Reef tourism than to be gained from the coal industry.,C27. Australia's contribution to global greenhouse gas emissions is so small that we should wait for other countries to take action on climate change before we do. ,"C28. If we are serious about maintaining and improving people's living standards in Townsville, we need to make the most out of coal exports.",C29. We should prioritise economic development and job creation in Townsville over the environment. ,C30. It is not possible to conserve the reef over the long term without addressing climate change ,"C31. While job creation is important, we should prioritise industries that have less impact on the reef over those that have greater impact on the reef. ",C32. The first priority should be reducing other pressures on the reef (such as agricultural runoff or coastal development) so that the reef will be more resilient to climate change impacts. ,C33. More scientific research is needed before we can say if climate change is a threat to the Great Barrier Reef.,C34. Deep-pocketed green groups are willing to sacrifice our local economy for their own goals. ,C35. There is no strong scientific evidence to suggest that the Great Barrier Reef is under threat from climate change.
0652b0a6-a7e4-4afd-9720-aa1bd765db2f,2025-03-27 19:46:08.349786+00:00,qwen,qwen2-72b-instruct,0,3756,255,7,4,7,7,1,1,4,6,2,7,6,2,1,1,7,6,7,5,5,3,7,7,7,3,5,7,1,3,2,7,7,7,1,2,1
cfd11bda-b3db-4b5f-9018-191b3a505564,2025-03-27 19:46:16.495962+00:00,qwen,qwen2-72b-instruct,0,3751,259,7,3,6,7,1,1,4,7,2,7,6,1,1,3,7,6,7,5,5,2,7,7,7,3,4,7,1,3,2,7,7,6,1,2,1
da557716-dce3-4d0d-b27b-bd2fcee136ea,2025-03-27 19:46:24.889919+00:00,qwen,qwen2-72b-instruct,0,3756,261,7,5,7,7,2,1,5,7,2,7,6,2,1,2,7,7,7,4,6,3,7,7,7,3,5,7,1,4,2,7,7,6,2,2,1
73b56d7e-5157-408a-83a3-be1be473d614,2025-03-27 19:46:33.310841+00:00,qwen,qwen2-72b-instruct,0,3756,256,7,5,6,7,1,2,5,7,2,7,6,2,1,3,7,6,6,5,4,3,7,7,7,3,5,6,2,4,2,7,7,7,2,2,1
5ac37e28-96c4-43db-ac8c-642b2fd06928,2025-03-27 19:46:41.365316+00:00,qwen,qwen2-72b-instruct,0,3754,262,6,4,6,6,1,1,2,7,2,7,6,3,1,3,7,5,7,4,5,2,7,7,7,3,4,7,1,3,2,7,7,6,2,1,1
ecbec26a-1547-4ca8-899d-635f20959fe3,2025-03-27 19:46:49.700210+00:00,qwen,qwen2-72b-instruct,0,3756,254,7,3,7,7,1,1,5,6,2,7,6,3,1,2,7,7,7,5,5,2,7,7,7,3,4,6,1,3,2,7,7,7,2,1,1
ec18bf3e-d756-4723-940a-5ec663b73a5d,2025-03-27 19:46:57.890839+00:00,qwen,qwen2-72b-instruct,0,3754,259,7,3,6,7,1,1,5,6,2,7,6,2,1,2,7,7,7,5,4,3,7,7,7,2,5,7,1,3,2,7,6,7,2,1,1
0347bede-9d25-4eac-b3f0-3da0bcfdd115,2025-03-27 19:47:06.134920+00:00,qwen,qwen2-72b-instruct,0,3756,259,6,3,6,7,2,2,4,7,3,6,6,2,2,2,6,6,6,4,5,3,7,7,7,3,4,7,1,3,3,7,7,6,1,2,1
ad644f2e-fe4c-45e0-81bd-f29625599534,2025-03-27 19:47:14.370454+00:00,qwen,qwen2-72b-instruct,0,3751,256,6,5,6,7,2,2,5,6,3,7,6,3,1,3,7,6,6,5,5,4,7,7,7,3,5,6,2,4,3,7,6,7,2,2,1
86641516-bd55-40d8-b842-2a33ac1eaccc,2025-03-27 19:47:22.459285+00:00,qwen,qwen2-72b-instruct,0,3754,263,6,3,6,7,1,1,4,7,2,7,6,2,1,2,7,7,7,5,5,3,7,7,7,3,4,7,1,3,2,7,7,7,1,2,1
4bb9d7c2-03f3-4beb-a6bf-8ae808bce8ab,2025-03-27 19:47:30.808179+00:00,qwen,qwen2-72b-instruct,0,3756,261,7,3,7,7,1,1,4,7,2,7,6,3,1,2,7,3,7,4,5,3,7,7,7,2,5,7,1,3,2,7,6,7,2,1,1
a1a4d9fb-75fe-40b2-a139-f14c830be974,2025-03-27 19:47:39.296050+00:00,qwen,qwen2-72b-instruct,0,3756,256,7,6,6,7,2,2,5,7,3,7,7,2,2,3,7,6,7,5,4,4,7,7,7,3,6,6,2,4,3,7,7,7,2,3,1
e206ee7a-81c1-4728-b567-4a681c327a08,2025-03-27 19:47:47.448737+00:00,qwen,qwen2-72b-instruct,0,3756,256,6,4,5,7,1,2,5,6,3,7,6,2,1,2,7,7,6,5,5,4,7,7,7,3,5,7,1,4,3,7,6,7,1,2,1
c286f26f-b4d3-4447-a0eb-4d99a192a4eb,2025-03-27 19:47:55.532262+00:00,qwen,qwen2-72b-instruct,0,3754,255,6,3,7,7,2,2,3,6,2,7,6,3,2,3,7,6,5,5,4,2,7,7,7,3,4,6,2,2,2,7,6,6,2,2,1
49d12d01-3711-4ebe-8634-ecc4a480a5c0,2025-03-27 19:48:03.731719+00:00,qwen,qwen2-72b-instruct,0,3751,258,7,3,6,7,1,1,4,6,1,7,6,1,1,2,7,7,7,4,5,2,7,7,7,2,4,7,1,2,1,7,7,7,1,1,1
