cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
c4509dc3-8980-4f6b-b6a9-7b58d39971cb,2025-03-27 19:28:47.180013+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,7,6,5,1,2,4,3
01e35e95-1af3-47db-9c15-e95c25ee22f0,2025-03-27 19:28:53.746739+00:00,qwen,qwen2.5-72b-instruct,0,3501,245,4,7,3,2,5,1,6
c5a73601-3f4e-4a56-aa44-e79f560b2e2e,2025-03-27 19:29:00.417445+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,4,3,5,1,6,2,7
d930c92e-d0ab-43f1-867e-87aefbc1c054,2025-03-27 19:29:07.374732+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,6,7,3,1,5,4,2
70bc6ce1-42cc-42e4-9b0e-bbed7ba155d7,2025-03-27 19:29:14.192108+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,7,6,3,1,2,5,4
a37438a7-9698-4454-9fc6-754f91c77974,2025-03-27 19:29:20.901712+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,5,7,4,1,2,3,6
a2085dcc-8bb9-4341-baf7-101c45047a22,2025-03-27 19:29:27.659013+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,5,6,4,1,3,2,7
0170fa8c-5326-47a3-b0cf-26e318665eb4,2025-03-27 19:29:34.520840+00:00,qwen,qwen2.5-72b-instruct,0,3501,245,5,7,2,1,6,4,3
77e05636-724f-468c-ab19-63d36da4e623,2025-03-27 19:29:41.469338+00:00,qwen,qwen2.5-72b-instruct,0,3501,246,6,7,3,2,5,1,4
0fd366da-5390-44b6-9e88-e3edea46914c,2025-03-27 19:29:48.129630+00:00,qwen,qwen2.5-72b-instruct,0,3501,244,7,5,3,2,4,6,1
41ad50a8-0402-45b4-92cd-0ce3ed8b06a0,2025-03-27 19:29:54.890812+00:00,qwen,qwen2.5-72b-instruct,0,3501,245,6,7,4,1,3,5,2
eedfe812-e059-4cba-8416-fe76239688e6,2025-03-27 19:30:02.030772+00:00,qwen,qwen2.5-72b-instruct,0,3501,243,4,5,6,7,3,1,2
0d0873b4-e62b-4882-b50e-aa6228b14552,2025-03-27 19:30:09.025332+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,7,6,3,2,1,4,5
8530d5ec-62ec-40cc-8a0a-874c3fc139d6,2025-03-27 19:30:15.785455+00:00,qwen,qwen2.5-72b-instruct,0,3501,238,7,6,4,1,5,3,2
ed9ee6cc-bf24-442c-8017-49253630c114,2025-03-27 19:30:22.540848+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,7,6,3,1,5,2,4
02ba1c36-4aa6-4882-8e31-9cfab4669028,2025-03-27 19:30:29.303380+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,6,7,2,3,4,5,1
9136699b-ba23-45a0-9638-86c064d2e1ac,2025-03-27 19:30:35.909622+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,4,7,5,1,3,6,2
1a0d920f-f4bb-4897-a858-30c3cdd1728f,2025-03-27 19:30:42.711001+00:00,qwen,qwen2.5-72b-instruct,0,3501,245,6,7,2,1,5,3,4
35589969-5a8e-4684-b962-92319ebde0be,2025-03-27 19:30:49.470896+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,6,5,7,4,2,3,1
a89004c0-77c5-4f86-8a1b-19b1aabbc169,2025-03-27 19:30:56.182505+00:00,qwen,qwen2.5-72b-instruct,0,3501,238,6,7,3,5,2,4,1
76460fb5-60ec-40ac-9e30-df98cc84d22f,2025-03-27 20:16:40.564019+00:00,qwen,qwen2.5-72b-instruct,0,3501,247,4,7,5,1,6,3,2
95561492-f266-44af-aaae-651531f3515d,2025-03-27 20:16:47.468565+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,7,5,3,6,4,2,1
cd6f1c7c-c435-426a-b7ff-36fe6406d1df,2025-03-27 20:16:54.039235+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,7,6,3,1,5,2,4
d256c6ed-84d4-434f-8076-44d588546f55,2025-03-27 20:17:00.813134+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,5,6,7,1,3,2,4
4966f7c4-eb4a-4234-ad2f-592ada43f487,2025-03-27 20:17:07.452475+00:00,qwen,qwen2.5-72b-instruct,0,3501,239,6,7,5,3,4,1,2
75c994da-e3cb-4b4e-a0f3-b6b034395d01,2025-03-27 20:17:14.174320+00:00,qwen,qwen2.5-72b-instruct,0,3501,238,6,7,2,1,4,3,5
043aa528-f91f-4e29-8bc0-0a21d4f378bb,2025-03-27 20:17:20.979121+00:00,qwen,qwen2.5-72b-instruct,0,3501,238,7,6,3,1,5,2,4
e9d9c1a0-2787-44dc-b947-bbfb770fabeb,2025-03-27 20:17:27.822160+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,7,6,2,3,5,4,1
75d17eac-0878-4b85-87d0-f564a68fa453,2025-03-27 20:17:34.502144+00:00,qwen,qwen2.5-72b-instruct,0,3501,240,6,7,3,5,2,4,1
06a4201f-257a-45ec-80dc-d269728fb0c4,2025-03-27 20:17:41.141828+00:00,qwen,qwen2.5-72b-instruct,0,3501,241,5,4,7,1,6,2,3
