cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
e441820a-19b8-4be4-b486-9a5b7407d6ad,2025-04-11 09:43:45.943464+00:00,xai,grok-3-beta,0,4478,286,1,5,7,4,6,3,2,8,9
ea2c48b2-bf4e-443b-85a5-c2fb042084cd,2025-04-11 09:43:51.764763+00:00,xai,grok-3-beta,0,4478,289,4,2,6,5,8,3,1,7,9
803efa27-aa82-4f71-9cc3-9b783da11f5b,2025-04-11 09:43:56.771512+00:00,xai,grok-3-beta,0,4478,283,3,5,7,2,6,4,1,8,9
86c1546f-3848-4540-afa5-d9f857ba9b1c,2025-04-11 09:44:02.194220+00:00,xai,grok-3-beta,0,4478,287,1,3,7,4,8,2,6,5,9
9a1facbf-5e9e-43bd-a30b-715033eabf1b,2025-04-11 09:44:07.369107+00:00,xai,grok-3-beta,0,4478,288,6,4,8,3,5,2,1,7,9
798bfb9b-d620-45f6-8e23-1b11017e02af,2025-04-11 09:44:12.433888+00:00,xai,grok-3-beta,0,4478,288,1,4,6,3,7,8,2,5,9
afefbf33-0dc8-4540-81da-9c71f3b6ebf5,2025-04-11 09:44:17.854185+00:00,xai,grok-3-beta,0,4478,288,2,4,6,1,7,3,8,5,9
967a08ca-4764-4b6a-97eb-608cf82dec33,2025-04-11 09:44:26.540179+00:00,xai,grok-3-beta,0,4478,288,2,3,4,8,5,6,1,9,7
ba36a59f-e8b0-4fac-85ce-6f0a903c7dc5,2025-04-11 09:44:40.415637+00:00,xai,grok-3-beta,0,4478,287,2,7,5,4,8,3,1,6,9
21e8c637-c55f-4b91-b02f-322e6a02b539,2025-04-11 09:44:46.387802+00:00,xai,grok-3-beta,0,4478,287,1,4,8,3,7,5,2,6,9
8b332381-700d-4d80-832f-aba4033fc1c6,2025-04-14 08:24:07.759194+00:00,xai,grok-3-beta,0,4478,287,2,3,7,8,6,4,1,5,9
a2bd9490-9823-4630-8865-6c178fb3b844,2025-04-14 08:24:12.356794+00:00,xai,grok-3-beta,0,4478,285,4,2,8,7,5,3,6,1,9
38691133-0747-4c5b-b81b-1aec46bb2620,2025-04-14 08:24:17.109751+00:00,xai,grok-3-beta,0,4478,287,2,3,8,7,6,4,1,5,9
c0b30c65-ae86-4a28-b35f-43505729f0ff,2025-04-14 08:24:21.755231+00:00,xai,grok-3-beta,0,4478,288,4,2,6,8,7,3,1,5,9
9a545991-910a-4a65-8581-2e77c3e96c72,2025-04-14 08:24:26.411990+00:00,xai,grok-3-beta,0,4478,288,1,2,6,5,4,3,8,7,9
52a0776b-4987-4ec6-8f67-936e372c1951,2025-04-14 08:24:31.111771+00:00,xai,grok-3-beta,0,4478,285,8,7,5,2,6,4,1,3,9
ceba8da9-3462-4f73-a81c-b1a8fba3936f,2025-04-14 08:24:35.806737+00:00,xai,grok-3-beta,0,4478,284,2,4,7,8,6,1,3,5,9
2b98883a-1ee1-4685-8d6b-3134c17de676,2025-04-14 08:24:40.450369+00:00,xai,grok-3-beta,0,4478,284,1,3,6,4,8,9,2,5,7
61414bc1-25db-411c-911f-a47afa8d9e93,2025-04-14 08:24:45.356353+00:00,xai,grok-3-beta,0,4478,289,2,3,6,7,5,4,1,8,9
324de34a-8ee3-47f2-9267-5b38bb2e831f,2025-04-14 08:24:52.789030+00:00,xai,grok-3-beta,0,4478,286,2,5,8,7,6,3,1,4,9
d954a630-c5dc-4118-b284-4cb5ecda1320,2025-04-14 08:24:57.586256+00:00,xai,grok-3-beta,0,4478,283,2,3,7,8,5,4,1,6,9
9c5ad5b7-a98f-4b89-9c9e-4b1654230f5d,2025-04-14 08:25:02.352121+00:00,xai,grok-3-beta,0,4478,288,2,4,7,5,6,3,1,8,9
5b2e8c85-23ad-4a7a-b80a-543ac4b39bf8,2025-04-14 08:25:07.172640+00:00,xai,grok-3-beta,0,4478,289,2,4,6,3,5,8,1,7,9
ae89e4a1-6970-40de-8bd2-1cc224aec52f,2025-04-14 08:25:12.031678+00:00,xai,grok-3-beta,0,4478,289,4,2,8,3,7,6,1,5,9
a6f9c108-5b85-444a-8ebf-e320554115f4,2025-04-14 08:25:17.047832+00:00,xai,grok-3-beta,0,4478,288,2,8,7,1,6,4,3,5,9
90884645-5b51-407e-a509-dc42b1c4665f,2025-04-14 08:25:21.838318+00:00,xai,grok-3-beta,0,4478,283,2,3,7,4,6,8,1,5,9
41170dc2-2db3-4621-93a8-b652b1f8b48c,2025-04-14 08:25:26.528134+00:00,xai,grok-3-beta,0,4478,288,3,4,5,7,6,2,1,8,9
741fedd3-7890-4a11-9158-7f98d2c853c4,2025-04-14 08:25:31.683267+00:00,xai,grok-3-beta,0,4478,286,3,5,8,2,6,4,1,7,9
8f8fb7d1-ccf6-48c3-a009-cdb270f6f03f,2025-04-14 08:25:36.885858+00:00,xai,grok-3-beta,0,4478,286,2,7,5,3,6,8,1,4,9
07d0cc8a-b650-4c86-b99e-b3013bf02dcb,2025-04-14 08:25:42.250449+00:00,xai,grok-3-beta,0,4478,286,1,2,6,8,7,3,4,5,9
