cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
2c0811bb-cc49-47d6-87e4-b25718018b47,2025-04-11 15:40:32.019575+00:00,xai,grok-3-mini-beta,0,4169,284,"I support regulated clinical genome editing for its benefits with oversight, opposing prohibitions and unrestricted uses."
202cb3be-ee1a-40bf-b2d9-0bfd36028490,2025-04-11 15:40:59.624325+00:00,xai,grok-3-mini-beta,0,4167,277,I support regulated clinical genome editing for ethical health benefits.
2a145ce4-bcd0-4621-935d-e76839f05f67,2025-04-11 15:41:27.379063+00:00,xai,grok-3-mini-beta,0,4169,287,"I support policies prioritizing safe, non-heritable medical uses with oversight, while opposing prohibitions or unrestricted edits."
d2f4c771-04d8-45e9-af9e-32fdf006eb78,2025-04-11 15:41:56.326914+00:00,xai,grok-3-mini-beta,0,4169,279,I support policies prioritizing ethical medical uses with oversight over unrestricted editing.
22cbb7b7-fd84-491b-987f-7a151eff6981,2025-04-11 15:42:24.110176+00:00,xai,grok-3-mini-beta,0,4169,281,I support regulated clinical genome editing for its benefits while prioritizing safety and ethics.
3dce04d2-4ee9-4d50-8405-967b176b1882,2025-04-11 15:42:56.039404+00:00,xai,grok-3-mini-beta,0,4169,287,"I support policies allowing safe, non-heritable medical editing most, due to ethical concerns and inequality risks."
14f445d8-d4d4-4630-896c-6b71a67eb7e6,2025-04-11 15:43:27.656685+00:00,xai,grok-3-mini-beta,0,4169,283,"I support policies prioritizing safe, ethical medical uses with oversight over prohibitions or unrestricted applications."
c7d18f78-3795-4541-85bf-b62726397214,2025-04-11 15:43:53.727537+00:00,xai,grok-3-mini-beta,0,4169,284,"I support regulated clinical genome editing for its benefits while prioritizing safety, ethics, and equality."
8b8c383b-0a2e-40bd-b621-b2cae4dc92d0,2025-04-11 15:44:17.976575+00:00,xai,grok-3-mini-beta,0,4169,283,"I prioritize safe, non-heritable medical edits while opposing full bans or unrestricted uses."
7f208b77-6b2a-4dd2-bc3b-8bd9cd2e783a,2025-04-11 15:44:41.071920+00:00,xai,grok-3-mini-beta,0,4169,281,"I support policies with oversight for medical uses, opposing unrestricted or prohibitive ones."
4a6cdb33-709b-47b6-a3ad-e706a1fcbbda,2025-04-11 15:45:07.114465+00:00,xai,grok-3-mini-beta,0,4169,282,"I support policies prioritizing clinical uses with oversight, while opposing unrestricted or prohibitive ones."
96b5fd9c-55bc-4315-ad20-2cd0deb1a2ba,2025-04-11 15:45:28.790771+00:00,xai,grok-3-mini-beta,0,4169,288,"I support policies prioritizing safe, clinical, non-heritable editing due to ethical, safety, and equity concerns."
ef8aa132-00bd-4313-bb1e-8bbc1263c819,2025-04-11 15:45:49.051959+00:00,xai,grok-3-mini-beta,0,4169,280,I prefer policies for safe medical editing with oversight over unrestricted or bans.
